CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
4.0,1.0,0.0,4.0,1.0,0.74,1.0,62.0,1.0,2.0,2.0,1.0,7.8,3.0,4.4,1.0,1.0,0.43,0.0,112.0,0.4,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,0.0,3.83,0.0,0.0,0.0,1.0,1.0,0.0,2.46,1.0,0.77,0.0,1.0,0.0,0.0,169.0,0.62,0.0,1.0,0.0,0
0.0,2.0,0.0,1.0,1.0,0.32,1.0,60.0,3.0,0.0,5.0,2.0,3.5,0.0,3.65,1.0,1.0,1.17,0.0,20.0,0.43,0.0,2.0,3.0,1
0.0,1.0,2.0,3.0,0.0,0.84,0.0,62.0,1.0,0.0,0.0,3.0,3.05,1.0,2.2,1.0,1.0,0.36,0.0,0.0,0.5,0.0,1.0,0.0,0
5.0,2.0,6.0,12.0,0.0,0.88,1.0,75.0,1.0,0.0,4.0,1.0,6.5,2.0,5.17,1.0,1.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0
8.0,1.0,3.0,1.0,0.0,0.23,0.0,100.0,2.0,4.0,2.0,1.0,3.84,0.0,2.76,1.0,0.0,1.06,0.0,23.0,0.8,0.0,2.0,2.0,1
0.0,1.0,0.0,0.0,0.0,0.37,0.0,46.0,1.0,0.0,5.0,3.0,3.07,1.0,3.4,1.0,1.0,0.41,0.0,16.0,0.5,0.0,2.0,1.0,0
1.0,2.0,0.0,3.0,5.0,0.31,1.0,87.0,3.0,1.0,20.0,1.0,5.25,0.0,6.69,0.0,1.0,1.06,0.0,611.0,0.43,0.0,2.0,5.0,1
1.0,1.0,0.0,4.0,1.0,0.42,1.0,85.0,3.0,0.0,22.0,2.0,6.19,1.0,6.71,1.0,1.0,0.76,0.0,384.0,0.59,0.0,3.0,3.0,1
0.0,1.0,0.0,0.0,0.0,0.43,0.0,100.0,1.0,0.0,5.0,2.0,0.78,0.0,1.33,0.0,1.0,0.27,0.0,74.0,0.57,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,0.0,0.34,0.0,100.0,2.0,0.0,2.0,1.0,1.3,0.0,1.6,1.0,1.0,0.21,0.0,0.0,0.67,0.0,1.0,0.0,1
0.0,1.0,0.0,1.0,0.0,0.91,0.0,28.0,1.0,1.0,1.0,2.0,2.57,0.0,1.43,1.0,1.0,0.33,0.0,77.0,0.67,0.0,2.0,1.0,0
0.0,1.0,0.0,5.0,0.0,6.75,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,7.0,0.0,2.68,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.0,1.0,0.0,0.0,78.0,1.0,0.0,6.0,2.0,0
5.0,1.0,7.0,4.0,0.0,0.66,0.0,76.0,1.0,0.0,2.0,2.0,3.33,0.0,3.2,1.0,1.0,0.68,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,3.0,0.0,2.0,0.0,0.63,0.0,0.0,1.0,0.0,8.0,2.0,6.5,6.0,7.5,6.0,4.0,1.67,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,1.0,6.0,0.0,1.52,0.0,0.0,2.0,0.0,3.0,2.0,2.67,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.61,1.0,25.0,2.0,0.0,3.0,2.0,4.0,3.0,7.5,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,3.0,0.0,0.59,0.0,83.0,1.0,0.0,10.0,1.0,2.79,0.0,2.5,1.0,1.0,0.5,0.0,29.0,0.5,0.0,1.0,2.0,0
0.0,1.0,5.0,5.0,0.0,0.5,0.0,73.0,3.0,0.0,13.0,1.0,4.67,2.0,7.17,2.0,1.0,0.89,0.0,2.0,0.67,0.0,2.0,1.0,0
0.0,1.0,0.0,14.0,0.0,3.24,0.0,100.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,1.0,1.24,0.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,5.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0
2.0,1.0,20.0,12.0,0.0,1.01,0.0,85.0,1.0,0.0,11.0,1.0,6.4,2.0,5.4,1.0,1.0,1.0,0.0,2.0,0.33,0.0,5.0,2.0,1
0.0,1.0,0.0,0.0,0.0,0.85,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.48,0.0,87.0,2.0,0.0,6.0,2.0,2.11,0.0,3.33,1.0,0.0,0.77,0.0,1.0,1.0,0.0,1.0,2.0,0
0.0,1.0,0.0,1.0,1.0,0.69,0.0,33.0,3.0,0.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,0.6,0.0,8.0,0.5,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,1.0,0.57,0.0,0.0,3.0,0.0,8.0,1.0,3.67,3.0,6.33,4.0,1.0,0.8,0.0,7.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,0.0,4.5,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,0.0,4.44,0.0,0.0,2.0,1.0,3.0,1.0,1.43,1.0,0.71,0.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,2.0,0
0.0,1.0,1.0,6.0,0.0,2.33,2.0,0.0,1.0,0.0,3.0,1.0,8.0,8.0,3.0,3.0,1.0,0.0,0.0,1.0,0.5,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.23,4.0,83.0,3.0,0.0,8.0,1.0,3.33,3.0,11.67,6.0,1.0,0.8,0.0,3.0,1.0,0.0,1.0,0.0,0
1.0,1.0,3.0,4.0,0.0,0.41,0.0,83.0,1.0,0.0,21.0,1.0,5.96,0.0,6.91,0.0,1.0,1.28,0.0,41.0,0.4,0.0,3.0,4.0,1
1.0,1.0,1.0,0.0,0.0,0.32,1.0,75.0,2.0,0.0,6.0,1.0,3.5,3.0,8.75,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0
3.0,1.0,0.0,0.0,0.0,0.95,0.0,25.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.38,0.0,50.0,2.0,0.0,1.0,2.0,3.5,0.0,5.38,1.0,1.0,0.92,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.32,0.0,80.0,2.0,0.0,4.0,1.0,4.29,1.0,3.71,1.0,1.0,0.74,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,5.0,0.0,1.09,0.0,85.0,1.0,0.0,0.0,1.0,3.64,1.0,2.27,1.0,1.0,0.31,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.81,0.0,62.0,2.0,0.0,0.0,1.0,2.5,0.0,1.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,5.0,1.0,1.0,0.0,75.0,2.0,0.0,0.0,1.0,3.43,2.0,3.14,1.0,1.0,0.78,0.0,0.0,1.0,0.0,1.0,1.0,0
2.0,1.0,0.0,1.0,0.0,0.77,0.0,46.0,1.0,0.0,1.0,1.0,4.43,2.0,3.14,1.0,1.0,0.4,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,0.0,2.8,0.0,100.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,0.0,2.0,0.0,2.55,0.0,100.0,2.0,3.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,0.0,5.4,0.0,0.0,0.0,2.0,2.0,0.0,1.29,1.0,0.71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0
0.0,1.0,0.0,5.0,0.0,4.88,0.0,0.0,0.0,1.0,2.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,2.0,0.0,0.5,0.0,76.0,1.0,0.0,2.0,1.0,4.58,0.0,3.5,1.0,1.0,1.07,0.0,11.0,0.4,0.0,2.0,0.0,1
0.0,2.0,0.0,4.0,1.0,0.55,0.0,64.0,2.0,2.0,9.0,1.0,7.67,1.0,5.83,1.0,1.0,1.38,0.0,34.0,0.67,0.0,3.0,1.0,0
0.0,2.0,0.0,1.0,2.0,0.63,0.0,33.0,5.0,0.0,2.0,1.0,3.5,3.0,5.5,4.0,2.0,1.75,1.0,3.0,0.67,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,0.0,0.35,0.0,83.0,2.0,0.0,16.0,2.0,2.0,0.0,3.08,0.0,1.0,1.07,0.0,21.0,0.33,0.0,3.0,6.0,0
13.0,2.0,1.0,5.0,2.0,0.69,0.0,86.0,2.0,0.0,16.0,2.0,5.46,0.0,6.17,1.0,1.0,1.13,0.0,20.0,0.38,0.0,5.0,5.0,0
0.0,1.0,0.0,6.0,0.0,1.08,0.0,88.0,1.0,0.0,4.0,1.0,4.83,1.0,2.25,1.0,1.0,0.93,0.0,4.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.75,0.0,3.0,1.0,0.0,1.0,1.0,0
1.0,1.0,2.0,3.0,2.0,0.7,0.0,73.0,1.0,8.0,4.0,3.0,7.33,1.0,3.11,0.0,1.0,0.65,0.0,24.0,0.38,0.0,3.0,1.0,1
0.0,1.0,1.0,0.0,0.0,0.71,0.0,0.0,1.0,4.0,2.0,2.0,1.17,0.0,1.33,0.0,1.0,0.0,0.0,0.0,0.33,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,0.0,1.44,0.0,80.0,1.0,0.0,1.0,1.0,3.5,1.0,1.75,1.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,0.0,0
0.0,3.0,0.0,5.0,0.0,0.84,0.0,54.0,1.0,0.0,4.0,2.0,7.5,0.0,3.33,1.0,1.0,1.5,0.0,11.0,0.33,0.0,2.0,2.0,0
0.0,2.0,0.0,3.0,0.0,0.63,0.0,82.0,1.0,0.0,6.0,2.0,3.64,0.0,2.36,0.0,1.0,0.44,0.0,7.0,0.33,0.0,4.0,3.0,0
1.0,2.0,0.0,1.0,0.0,0.36,0.0,25.0,1.0,0.0,7.0,2.0,4.33,2.0,10.33,3.0,1.0,2.4,0.0,3.0,0.4,0.0,2.0,1.0,1
29.0,2.0,5.0,5.0,5.0,0.46,0.0,92.0,2.0,0.0,52.0,2.0,6.11,0.0,7.34,1.0,1.0,1.04,0.0,483.0,0.45,5.0,7.0,6.0,1
3.0,1.0,6.0,3.0,1.0,0.46,0.0,84.0,1.0,0.0,10.0,2.0,3.95,0.0,4.45,1.0,1.0,0.88,0.0,41.0,0.38,0.0,6.0,2.0,0
0.0,1.0,0.0,7.0,0.0,5.3,0.0,100.0,0.0,1.0,0.0,0.0,1.5,1.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
29.0,1.0,22.0,4.0,6.0,0.58,0.0,95.0,2.0,1.0,24.0,2.0,7.61,0.0,4.3,0.0,1.0,0.79,0.0,331.0,0.37,1.0,4.0,7.0,1
0.0,1.0,2.0,7.0,0.0,0.63,0.0,68.0,1.0,0.0,9.0,1.0,3.07,0.0,5.71,1.0,1.0,1.25,0.0,20.0,0.67,0.0,1.0,1.0,0
24.0,2.0,12.0,4.0,3.0,0.32,0.0,100.0,2.0,3.0,21.0,2.0,6.54,2.0,6.37,1.0,1.0,1.35,0.0,120.0,0.53,0.0,2.0,4.0,1
0.0,1.0,0.0,5.0,0.0,3.71,0.0,0.0,0.0,5.0,4.0,0.0,1.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0
1.0,1.0,0.0,5.0,1.0,0.5,0.0,78.0,2.0,0.0,7.0,1.0,5.0,1.0,5.67,1.0,1.0,1.12,0.0,5.0,0.5,0.0,2.0,2.0,1
0.0,1.0,0.0,3.0,0.0,0.8,0.0,66.0,1.0,0.0,2.0,2.0,4.5,2.0,4.25,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,7.0,0.0,1.03,0.0,83.0,1.0,0.0,2.0,1.0,7.27,0.0,3.81,1.0,1.0,0.66,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,4.0,0.0,1.34,0.0,78.0,1.0,0.0,0.0,1.0,5.29,1.0,2.43,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.35,0.0,33.0,1.0,0.0,3.0,2.0,2.0,0.0,4.33,0.0,1.0,1.67,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.19,0.0,76.0,2.0,0.0,1.0,1.0,1.79,0.0,2.57,0.0,1.0,0.88,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,0.0,0.93,0.0,72.0,1.0,0.0,3.0,2.0,3.86,0.0,2.36,1.0,1.0,0.19,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,2.0,0.0,0.61,0.0,66.0,1.0,0.0,4.0,3.0,3.0,2.0,3.4,1.0,1.0,0.18,0.0,0.0,1.0,0.0,1.0,0.0,0
18.0,1.0,18.0,0.0,4.0,0.04,0.0,95.0,2.0,2.0,3.0,2.0,1.94,0.0,2.97,0.0,1.0,0.26,0.0,0.0,0.0,0.0,2.0,0.0,0
4.0,1.0,18.0,0.0,4.0,0.03,0.0,94.0,2.0,2.0,3.0,2.0,1.92,0.0,2.85,0.0,1.0,0.37,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,4.0,0.0,4.71,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.4,0.0,50.0,1.0,0.0,1.0,2.0,3.5,1.0,6.0,2.0,1.0,2.4,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.64,0.0,33.0,1.0,0.0,0.0,2.0,1.67,0.0,2.67,1.0,1.0,0.17,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.32,0.0,83.0,2.0,0.0,9.0,1.0,1.33,0.0,4.67,2.0,1.0,0.5,0.0,12.0,0.5,0.0,1.0,1.0,0
0.0,2.0,0.0,1.0,0.0,0.29,0.0,61.0,2.0,0.0,11.0,1.0,2.0,0.0,5.67,0.0,1.0,1.75,0.0,1.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,0.0,7.25,0.0,0.0,0.0,9.0,0.0,0.0,22.0,14.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0
1.0,1.0,3.0,0.0,0.0,0.11,0.0,90.0,2.0,0.0,3.0,4.0,10.5,0.0,2.24,0.0,0.0,0.71,0.0,127.0,0.5,0.0,4.0,0.0,0
1.0,1.0,3.0,0.0,0.0,0.1,0.0,90.0,2.0,0.0,3.0,4.0,3.18,0.0,2.73,0.0,0.0,0.62,0.0,168.0,0.5,0.0,4.0,0.0,0
7.0,1.0,7.0,0.0,11.0,0.08,0.0,87.0,1.0,1.0,36.0,2.0,6.21,0.0,6.92,1.0,0.0,1.32,0.0,146.0,0.67,0.0,1.0,1.0,1
1.0,2.0,3.0,0.0,0.0,0.12,0.0,92.0,2.0,0.0,5.0,4.0,3.97,0.0,3.62,1.0,0.0,0.66,0.0,106.0,1.0,0.0,1.0,0.0,0
