CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
1.0,0.0,1.0,0.0,9.0,1.0,1.0,34.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,2.0,2.0,0.0,1
0.0,13.0,1.0,0.0,0.0,4.0,1.0,82.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,2.0,0.0,0.0,0.0,0.44,0.0,4.0,4.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,1.0,0
0.0,2.0,1.0,0.0,0.0,3.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,3.0,4.0,7.0,0.0,2.0,17.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,1.0,7.0,5.0,20.0,0.0,1.0,21.0,10.0,3.0,0.0,0.0,0.0,0.4,0.0,2.0,5.0,3.0,1
4.0,0.0,1.0,1.0,3.0,0.0,2.0,38.0,1.0,4.0,9.0,33.0,0.0,1.0,15.0,10.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,4.0,2.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.5,0.0,3.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,1.0,6.0,0.0,2.0,29.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,0.0,2.0,0.0,1.0,7.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,9.0,0.0,4.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,3.0,0.0,0.75,0.0,1.0,2.0,1.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,3.0,2.0,0.0,0
0.0,0.0,1.0,1.0,0.0,2.0,3.0,54.0,1.0,0.0,4.0,11.0,2.0,1.0,0.0,20.0,2.0,1.0,1.0,0.0,0.4,0.0,3.0,3.0,0.0,1
1.0,0.0,1.0,8.0,0.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0,1.0,0.0,2.0,5.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,22.0,1.0,0.0,0.0,5.0,1.0,134.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,2.0,6.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,39.0,1.0,1.0,3.0,14.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,2.0,0
1.0,0.0,1.0,0.0,0.0,2.0,2.0,39.0,1.0,0.0,3.0,7.0,1.0,4.0,0.0,9.0,1.0,0.0,1.0,0.0,0.5,0.0,4.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,2.0,8.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.75,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,6.0,21.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.38,0.0,1.0,4.0,2.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,11.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,12.0,0.0,4.0,0.0,7.0,1.0,0.0,1.0,0.0,0.36,0.0,3.0,5.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,3.0,13.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.75,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,3.0,8.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,12.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,3.0,2.0,1
0.0,1.0,1.0,0.0,0.0,5.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,212.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,5.0,4.0,1.0,2.0,56.0,4.0,3.0,10.0,18.0,0.0,3.0,0.0,12.0,2.0,1.0,1.0,0.0,0.44,0.0,4.0,4.0,0.0,1
1.0,0.0,3.0,1.0,1.0,4.0,5.0,36.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,7.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,35.0,1.0,2.0,4.0,8.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,4.0,3.0,9.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.33,0.0,2.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,3.0,1.0,43.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,1.0,2.0,3.0,5.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.29,0.0,1.0,5.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,47.0,1.0,1.0,4.0,9.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,23.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,69.0,1.0,3.0,7.0,15.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1
0.0,29.0,1.0,0.0,0.0,8.0,1.0,261.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.75,0.0,2.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,1.0,1.0,0.0,0.0,11.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,11.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,6.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,4.0,1.0,0.0,0.0,4.0,1.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,40.0,1.0,4.0,4.0,13.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
1.0,0.0,2.0,1.0,2.0,6.0,2.0,39.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
1.0,0.0,1.0,0.0,2.0,3.0,1.0,30.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
1.0,0.0,1.0,1.0,2.0,2.0,1.0,28.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,3.0,2.0,0.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0,3.0,2.0,4.0,6.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,5.0,2.0,0.0,7.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,2.0,1.0,0.0,1.0,20.0,3.0,3.0,2.0,5.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
1.0,0.0,1.0,2.0,0.0,2.0,2.0,24.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0,0.75,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.67,0.0,1.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,31.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,28.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,5.0,0.0,0.0,6.0,2.0,3.0,0.0,8.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,3.0,1.0,2.0,17.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,29.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,7.0,0.0,0.0,12.0,2.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,3.0,2.0,0.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
2.0,0.0,1.0,3.0,0.0,2.0,1.0,27.0,5.0,1.0,3.0,5.0,7.0,4.0,0.0,8.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,3.0,3.0,3.0,4.0,1.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,1.0,2.0,4.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,12.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,4.0,3.0,1.0,6.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,2.0,4.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,1.0,0.0,2.0,1.0,5.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,6.0,1.0,1.0,6.0,0.0,4.0,1.0,8.0,1.0,0.0,2.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,3.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.33,0.0,1.0,3.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,1.0,2.0,0.0,1.0,22.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.33,0.0,2.0,3.0,1.0,1
0.0,0.0,1.0,1.0,0.0,0.0,2.0,27.0,2.0,7.0,5.0,4.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.33,0.0,2.0,3.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,29.0,1.0,2.0,6.0,10.0,0.0,2.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,1.0,0.0,3.0,2.0,43.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1
1.0,0.0,1.0,0.0,9.0,1.0,3.0,35.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.57,0.0,2.0,4.0,3.0,1
3.0,0.0,1.0,0.0,0.0,2.0,5.0,45.0,1.0,2.0,3.0,3.0,1.0,3.0,0.0,19.0,1.0,0.0,1.0,0.0,0.73,0.0,3.0,4.0,1.0,1
1.0,0.0,1.0,3.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
1.0,0.0,2.0,0.0,1.0,3.0,2.0,23.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
1.0,0.0,1.0,19.0,0.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,26.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0
