CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
2.0,2.0,1.0,0.0,24.0,1.0,10.0,0.12,1.0,75.0,1.0,0.0,14.0,2.0,7.86,0.0,1.0,1.0,1.67,0.0,0.0,0.0,2.0,0.0,1
0.0,2.0,0.0,1.0,26.0,1.0,0.0,0.5,0.0,0.0,2.0,0.0,3.0,1.0,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
5.0,2.0,3.0,3.0,124.0,2.0,20.0,0.21,3.0,88.0,1.0,0.0,24.0,2.0,6.14,0.0,1.0,1.0,1.5,0.0,0.67,0.0,4.0,2.0,1
0.0,2.0,0.0,3.0,35.0,1.0,2.0,0.47,1.0,25.0,1.0,0.0,2.0,2.0,3.25,0.0,1.0,1.0,1.5,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,7.0,5.0,61.0,1.0,0.0,1.15,0.0,64.0,1.0,0.0,2.0,1.0,3.29,3.0,1.0,1.0,0.78,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,1.62,0.0,0.0,2.0,0.0,1.0,1.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,2.0,1.0,8.0,55.0,1.0,2.0,0.75,2.0,41.0,1.0,0.0,5.0,1.0,4.0,2.0,2.0,1.0,1.5,0.0,1.0,0.0,3.0,2.0,0
2.0,1.0,0.0,3.0,182.0,2.0,19.0,0.5,0.0,100.0,1.0,0.0,17.0,3.0,3.43,0.0,1.0,0.0,1.21,0.0,0.0,0.0,2.0,5.0,0
0.0,1.0,0.0,1.0,71.0,1.0,0.0,1.87,0.0,0.0,1.0,0.0,1.0,2.0,0.22,0.0,0.0,1.0,0.25,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,4.0,0.69,0.0,62.0,1.0,0.0,1.0,1.0,2.67,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,1.0,1.0,2.0,99.0,2.0,6.0,0.12,4.0,88.0,2.0,0.0,4.0,2.0,3.71,1.0,1.0,1.0,1.1,0.0,0.5,0.0,6.0,3.0,1
0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1
0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,3.38,0.0,0.0,0.0,0.77,0.0,0.0,0.0,4.0,0.0,1
2.0,2.0,3.0,0.0,39.0,2.0,11.0,0.07,0.0,87.0,1.0,0.0,2.0,4.0,3.56,0.0,0.0,0.0,0.72,0.0,0.0,0.0,4.0,0.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,2.56,0.0,0.0,0.0,0.77,0.0,0.0,0.0,4.0,1.0,1
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.67,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,23.0,1.0,2.0,1.35,0.0,33.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,29.0,1.0,2.0,1.71,0.0,33.0,1.0,9.0,1.0,1.0,4.67,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,4.0,0.7,0.0,60.0,2.0,0.0,2.0,1.0,2.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.54,0.0,0.0,2.0,0.0,2.0,1.0,2.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
31.0,1.0,9.0,1.0,209.0,9.0,12.0,0.08,1.0,96.0,2.0,1.0,81.0,2.0,5.56,0.0,1.0,1.0,1.21,0.0,0.42,1.0,6.0,8.0,1
0.0,1.0,0.0,0.0,22.0,1.0,1.0,0.96,0.0,25.0,1.0,1.0,4.0,2.0,3.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,2.0,38.0,4.0,211.0,2.0,0.0,0.3,1.0,94.0,1.0,0.0,23.0,2.0,4.97,1.0,1.0,1.0,1.4,0.0,0.6,0.0,4.0,9.0,1
62.0,1.0,2.0,1.0,226.0,2.0,12.0,0.07,0.0,100.0,1.0,0.0,55.0,3.0,6.67,0.0,1.0,0.0,1.74,0.0,0.5,0.0,6.0,7.0,1
0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,29.0,1.0,1.0,1.93,0.0,25.0,1.0,0.0,0.0,1.0,1.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,40.0,1.0,3.0,1.33,0.0,57.0,1.0,0.0,0.0,1.0,2.71,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,54.0,1.0,4.0,1.38,0.0,70.0,1.0,0.0,0.0,1.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,27.0,1.0,0.0,0.08,1.0,0.0,1.0,0.0,20.0,2.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,18.0,2.0,0.0,0.67,0.0,0.0,3.0,0.0,3.0,2.0,2.5,1.0,2.0,1.0,0.6,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,24.0,1.0,1.0,0.83,0.0,66.0,2.0,0.0,8.0,1.0,1.67,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,28.0,2.0,0.0,0.49,1.0,33.0,2.0,1.0,5.0,2.0,3.5,2.0,4.0,1.0,0.86,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,2.12,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,2.0,0.0,2.0,32.0,0.0,0.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,4.0,2.0,1.25,0.0,0.0,0.0,1.0,2.0,0
0.0,2.0,0.0,3.0,135.0,0.0,0.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,1.0,1.0,0.88,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,2.0,83.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,1.0,1.0,0.43,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,81.0,3.0,0.0,1.25,0.0,63.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1
2.0,2.0,3.0,0.0,36.0,2.0,10.0,0.08,0.0,87.0,1.0,0.0,2.0,4.0,2.82,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3.0,0.0,1
0.0,2.0,0.0,0.0,33.0,1.0,8.0,0.3,0.0,88.0,3.0,2.0,12.0,2.0,4.0,0.0,1.0,1.0,1.92,0.0,1.0,0.0,3.0,1.0,1
11.0,2.0,2.0,1.0,136.0,2.0,32.0,0.2,2.0,88.0,2.0,2.0,16.0,2.0,7.29,0.0,1.0,1.0,1.58,0.0,0.5,0.0,3.0,1.0,1
0.0,2.0,0.0,1.0,26.0,1.0,0.0,0.34,1.0,90.0,2.0,0.0,6.0,2.0,1.4,0.0,0.0,1.0,1.29,0.0,0.0,0.0,5.0,2.0,0
52.0,3.0,2.0,7.0,500.0,2.0,2.0,0.19,4.0,86.0,2.0,0.0,116.0,2.0,7.48,0.0,0.0,1.0,2.11,0.0,0.29,0.0,4.0,12.0,1
0.0,1.0,0.0,0.0,27.0,1.0,1.0,0.75,0.0,33.0,2.0,0.0,3.0,1.0,2.67,2.0,3.0,1.0,1.2,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,29.0,1.0,0.0,0.83,2.0,0.0,2.0,0.0,1.0,1.0,1.5,1.0,4.0,1.0,2.25,0.0,0.0,0.0,1.0,0.0,0
9.0,1.0,0.0,2.0,126.0,4.0,60.0,0.2,1.0,100.0,3.0,6.0,38.0,2.0,6.44,0.0,0.0,0.0,1.46,0.0,1.0,0.0,4.0,5.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.44,0.0,100.0,2.0,0.0,5.0,2.0,0.8,0.0,0.0,1.0,0.43,0.0,0.0,0.0,1.0,1.0,0
2.0,1.0,1.0,2.0,85.0,2.0,33.0,0.29,2.0,84.0,3.0,0.0,29.0,2.0,5.93,0.0,1.0,1.0,1.39,0.0,1.0,0.0,2.0,1.0,1
0.0,1.0,0.0,2.0,71.0,1.0,2.0,1.2,1.0,70.0,2.0,0.0,7.0,1.0,3.5,0.0,1.0,1.0,0.67,0.0,0.0,0.0,3.0,1.0,0
5.0,1.0,1.0,2.0,59.0,1.0,4.0,0.16,2.0,87.0,2.0,0.0,31.0,2.0,3.71,0.0,0.0,1.0,1.32,0.0,0.6,0.0,2.0,2.0,1
3.0,2.0,2.0,6.0,103.0,1.0,5.0,0.28,4.0,86.0,3.0,0.0,16.0,2.0,5.85,0.0,1.0,1.0,1.4,0.0,0.67,0.0,6.0,5.0,1
0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.18,0.0,100.0,1.0,3.0,0.0,2.0,0.33,0.0,0.0,1.0,0.56,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,2.0,41.0,1.0,2.0,0.37,1.0,35.0,1.0,0.0,9.0,2.0,2.5,0.0,1.0,1.0,1.83,0.0,0.0,0.0,3.0,0.0,1
7.0,2.0,0.0,1.0,83.0,1.0,29.0,0.22,1.0,80.0,2.0,0.0,14.0,1.0,7.5,2.0,1.0,1.0,1.76,0.0,0.0,0.0,3.0,1.0,1
0.0,1.0,0.0,1.0,25.0,1.0,0.0,2.08,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,1.0,6.0,65.0,1.0,21.0,0.29,2.0,71.0,3.0,0.0,18.0,2.0,9.4,0.0,1.0,1.0,2.86,0.0,0.0,0.0,4.0,4.0,1
0.0,1.0,0.0,0.0,20.0,1.0,2.0,0.45,0.0,42.0,1.0,0.0,0.0,1.0,2.86,1.0,1.0,1.0,0.56,0.0,0.0,0.0,2.0,0.0,0
4.0,1.0,1.0,2.0,98.0,3.0,4.0,0.26,1.0,87.0,2.0,1.0,26.0,2.0,4.0,0.0,0.0,1.0,1.3,0.0,1.0,0.0,2.0,4.0,0
0.0,1.0,0.0,3.0,33.0,1.0,0.0,4.71,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,20.0,1.0,1.0,1.43,0.0,33.0,5.0,0.0,0.0,1.0,16.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
8.0,1.0,97.0,3.0,503.0,14.0,10.0,0.32,0.0,100.0,2.0,6.0,63.0,2.0,4.72,0.0,1.0,0.0,1.08,0.0,0.38,0.0,6.0,6.0,1
0.0,1.0,0.0,0.0,21.0,2.0,12.0,0.21,0.0,100.0,1.0,0.0,9.0,1.0,2.59,0.0,1.0,0.0,0.12,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,14.0,35.0,1.0,0.0,3.5,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.19,3.0,33.0,4.0,0.0,12.0,1.0,7.33,3.0,7.0,2.0,3.2,1.0,1.0,0.0,1.0,1.0,0
1.0,2.0,2.0,0.0,20.0,2.0,5.0,0.47,0.0,100.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,15.0,99.0,1.0,0.0,3.19,0.0,0.0,2.0,1.0,8.0,1.0,1.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
3.0,1.0,6.0,4.0,63.0,1.0,0.0,0.74,0.0,71.0,1.0,0.0,0.0,1.0,3.43,0.0,1.0,1.0,1.36,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,19.0,1.0,0.0,2.71,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,2.0,17.0,3.0,80.0,1.0,0.0,0.26,0.0,88.0,1.0,0.0,15.0,1.0,5.06,0.0,1.0,1.0,1.6,0.0,1.0,0.0,4.0,3.0,0
0.0,1.0,0.0,3.0,21.0,1.0,0.0,4.2,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,22.0,1.0,1.0,0.65,0.0,50.0,1.0,0.0,1.0,1.0,3.4,1.0,1.0,1.0,0.71,0.0,0.0,0.0,1.0,0.0,0
2.0,1.0,0.0,0.0,29.0,1.0,1.0,0.63,0.0,22.0,2.0,0.0,1.0,1.0,6.67,2.0,0.0,1.0,0.27,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,3.0,4.0,0.25,0.0,83.0,1.0,0.0,3.0,3.0,0.47,0.0,0.0,1.0,0.16,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,29.0,1.0,5.0,0.31,0.0,70.0,2.0,0.0,3.0,2.0,3.21,1.0,1.0,1.0,0.33,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,2.43,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,13.0,34.0,1.0,0.0,4.86,0.0,0.0,0.0,7.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0.0,1.0,0.0,7.0,39.0,1.0,0.0,2.17,1.0,0.0,2.0,0.0,3.0,1.0,3.5,2.0,2.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,1.0,1.06,0.0,25.0,1.0,0.0,1.0,1.0,2.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,2.0,7.0,0.17,0.0,57.0,1.0,0.0,4.0,1.0,3.58,0.0,1.0,1.0,0.45,0.0,0.0,0.0,3.0,0.0,0
8.0,1.0,0.0,1.0,61.0,1.0,0.0,0.17,0.0,85.0,1.0,0.0,10.0,2.0,4.5,2.0,2.0,1.0,1.83,0.0,1.0,0.0,1.0,0.0,0
1.0,2.0,0.0,3.0,62.0,1.0,0.0,0.17,1.0,63.0,1.0,0.0,13.0,2.0,5.25,2.0,1.0,1.0,2.57,0.0,1.0,0.0,1.0,0.0,0
9.0,1.0,10.0,7.0,666.0,3.0,3.0,0.5,0.0,93.0,1.0,0.0,43.0,2.0,9.05,0.0,1.0,1.0,1.33,0.0,0.5,0.0,4.0,11.0,1
1.0,1.0,8.0,1.0,32.0,1.0,0.0,0.17,0.0,100.0,1.0,0.0,10.0,1.0,5.22,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,4.0,0.4,0.0,40.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.4,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,4.0,28.0,1.0,0.0,0.62,2.0,0.0,1.0,0.0,9.0,2.0,1.5,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0
2.0,1.0,1.0,0.0,58.0,2.0,18.0,0.24,0.0,93.0,1.0,0.0,13.0,2.0,2.49,0.0,1.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,10.0,3.0,116.0,10.0,0.0,0.34,2.0,100.0,2.0,7.0,21.0,2.0,2.58,1.0,1.0,1.0,1.47,0.0,0.0,0.0,1.0,3.0,0
0.0,1.0,0.0,4.0,33.0,1.0,0.0,0.8,6.0,100.0,1.0,0.0,14.0,2.0,1.0,1.0,15.0,2.0,1.75,1.0,0.0,0.0,1.0,0.0,0
1.0,3.0,13.0,1.0,77.0,7.0,9.0,0.23,0.0,100.0,1.0,0.0,28.0,2.0,3.81,0.0,1.0,0.0,1.14,0.0,0.0,0.0,1.0,0.0,0
1.0,2.0,5.0,7.0,67.0,1.0,0.0,0.24,6.0,66.0,1.0,0.0,32.0,1.0,6.33,0.0,1.0,1.0,1.38,0.0,0.5,0.0,2.0,2.0,0
1.0,1.0,2.0,1.0,29.0,3.0,0.0,0.76,0.0,0.0,1.0,0.0,8.0,2.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,31.0,3.0,3.0,0.36,0.0,40.0,1.0,0.0,14.0,2.0,1.7,1.0,1.0,1.0,0.21,0.0,0.0,0.0,2.0,1.0,0
2.0,1.0,2.0,2.0,46.0,3.0,0.0,0.61,1.0,0.0,1.0,0.0,14.0,2.0,1.5,0.0,1.0,1.0,0.4,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,8.0,31.0,1.0,0.0,5.17,0.0,0.0,0.0,14.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
61.0,1.0,3.0,2.0,218.0,2.0,3.0,0.12,2.0,97.0,2.0,0.0,86.0,1.0,8.75,0.0,1.0,1.0,1.79,0.0,0.62,0.0,5.0,10.0,1
0.0,1.0,0.0,1.0,24.0,1.0,0.0,0.24,2.0,0.0,2.0,0.0,15.0,1.0,8.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0
6.0,2.0,3.0,2.0,48.0,2.0,1.0,0.1,0.0,77.0,2.0,0.0,30.0,2.0,6.1,2.0,1.0,1.0,2.77,0.0,0.5,0.0,1.0,2.0,1
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.29,0.0,66.0,1.0,0.0,2.0,1.0,2.33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,56.0,1.0,3.0,1.93,0.0,55.0,1.0,0.0,0.0,1.0,4.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
116.0,2.0,14.0,7.0,1285.0,7.0,39.0,0.21,4.0,95.0,2.0,0.0,181.0,2.0,8.59,1.0,1.0,1.0,1.94,0.0,0.45,0.0,4.0,12.0,1
0.0,1.0,0.0,0.0,31.0,1.0,2.0,1.11,0.0,66.0,1.0,0.0,1.0,2.0,1.17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,5.0,0.38,0.0,76.0,1.0,0.0,4.0,2.0,2.77,0.0,1.0,1.0,0.4,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,3.0,210.0,3.0,45.0,0.8,0.0,100.0,2.0,0.0,6.0,2.0,2.15,0.0,1.0,0.0,0.05,0.0,1.0,0.0,4.0,4.0,0
0.0,0.0,0.0,0.0,21.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,9.0,30.0,1.0,0.0,3.75,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,33.0,2.0,1.0,0.46,0.0,100.0,1.0,0.0,3.0,3.0,1.83,0.0,1.0,1.0,1.67,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,3.0,0.54,0.0,77.0,1.0,0.0,1.0,2.0,2.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,5.0,0.4,0.0,80.0,2.0,0.0,1.0,2.0,1.85,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,49.0,1.0,22.0,0.2,0.0,94.0,2.0,0.0,4.0,2.0,3.31,0.0,1.0,1.0,0.0,0.0,0.33,0.0,4.0,2.0,1
0.0,1.0,0.0,0.0,35.0,1.0,9.0,0.37,0.0,86.0,2.0,0.0,1.0,2.0,1.85,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,1.0,48.0,1.0,3.0,0.98,0.0,80.0,2.0,0.0,1.0,2.0,1.55,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,33.0,1.0,2.0,1.43,0.0,60.0,1.0,0.0,0.0,1.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,52.0,1.0,4.0,0.98,0.0,72.0,2.0,0.0,2.0,2.0,1.91,0.0,1.0,1.0,0.23,0.0,1.0,0.0,5.0,2.0,0
0.0,1.0,0.0,0.0,30.0,1.0,3.0,0.38,0.0,67.0,2.0,0.0,3.0,2.0,5.79,0.0,1.0,1.0,0.19,0.0,0.0,0.0,5.0,1.0,0
0.0,1.0,0.0,0.0,27.0,2.0,2.0,0.39,0.0,79.0,1.0,5.0,4.0,3.0,5.19,0.0,1.0,1.0,0.26,0.0,1.0,0.0,6.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,2.62,0.0,100.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,2.0,0.89,0.0,71.0,1.0,0.0,2.0,2.0,1.43,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,1.0,41.0,1.0,6.0,0.63,0.0,80.0,2.0,0.0,3.0,3.0,1.92,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,26.0,1.0,6.0,0.41,0.0,78.0,1.0,0.0,2.0,1.0,1.79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,84.0,1.0,14.0,0.35,0.0,93.0,1.0,4.0,4.0,2.0,3.9,0.0,1.0,1.0,0.46,0.0,0.5,0.0,5.0,1.0,1
0.0,1.0,0.0,0.0,21.0,1.0,0.0,2.62,0.0,100.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.84,0.0,72.0,1.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
