CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,0.0,0.0,29.0,1.0,7.0,0.45,0.0,81.0,1.0,0.0,1.0,1.0,1.69,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,89.0,1.0,10.0,0.99,0.0,86.0,1.0,0.0,2.0,1.0,2.86,0.0,1.0,1.0,0.0,0.0,0.5,0.0,2.0,1.0,0
0.0,1.0,0.0,3.0,54.0,1.0,4.0,1.38,0.0,70.0,1.0,0.0,0.0,1.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,18.0,1.0,2.0,0.21,1.0,16.0,2.0,0.0,9.0,1.0,4.33,1.0,4.0,1.0,1.4,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,21.0,2.0,0.0,0.5,0.0,50.0,3.0,2.0,4.0,2.0,3.75,1.0,2.0,1.0,0.71,0.0,1.0,0.0,4.0,0.0,0
0.0,1.0,0.0,1.0,18.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,18.0,1.0,0.0,2.57,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,3.58,2.0,1.0,1.0,0.23,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,26.0,1.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,2.0,7.0,8.0,130.0,3.0,5.0,0.62,0.0,91.0,1.0,0.0,8.0,1.0,4.83,1.0,2.0,1.0,1.56,0.0,0.5,0.0,1.0,1.0,1
0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,35.0,1.0,7.0,0.49,0.0,77.0,1.0,3.0,1.0,2.0,3.18,0.0,1.0,1.0,0.85,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,29.0,1.0,0.0,0.83,2.0,0.0,2.0,0.0,1.0,1.0,1.5,1.0,4.0,1.0,2.25,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,33.0,2.0,0.0,4.0,1.0,2.33,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
1.0,4.0,1.0,2.0,26.0,1.0,0.0,0.87,0.0,0.0,1.0,0.0,12.0,1.0,8.5,0.0,1.0,1.0,0.75,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,1.0,42.0,3.0,10.0,0.32,0.0,44.0,2.0,0.0,15.0,2.0,4.1,1.0,1.0,1.0,1.36,0.0,0.33,0.0,5.0,1.0,0
4.0,2.0,1.0,1.0,54.0,1.0,19.0,0.16,0.0,87.0,1.0,0.0,16.0,2.0,3.88,0.0,1.0,1.0,1.5,0.0,0.0,0.0,3.0,3.0,1
0.0,2.0,0.0,1.0,39.0,1.0,4.0,0.27,1.0,84.0,2.0,0.0,19.0,2.0,3.18,0.0,1.0,1.0,1.23,0.0,0.0,0.0,4.0,3.0,0
0.0,2.0,0.0,2.0,39.0,2.0,10.0,0.39,1.0,100.0,2.0,0.0,12.0,2.0,3.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0
3.0,2.0,48.0,3.0,195.0,1.0,0.0,0.21,0.0,90.0,1.0,0.0,190.0,1.0,4.63,0.0,1.0,1.0,0.94,0.0,0.5,0.0,6.0,7.0,1
2.0,2.0,0.0,4.0,64.0,2.0,3.0,0.36,1.0,100.0,3.0,0.0,13.0,2.0,5.1,0.0,1.0,0.0,2.31,0.0,0.5,0.0,3.0,4.0,1
0.0,2.0,13.0,2.0,52.0,1.0,0.0,0.19,2.0,0.0,1.0,0.0,25.0,1.0,6.85,3.0,2.0,2.0,1.73,1.0,0.0,0.0,1.0,1.0,1
0.0,1.0,0.0,0.0,20.0,1.0,4.0,0.45,0.0,64.0,2.0,0.0,3.0,2.0,2.2,0.0,1.0,1.0,0.57,0.0,0.0,0.0,3.0,2.0,0
0.0,1.0,0.0,0.0,24.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
6.0,1.0,5.0,2.0,313.0,4.0,1034.0,0.37,0.0,100.0,2.0,17.0,14.0,3.0,7.6,0.0,0.0,0.0,0.71,0.0,1.0,0.0,4.0,6.0,0
1.0,1.0,8.0,2.0,50.0,2.0,2.0,0.29,1.0,88.0,2.0,0.0,43.0,1.0,8.1,0.0,1.0,1.0,0.68,0.0,0.0,0.0,3.0,2.0,0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,2.0,0.91,0.0,50.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,26.0,1.0,0.0,6.5,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
1.0,1.0,0.0,1.0,92.0,2.0,11.0,0.57,0.0,100.0,1.0,2.0,4.0,2.0,3.03,0.0,1.0,0.0,0.34,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,2.0,12.0,0.21,0.0,100.0,1.0,0.0,9.0,1.0,2.59,0.0,1.0,0.0,0.12,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,2.0,196.0,7.0,15.0,1.3,0.0,100.0,1.0,0.0,4.0,2.0,2.9,0.0,1.0,0.0,0.08,0.0,1.0,0.0,1.0,1.0,0
0.0,2.0,0.0,4.0,39.0,1.0,0.0,1.44,0.0,0.0,2.0,0.0,2.0,2.0,6.75,0.0,2.0,1.0,0.5,0.0,1.0,0.0,4.0,1.0,0
0.0,3.0,0.0,6.0,27.0,2.0,1.0,0.51,3.0,0.0,1.0,0.0,8.0,2.0,5.0,5.0,16.0,9.0,1.5,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,2.0,47.0,1.0,0.0,1.09,0.0,0.0,2.0,0.0,3.0,2.0,6.0,0.0,2.0,1.0,0.27,0.0,1.0,0.0,5.0,1.0,0
1.0,1.0,0.0,2.0,30.0,1.0,4.0,0.94,0.0,43.0,1.0,0.0,2.0,2.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.25,0.0,83.0,1.0,0.0,0.0,2.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,3.33,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,3.0,0.0,4.0,68.0,2.0,2.0,0.32,1.0,77.0,1.0,0.0,22.0,2.0,4.2,2.0,1.0,1.0,1.77,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,0.0,1.0,35.0,1.0,4.0,0.71,0.0,67.0,1.0,0.0,3.0,1.0,1.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,24.0,1.0,0.0,0.38,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.45,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,2.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,19.0,1.0,0.0,2.71,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,40.0,2.0,0.0,1.05,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.38,0.0,0.0,0.0,1.0,1.0,0
4.0,1.0,0.0,1.0,60.0,1.0,12.0,0.25,0.0,86.0,1.0,4.0,11.0,2.0,4.75,0.0,0.0,1.0,1.0,0.0,0.5,0.0,3.0,1.0,0
0.0,1.0,1.0,0.0,22.0,1.0,1.0,0.65,0.0,50.0,1.0,0.0,1.0,1.0,3.4,1.0,1.0,1.0,0.71,0.0,0.0,0.0,1.0,0.0,0
2.0,1.0,2.0,1.0,34.0,1.0,3.0,0.11,3.0,90.0,2.0,0.0,20.0,3.0,3.67,0.0,0.0,1.0,1.33,0.0,0.33,0.0,1.0,5.0,1
0.0,1.0,1.0,0.0,17.0,1.0,6.0,0.47,0.0,93.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
3.0,1.0,2.0,2.0,36.0,1.0,15.0,0.21,1.0,77.0,2.0,0.0,14.0,2.0,6.0,0.0,1.0,1.0,1.36,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,3.0,29.0,1.0,0.0,3.22,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,4.0,0.0,0.0,21.0,1.0,0.0,0.68,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,13.0,34.0,1.0,0.0,4.86,0.0,0.0,0.0,7.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0.0,1.0,0.0,4.0,29.0,1.0,0.0,4.14,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,2.0,3.0,48.0,1.0,2.0,0.6,0.0,94.0,1.0,0.0,4.0,1.0,4.75,1.0,0.0,1.0,1.18,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,3.0,65.0,1.0,0.0,1.25,0.0,100.0,0.0,2.0,6.0,0.0,1.82,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.91,0.0,0.0,3.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
7.0,3.0,0.0,2.0,60.0,5.0,2.0,0.15,1.0,100.0,1.0,0.0,21.0,2.0,2.71,0.0,1.0,1.0,1.57,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,31.0,1.0,0.0,0.61,2.0,0.0,1.0,0.0,10.0,2.0,2.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,4.0,28.0,1.0,0.0,0.62,2.0,0.0,1.0,0.0,9.0,2.0,1.5,1.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,3.0,6.0,64.0,4.0,0.0,0.29,3.0,100.0,1.0,0.0,19.0,2.0,2.29,0.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,0
8.0,2.0,11.0,5.0,213.0,6.0,5.0,0.32,2.0,88.0,1.0,0.0,48.0,2.0,3.03,0.0,1.0,1.0,1.23,0.0,0.33,0.0,2.0,3.0,1
0.0,1.0,0.0,4.0,39.0,1.0,2.0,0.66,0.0,37.0,1.0,0.0,19.0,1.0,4.0,1.0,1.0,1.0,1.17,0.0,0.0,0.0,3.0,4.0,0
3.0,3.0,0.0,8.0,68.0,1.0,1.0,0.42,3.0,60.0,1.0,0.0,21.0,2.0,4.6,2.0,2.0,1.0,1.57,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,5.0,0.42,0.0,71.0,1.0,0.0,4.0,1.0,3.22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,31.0,3.0,3.0,0.36,0.0,40.0,1.0,0.0,14.0,2.0,1.7,1.0,1.0,1.0,0.21,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,3.0,4.0,29.0,1.0,0.0,0.38,3.0,0.0,1.0,0.0,9.0,1.0,4.33,3.0,8.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0
5.0,2.0,0.0,0.0,28.0,3.0,1.0,0.13,0.0,100.0,1.0,0.0,26.0,2.0,2.27,0.0,1.0,1.0,0.87,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,55.0,1.0,5.0,1.77,0.0,66.0,1.0,0.0,1.0,1.0,2.67,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,8.0,36.0,1.0,0.0,1.33,2.0,0.0,2.0,0.0,4.0,1.0,2.5,2.0,2.0,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,34.0,1.0,0.0,2.62,0.0,0.0,2.0,1.0,3.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0
2.0,4.0,2.0,0.0,22.0,1.0,0.0,0.12,0.0,66.0,1.0,0.0,13.0,1.0,21.33,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,8.0,0
0.0,1.0,0.0,0.0,31.0,1.0,2.0,1.11,0.0,66.0,1.0,0.0,1.0,2.0,1.17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,5.0,98.0,1.0,4.0,2.33,0.0,65.0,1.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,3.0,71.0,1.0,5.0,1.69,0.0,76.0,1.0,0.0,3.0,2.0,3.2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
1.0,4.0,0.0,1.0,20.0,1.0,0.0,0.29,1.0,33.0,1.0,0.0,4.0,1.0,10.5,9.0,10.0,6.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,2.0,98.0,1.0,15.0,0.74,0.0,92.0,2.0,0.0,0.0,2.0,2.24,0.0,1.0,1.0,0.19,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,5.0,0.38,0.0,76.0,1.0,0.0,4.0,2.0,2.77,0.0,1.0,1.0,0.4,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,5.0,0.4,0.0,80.0,2.0,0.0,1.0,2.0,1.62,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,9.0,30.0,1.0,0.0,3.75,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
2.0,1.0,0.0,4.0,78.0,2.0,3.0,0.4,1.0,100.0,1.0,0.0,13.0,3.0,2.67,0.0,1.0,1.0,1.6,0.0,0.0,0.0,2.0,2.0,0
0.0,1.0,0.0,1.0,28.0,1.0,1.0,1.47,0.0,62.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,10.0,0.22,0.0,89.0,2.0,0.0,2.0,2.0,1.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,1.0,2.0,67.0,1.0,5.0,1.0,0.0,85.0,2.0,0.0,1.0,2.0,1.73,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,3.0,0.55,0.0,71.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.75,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,5.0,0.41,0.0,80.0,2.0,0.0,0.0,2.0,1.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,1.0,63.0,1.0,10.0,0.48,0.0,85.0,2.0,2.0,3.0,2.0,3.25,0.0,1.0,1.0,0.23,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,17.0,1.0,4.0,0.39,0.0,70.0,1.0,0.0,3.0,1.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,31.0,1.0,3.0,1.0,0.0,76.0,2.0,0.0,0.0,2.0,2.33,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.05,0.0,62.0,2.0,0.0,1.0,2.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,31.0,1.0,6.0,0.44,0.0,88.0,1.0,0.0,2.0,2.0,2.94,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0
6.0,2.0,11.0,6.0,216.0,9.0,0.0,0.37,0.0,91.0,2.0,7.0,33.0,2.0,3.78,0.0,1.0,1.0,2.0,0.0,0.5,0.0,4.0,4.0,1
0.0,1.0,0.0,4.0,54.0,1.0,1.0,1.38,5.0,0.0,1.0,0.0,12.0,2.0,2.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,3.0,0.0,0.0,21.0,1.0,0.0,0.6,0.0,75.0,1.0,0.0,5.0,2.0,1.5,0.0,0.0,1.0,1.6,0.0,1.0,0.0,4.0,1.0,0
1.0,3.0,3.0,0.0,22.0,1.0,0.0,0.47,1.0,50.0,1.0,0.0,8.0,1.0,2.75,0.0,1.0,1.0,1.17,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,3.0,0.0,21.0,1.0,0.0,0.78,0.0,0.0,1.0,0.0,2.0,1.0,2.33,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,5.0,58.0,1.0,2.0,0.76,2.0,40.0,1.0,0.0,12.0,2.0,4.2,1.0,1.0,1.0,0.75,0.0,0.0,0.0,3.0,1.0,0
0.0,2.0,0.0,1.0,28.0,2.0,0.0,0.34,2.0,0.0,3.0,0.0,9.0,1.0,7.5,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,17.0,51.0,1.0,0.0,7.29,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,28.0,2.0,0.0,0.48,1.0,0.0,3.0,0.0,9.0,1.0,7.5,3.0,3.0,3.0,1.6,1.0,0.0,0.0,2.0,1.0,0
0.0,3.0,0.0,0.0,26.0,2.0,27.0,0.17,2.0,100.0,2.0,6.0,23.0,1.0,6.8,0.0,1.0,0.0,1.38,0.0,1.0,0.0,2.0,0.0,0
0.0,2.0,0.0,0.0,21.0,1.0,2.0,0.31,2.0,50.0,2.0,0.0,9.0,1.0,3.33,2.0,4.0,1.0,1.6,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.19,0.0,79.0,2.0,1.0,10.0,1.0,2.67,1.0,1.0,1.0,1.12,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.67,0.0,50.0,2.0,0.0,6.0,1.0,2.33,1.0,2.0,1.0,0.6,0.0,0.0,0.0,2.0,0.0,0
0.0,2.0,0.0,1.0,26.0,1.0,5.0,0.3,3.0,40.0,2.0,0.0,11.0,1.0,5.0,2.0,1.0,1.0,1.4,0.0,0.0,0.0,2.0,0.0,0
0.0,2.0,0.0,0.0,29.0,1.0,2.0,0.39,1.0,50.0,2.0,0.0,11.0,1.0,3.67,2.0,1.0,1.0,1.6,0.0,0.0,0.0,2.0,0.0,0
