File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,target
22,0,0,1,0,0,1,24,1,0,1,1,2.67,0,0,1,0,0,1,337.0,337,2,0.0,0,0,0.85,0,0,False
23,7,1,1,0,0,4,244,1,3,8,30,0.35,1,87,2,0,17,2,6.21951219512195,1,1,1.2093023255814,0,308,0.337057728119181,0,4,True
1959,2,0,1,0,0,11,107,1,0,3,4,1.45,0,61,2,0,7,1,4.0,1,2,1.25,0,220,0.733990147783251,0,1,True
1960,2,0,1,0,0,10,118,1,0,5,5,1.26,0,60,2,0,7,1,4.14285714285714,1,0,1.33333333333333,1,273,0.905982905982906,0,1,True
1961,2,0,1,0,0,6,92,1,0,4,6,1.53,0,78,2,0,4,1,3.125,0,0,0.7,0,187,0.976878612716763,0,1,True
24,1,0,2,0,0,1,22,1,0,2,3,0.52,0,50,2,0,3,1,4.25,1,1,0.666666666666667,0,14,0.333333333333333,0,2,True
26,0,0,1,1,0,0,15,1,0,1,7,0.26,2,14,2,0,3,1,2.57142857142857,1,2,0.777777777777778,0,0,0.871794871794872,0,0,False
27,6,5,4,0,0,1,129,1,1,38,28,0.18,0,94,1,1,7,2,8.5,0,1,1.30952380952381,0,10,0.533261802575107,0,5,True
28,0,0,1,0,0,7,43,1,0,0,4,1.87,0,0,2,0,4,1,2.0,1,2,0.428571428571429,0,0,0.909090909090909,0,1,False
29,3,0,1,34,4,1,55,2,0,3,3,0.5,0,98,1,0,6,2,2.5,0,1,0.444444444444444,0,0,0.592592592592593,0,2,False
30,11,10,1,8,0,1,371,1,35,36,91,0.23,0,96,1,1,25,3,4.97959183673469,0,0,0.899328859060403,0,199,0.468253968253968,0,8,True
31,0,0,1,0,0,1,25,1,0,0,6,2.78,0,0,0,1,2,0,1.5,0,0,0.0,0,0,0.468085106382979,0,0,False
32,8,78,2,15,1,0,163,1,0,1,1,0.15,1,93,1,0,8,1,6.49425287356322,1,1,0.966292134831461,0,0,0.870967741935484,0,4,False
33,25,18,2,13,0,1,199,1,5,28,35,0.2,0,94,1,1,14,1,6.68674698795181,0,0,0.670588235294118,0,26,0.631297709923664,0,7,True
34,38,0,1,112,0,1,463,1,4,8,173,0.25,0,99,1,1,13,2,4.07441860465116,0,0,0.493087557603687,0,11,0.579288025889968,0,4,True
35,3,0,1,3,16,14,285,1,0,0,14,0.63,3,72,1,0,5,1,6.47058823529412,0,1,0.421052631578947,0,172,0.506602641056423,0,3,True
36,4,0,2,3,7,12,134,1,0,0,4,0.46,6,83,1,0,5,1,5.625,0,1,1.4,0,0,0.848547717842324,0,2,False
37,0,0,1,0,0,0,15,1,0,0,2,3.0,0,0,0,3,1,0,0.5,0,0,0.0,0,0,0.642857142857143,0,0,True
38,0,0,1,0,0,0,16,1,0,0,10,0.35,0,0,3,0,4,1,9.0,3,2,0.25,0,0,0.666666666666667,0,1,False
39,5,0,1,10,0,10,258,1,0,12,10,0.72,3,87,1,0,5,1,7.4,1,1,1.70588235294118,0,0,0.542691751085383,0,2,False
40,0,3,1,0,0,0,17,1,0,3,0,1.13,0,66,1,0,0,1,1.0,1,1,0.0,0,0,0.48936170212766,0,0,False
41,0,0,1,0,5,2,31,1,0,0,5,0.22,2,0,1,0,4,1,4.6,4,5,2.42857142857143,0,1,0.43010752688172,0,2,True
42,0,0,1,0,1,7,63,1,0,3,5,1.7,0,60,1,0,0,1,4.2,2,1,0.571428571428571,0,0,0.947368421052632,0,0,False
43,3,0,1,1,6,3,53,1,0,0,4,1.15,0,100,1,0,0,1,2.57142857142857,0,1,0.0,0,0,0.78448275862069,0,0,False
44,0,0,1,0,0,0,21,1,0,2,3,1.24,0,33,1,0,0,2,1.0,1,1,0.0,0,0,0.490196078431373,0,0,False
45,0,0,1,0,0,0,18,1,0,1,3,1.38,0,0,1,0,0,2,1.0,1,1,0.0,0,0,0.463414634146341,0,0,False
46,0,0,2,0,0,0,25,1,0,3,5,0.47,0,53,1,0,0,2,1.0,1,1,1.28571428571429,0,0,0.67741935483871,0,0,False
47,0,0,1,0,0,3,30,1,0,1,3,2.31,0,33,1,0,0,2,0.666666666666667,0,1,0.0,0,0,0.490909090909091,0,0,False
48,0,8,1,9,2,4,139,1,7,7,9,0.76,0,94,1,2,8,2,6.25,0,0,0.576923076923077,0,186,0.462765957446808,0,3,True
49,0,0,1,0,0,0,38,1,2,2,41,0.15,0,48,1,1,6,2,3.30232558139535,0,1,0.355555555555556,0,0,0.663716814159292,0,2,True
50,0,0,1,0,0,3,81,1,0,0,15,0.74,0,0,2,0,5,1,1.93333333333333,1,2,0.333333333333333,0,0,0.921296296296296,0,1,True
51,20,1,1,0,1,0,81,2,2,5,86,0.08,0,94,1,1,19,2,11.2201834862385,2,1,0.982142857142857,0,0,0.893915756630265,0,7,False
52,0,0,1,0,0,0,22,1,0,0,7,1.1,0,0,1,2,3,1,1.85714285714286,1,0,0.0,0,0,0.60655737704918,0,0,False
53,0,0,1,0,0,0,20,1,0,0,15,0.74,0,0,0,2,3,0,1.8,1,0,0.0,0,0,0.633802816901408,0,0,True
54,0,0,1,0,0,0,21,1,0,1,10,0.41,0,0,1,1,2,2,2.3,2,1,0.5,0,0,0.372340425531915,0,0,False
55,0,0,1,0,0,8,40,1,0,0,3,2.0,0,0,2,0,4,1,1.66666666666667,1,2,0.5,0,0,0.901408450704225,0,1,False
56,22,25,1,22,2,3,543,2,4,12,78,0.24,1,93,2,2,23,3,7.62790697674419,0,1,1.15151515151515,0,19,0.351164254247955,0,8,True
57,0,0,1,0,0,5,71,1,0,0,11,1.04,0,0,3,0,8,1,1.72727272727273,0,1,0.214285714285714,0,0,0.440251572327044,0,1,False
58,0,0,1,0,0,0,22,1,0,0,2,4.4,0,0,2,2,2,1,1.0,1,0,0.0,0,0,0.710526315789474,0,0,False
59,0,0,4,0,0,5,34,1,0,5,3,0.65,0,26,1,0,0,1,7.33333333333333,5,1,2.6,1,0,0.6875,0,0,False
60,76,11,1,29,0,2,1014,1,16,52,205,0.22,0,96,1,1,23,3,7.19805194805195,0,0,1.38387096774194,0,255,0.390789687043944,0,7,True
61,0,0,1,0,0,0,21,1,0,0,5,2.62,0,0,1,1,4,1,1.2,0,0,0.0,0,0,0.609756097560976,0,1,False
62,0,2,1,0,0,0,20,1,0,3,2,0.62,0,33,1,0,4,2,3.0,2,3,0.666666666666667,0,0,0.5,0,0,False
63,1,0,1,0,0,1,43,1,0,9,16,0.53,0,84,1,0,4,1,4.29411764705882,0,1,0.421052631578947,0,0,0.832214765100671,0,2,False
64,0,7,1,6,0,1,65,1,1,11,4,0.56,0,86,1,0,8,1,6.25,3,1,0.714285714285714,0,0,0.772727272727273,0,4,False
65,0,0,1,0,0,0,17,1,0,2,4,0.89,0,25,1,0,0,2,1.5,1,1,0.0,0,0,0.489795918367347,0,0,False
66,1,0,1,2,6,3,47,1,0,0,6,1.0,0,100,1,0,0,1,4.71428571428571,0,1,0.0,0,0,0.788990825688073,0,0,False
67,5,4,2,1,0,2,104,1,2,20,14,0.36,0,91,1,1,11,1,5.04,2,1,1.0,0,133,0.562780269058296,0,3,True
68,0,0,1,6,0,2,28,1,0,1,2,1.75,0,85,1,0,0,1,2.5,2,1,0.0,0,0,0.516666666666667,0,1,True
69,2,4,1,6,3,2,200,3,2,11,28,0.72,0,93,3,4,9,2,29.0555555555556,1,1,0.45,0,50,0.636531365313653,0,2,True
70,0,0,1,0,1,2,23,1,0,0,2,1.64,0,0,1,1,3,1,41.0,4,1,0.0,0,0,0.673469387755102,0,0,False
71,0,0,1,8,0,9,30,1,0,0,1,0.52,0,25,2,0,2,1,18.0,18,3,1.0,1,1,0.666666666666667,0,1,True
72,1,1,1,12,0,0,29,1,0,1,0,1.32,0,92,1,0,0,1,1.0,1,1,0.0,0,0,0.476190476190476,0,0,False
73,0,0,1,0,0,1,34,1,0,1,10,0.55,0,70,3,0,3,2,4.9,1,1,0.333333333333333,0,1,0.75,0,2,True
74,20,29,1,16,1,2,544,1,12,42,83,0.27,0,95,1,2,20,3,5.97916666666667,0,0,1.26712328767123,0,13,0.583244586439475,0,7,True
75,0,0,2,0,0,9,45,1,0,0,3,1.67,0,0,2,0,5,1,4.66666666666667,3,2,0.5,0,0,0.879518072289157,0,2,False
76,0,0,1,0,0,0,22,1,0,0,13,1.38,0,0,1,2,8,1,1.69230769230769,0,0,0.0,0,0,0.557377049180328,0,1,False
77,1,0,8,18,2,4,59,1,0,0,2,0.5,0,37,1,0,6,1,27.3333333333333,0,1,1.4,0,0,0.486187845303867,0,1,True
78,0,0,1,0,0,0,15,1,0,0,3,2.5,0,0,0,3,0,0,1.0,0,0,0.0,0,0,0.666666666666667,0,0,False
1962,0,0,1,0,0,14,67,1,1,1,2,2.23,0,0,3,0,4,1,4.0,3,2,0.6,0,111,0.981651376146789,0,1,True
1963,1,0,1,0,0,13,125,1,3,6,3,1.54,0,42,2,0,5,1,3.42857142857143,1,1,1.0,0,237,0.991341991341991,0,1,True
1964,1,0,1,0,0,13,127,1,3,6,2,1.98,0,58,2,2,3,1,3.83333333333333,1,1,1.0,0,216,0.990654205607477,0,1,True
79,1,4,2,1,18,0,60,1,0,0,13,0.22,0,94,1,0,8,1,3.83333333333333,1,1,1.5,0,0,0.81981981981982,0,1,False
80,3,0,1,3,12,0,23,1,0,0,9,0.19,0,88,1,0,4,1,2.58333333333333,0,1,0.714285714285714,0,0,0.779661016949153,0,1,False
81,0,1,1,0,0,0,19,1,0,0,8,0.35,0,0,2,0,3,2,2.11111111111111,0,1,0.727272727272727,0,4,0.631578947368421,0,1,True
82,1,0,2,4,1,7,66,1,0,0,2,0.99,3,66,1,0,4,2,3.66666666666667,0,1,2.83333333333333,0,0,0.407643312101911,0,2,True
83,1,0,1,0,0,3,83,1,2,11,12,0.39,1,74,1,2,13,2,4.73333333333333,1,0,1.05882352941176,0,0,0.288235294117647,0,2,True
84,0,0,1,0,0,6,66,1,0,1,7,0.97,0,42,2,0,2,1,3.42857142857143,2,2,1.11111111111111,0,0,0.607843137254902,0,3,False
85,1,0,1,1,1,1,28,1,0,6,7,0.31,0,80,2,1,8,2,3.875,0,1,1.3,0,0,0.607142857142857,0,3,True
86,0,0,1,0,0,9,68,1,0,1,5,1.24,0,19,3,0,3,1,3.2,2,2,1.42857142857143,0,0,0.532374100719424,0,1,False
87,0,0,1,4,0,0,88,1,0,4,13,0.99,0,69,1,0,1,2,2.84615384615385,1,1,0.466666666666667,0,0,0.878640776699029,0,1,False
88,0,4,1,0,0,0,49,1,0,4,2,2.04,0,83,1,1,2,1,2.83333333333333,0,1,0.888888888888889,0,0,0.698924731182796,0,0,False
89,0,0,1,0,0,8,186,1,0,0,20,1.18,0,0,1,0,25,2,4.7,1,2,0.0,0,12,0.665745856353591,0,3,False
90,0,0,1,0,0,7,170,1,0,0,21,1.01,0,0,1,0,35,2,4.47619047619048,0,2,0.0,0,16,0.710306406685237,0,3,False
91,1,0,1,227,0,0,265,1,0,0,0,1.14,0,100,1,0,0,1,0.0,0,1,0.0,0,3,0.626845637583893,0,3,False
92,0,2,1,0,0,0,20,1,0,0,0,0.31,0,0,2,0,1,1,29.5,2,2,0.0,0,1,0.666666666666667,0,1,False
93,0,1,1,0,0,0,15,1,0,2,6,0.43,0,0,1,1,4,1,3.85714285714286,3,2,0.0,0,0,0.575757575757576,0,0,False
94,0,0,1,0,0,0,15,1,0,0,6,1.36,0,0,0,1,2,0,1.0,1,0,0.0,0,0,0.538461538461538,0,0,False
95,0,0,1,0,0,0,19,1,0,0,6,2.11,0,0,0,1,2,0,1.0,1,0,0.0,0,0,0.536585365853659,0,0,False
96,1,0,1,21,0,0,24,1,0,0,0,0.92,0,100,1,0,0,1,0.0,0,1,0.0,0,0,0.478260869565217,0,0,True
97,0,3,1,2,0,2,32,1,0,0,3,0.24,0,66,2,0,4,1,3.16666666666667,1,1,1.0,0,0,0.774193548387097,0,2,False
98,2,2,1,2,2,2,54,2,1,5,5,0.45,2,64,2,0,3,1,3.8,0,1,0.846153846153846,0,0,1.0,0,0,True
99,0,0,0,87,0,0,60,1,0,0,0,0.46,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0.708791208791209,0,1,False
100,0,1,1,0,0,0,53,1,0,8,1,1.18,0,0,1,0,0,1,9.0,9,8,0.0,0,0,0.788135593220339,0,0,False
101,2,6,1,0,0,2,91,1,9,34,12,0.25,0,94,2,0,35,1,5.3448275862069,0,1,0.612903225806452,0,11,0.685328185328185,0,2,False
102,2,6,1,0,0,0,20,1,1,1,0,0.27,0,44,3,0,9,2,4.77777777777778,0,1,0.0,0,0,0.692307692307692,0,2,False
103,0,0,0,53,0,0,77,1,0,4,0,0.95,0,0,1,0,2,1,0.0,0,0,0.0,0,0,0.624434389140271,0,3,False
104,43,7,1,1,0,2,397,1,32,35,53,0.3,0,96,2,1,39,1,5.34814814814815,0,0,0.496350364963504,0,9,0.73784355179704,0,8,True
105,0,0,1,0,0,6,156,1,0,1,19,0.8,0,89,3,0,10,1,3.15789473684211,0,2,0.636363636363636,0,0,0.566326530612245,0,2,True
106,38,35,1,1,0,1,1068,1,54,0,6,0.57,1,95,2,1,21,2,6.56390977443609,0,0,0.82962962962963,0,0,0.936464920204758,0,5,True
107,16,21,1,0,0,1,156,1,5,0,11,0.46,0,0,2,1,12,2,3.56603773584906,0,0,0.290909090909091,0,3,0.92483660130719,0,4,False
108,31,13,1,0,0,4,414,1,8,13,5,0.53,2,93,2,1,22,1,5.08771929824561,1,1,1.11864406779661,0,43,0.644832605531296,0,6,True
109,0,2,1,0,0,1,46,1,1,3,2,1.1,0,66,2,1,6,1,3.4,1,1,0.428571428571429,0,0,0.369369369369369,0,1,True
110,0,0,1,0,0,6,52,1,0,0,6,1.37,0,0,3,0,5,1,1.16666666666667,0,2,0.333333333333333,0,0,0.304761904761905,0,1,False
111,0,0,1,0,0,0,20,1,7,6,0,0.49,0,71,1,0,0,1,2.14285714285714,1,1,0.0,0,0,0.571428571428571,0,0,False
112,7,0,1,11,3,4,137,1,0,0,4,0.54,1,88,2,0,5,1,5.09090909090909,2,1,2.30769230769231,0,0,0.897058823529412,0,1,False
113,0,4,1,0,0,1,53,1,2,0,0,0.45,4,0,3,1,8,1,7.33333333333333,3,2,1.375,0,0,0.827102803738318,0,2,False
114,9,3,1,2,0,1,62,1,2,0,1,0.32,1,96,3,1,14,1,6.26666666666667,1,1,0.882352941176471,0,0,0.84,0,2,False
115,1,7,1,0,0,3,78,1,1,1,7,0.7,0,56,2,1,11,2,5.375,1,1,0.0,0,0,0.557603686635945,0,2,False
116,0,3,1,0,0,2,69,1,2,6,9,0.43,0,80,2,1,13,1,5.64285714285714,0,0,0.6875,0,0,0.661596958174905,0,1,False
117,0,1,1,0,0,2,83,1,0,0,25,0.62,0,0,3,0,7,1,0.692307692307692,0,1,0.137931034482759,0,0,0.338709677419355,0,2,False
118,3,2,1,0,0,2,89,1,0,0,5,0.41,2,0,5,1,15,2,6.2,1,2,1.41666666666667,0,0,0.821325648414986,0,3,False
119,12,0,1,0,0,2,69,1,0,0,5,0.32,1,0,5,1,15,2,7.82352941176471,3,1,0.631578947368421,0,8,0.851063829787234,0,4,False
120,0,2,1,0,0,0,17,1,3,0,1,0.34,0,0,2,0,7,1,5.16666666666667,3,1,0.375,0,0,0.375,0,0,False
121,3,0,1,0,0,3,36,1,1,1,2,0.4,2,83,3,0,5,1,4.66666666666667,0,2,1.625,0,0,0.721518987341772,0,2,False
122,4,6,1,0,0,0,24,1,1,4,15,0.2,0,75,1,1,10,2,3.42307692307692,0,0,0.0,0,0,0.835978835978836,0,2,True
123,31,14,1,0,0,3,593,1,28,0,9,0.38,2,0,4,1,30,2,5.59756097560976,1,1,1.01190476190476,0,0,0.908003300330033,0,7,True
124,25,12,1,0,0,4,515,1,5,3,10,0.45,2,94,4,1,25,2,6.94230769230769,1,1,1.27777777777778,0,58,0.472436604189636,0,6,True
125,0,0,1,0,0,0,55,1,4,17,6,0.72,0,80,1,0,3,1,1.7,1,1,0.0,0,5,0.593333333333333,0,4,False
126,1,1,1,0,0,3,91,1,2,1,17,0.61,0,4,1,0,18,1,4.76190476190476,1,1,0.391304347826087,0,0,0.334558823529412,0,4,False
127,2,2,1,0,0,0,36,1,13,0,3,0.17,1,0,6,0,11,1,3.95,0,0,0.545454545454545,0,0,0.782467532467532,0,2,False
128,0,8,1,0,0,2,62,1,5,0,7,0.35,2,0,6,0,7,1,7.1,1,0,0.363636363636364,0,11,0.681114551083591,0,2,False
129,5,0,2,23,1,10,296,1,4,19,15,0.39,1,92,1,0,16,2,10.4583333333333,2,1,2.11538461538462,0,59,0.75868544600939,0,4,True
130,0,0,1,0,0,0,16,1,0,3,2,0.43,0,0,1,0,2,2,5.5,5,4,0.75,0,41,0.492307692307692,0,0,True
131,7,38,1,5,0,2,335,1,22,23,0,0.36,1,88,1,1,17,1,11.5671641791045,2,1,0.782608695652174,0,0,0.872727272727273,0,3,False
132,14,46,1,1,1,1,352,1,25,12,2,0.32,1,85,1,1,18,1,7.74712643678161,1,1,0.764044943820225,0,0,0.647854203409759,0,5,True
133,0,0,1,0,0,0,16,1,0,1,5,0.53,0,0,3,0,6,1,4.2,4,2,0.0,0,0,0.540983606557377,0,0,False
134,0,0,1,0,0,0,15,1,0,0,4,1.88,0,0,0,1,2,0,1.0,1,0,0.0,0,0,0.676470588235294,0,0,False
135,0,0,1,0,0,0,19,1,0,0,4,1.0,0,0,0,1,3,0,1.0,1,0,0.0,0,0,0.549019607843137,0,0,False
136,0,1,1,0,0,0,15,1,0,1,9,0.3,0,0,2,1,6,1,4.0,4,2,0.0,0,0,0.678571428571429,0,0,False
137,0,0,1,0,0,0,15,1,0,0,9,1.0,0,0,0,1,3,0,1.0,1,0,0.0,0,0,0.5,0,0,False
138,0,0,1,0,0,0,26,1,0,0,10,0.55,0,0,0,1,5,0,1.0,1,0,0.0,0,0,0.673913043478261,0,0,True
139,2,23,1,14,0,1,674,1,0,14,2,0.86,0,91,1,0,12,2,5.14814814814815,0,1,0.482758620689655,0,0,0.881547139403707,0,4,True
140,8,7,1,30,23,2,402,2,0,20,54,0.76,0,98,1,1,12,3,3.68115942028985,1,1,0.602739726027397,0,157,0.514598540145985,0,7,True
141,1,0,1,2,0,0,33,1,0,0,3,0.58,0,100,3,1,4,2,3.75,1,2,1.33333333333333,0,0,0.281553398058252,0,0,False
142,0,0,1,0,0,9,49,1,0,0,2,2.33,0,0,4,0,3,1,1.5,1,2,0.6,0,0,0.924050632911392,0,0,False
143,0,0,1,2,0,9,146,1,0,0,3,4.56,0,100,2,3,5,2,5.0,4,2,0.6,0,0,0.464646464646465,0,4,False
144,0,0,1,0,0,6,107,1,0,0,3,4.65,0,0,3,0,3,1,1.0,0,2,0.5,0,0,0.767605633802817,0,2,False
145,8,0,2,4,8,3,91,1,0,1,8,0.33,1,93,1,0,16,2,4.5625,0,1,1.33333333333333,0,4,0.382211538461538,0,3,False
146,1,0,1,2,0,1,40,1,0,0,3,1.11,0,100,3,1,5,2,3.5,0,1,0.5,0,14,0.252747252747253,0,1,False
147,0,0,1,0,0,9,54,1,0,0,2,2.35,0,0,4,0,3,1,1.5,1,2,0.6,0,0,0.931034482758621,0,0,False
1965,0,0,1,0,0,0,20,1,1,3,8,0.51,0,74,2,0,3,1,2.22222222222222,0,1,0.5,0,0,1.0,0,0,False
1966,2,0,1,3,0,4,118,3,0,8,17,0.52,1,88,2,0,6,2,3.05263157894737,0,1,0.782608695652174,0,0,1.0,0,0,False
1967,0,0,1,0,0,1,40,1,0,7,12,0.66,0,82,1,0,0,2,4.5,0,1,0.0,0,0,1.0,0,0,False
1968,4,0,1,4,15,1,44,1,0,0,11,0.31,0,78,1,0,2,1,5.8,1,1,0.882352941176471,0,0,1.0,0,0,False
1969,0,0,1,0,0,0,18,1,1,2,6,0.64,0,57,2,0,1,1,2.0,1,1,0.0,0,0,1.0,0,0,False
1970,0,0,1,0,7,2,37,1,0,0,7,0.27,2,0,1,0,2,1,3.42857142857143,2,3,1.66666666666667,1,0,1.0,0,0,False
1971,5,0,1,3,0,7,143,6,0,7,11,0.61,2,89,1,0,2,2,4.0625,1,2,0.565217391304348,0,0,1.0,0,0,False
1972,0,0,1,0,0,0,23,1,0,1,5,1.64,0,60,1,3,1,2,2.6,1,0,0.0,0,0,1.0,0,0,False
1973,0,0,1,0,0,0,17,1,0,0,2,1.89,0,0,2,0,0,1,2.0,2,1,0.0,0,0,1.0,0,0,False
1974,6,0,1,5,11,4,64,1,0,0,5,0.31,2,78,1,0,8,1,4.0,2,1,1.46153846153846,0,0,1.0,0,0,False
1975,0,0,1,0,0,0,18,1,1,2,6,0.53,0,71,2,0,3,1,2.14285714285714,0,1,0.333333333333333,0,0,1.0,0,0,False
148,0,0,1,0,0,2,34,1,0,3,5,0.63,0,46,1,0,1,1,3.2,2,1,1.25,0,0,1.0,0,0,False
149,1,0,2,9,1,16,100,1,0,2,2,0.84,10,63,1,0,3,1,6.33333333333333,1,1,2.2,0,0,1.0,0,0,False
150,0,2,1,2,5,4,100,2,0,13,14,0.3,1,75,2,0,1,1,6.0,3,2,1.68421052631579,0,0,1.0,0,0,False
151,1,0,1,8,1,7,112,1,0,3,7,0.69,3,84,1,0,0,1,3.75,1,1,1.0,0,0,0.966360856269113,0,1,False
152,4,0,1,1,8,11,138,1,0,0,4,1.04,2,75,1,0,1,1,2.0,1,1,1.2,0,0,1.0,0,0,False
1976,1,0,1,0,1,6,72,1,0,3,2,0.96,3,44,1,0,4,1,2.33333333333333,1,3,0.666666666666667,0,0,1.0,0,0,False
1977,6,0,1,35,0,1,131,8,14,20,34,0.19,1,97,2,6,10,1,2.92592592592593,0,0,0.34375,0,0,1.0,0,0,False
1978,1,0,1,4,3,4,120,1,2,2,11,0.31,2,91,1,0,4,1,4.07142857142857,1,1,0.25,0,0,1.0,0,0,False
1979,0,0,1,3,1,5,81,1,0,2,8,1.76,0,75,1,0,0,1,5.5,2,1,0.454545454545455,0,0,1.0,0,0,False
1980,0,0,1,1,13,5,125,1,0,0,13,1.25,0,84,1,0,1,1,6.30769230769231,1,1,0.533333333333333,0,0,1.0,0,0,False
1981,0,1,1,1,7,5,74,1,0,0,6,0.67,2,85,1,0,2,1,2.0,1,2,0.9,0,0,1.0,0,0,False
1982,0,0,1,1,1,9,50,1,0,0,1,0.86,11,0,1,0,3,1,2.0,2,16,2.0,2,0,1.0,0,0,False
153,1,2,1,0,2,14,96,1,0,5,1,0.55,7,60,1,0,1,1,3.75,1,1,3.0,0,0,0.736334405144695,0,0,False
154,0,0,1,2,1,0,15,1,0,0,1,0.25,13,0,1,0,0,1,5.0,5,13,1.0,1,3,1.0,0,0,False
