CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.45,0.0,0.0,3.0,0.0,8.0,1.0,3.25,1.0,2.75,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.19,1.0,0.0,3.0,0.0,9.0,1.0,3.33,1.0,5.0,2.0,1.0,1.2,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.3,1.0,0.0,3.0,0.0,10.0,1.0,7.5,6.0,5.5,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.3,1.0,0.0,3.0,0.0,10.0,1.0,7.0,5.0,5.5,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.28,0.0,33.0,3.0,0.0,10.0,1.0,4.33,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.31,0.0,33.0,3.0,0.0,10.0,1.0,4.0,1.0,4.67,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
2.0,0.0,1.0,0.0,2.0,2.0,68.0,1.0,0.0,4.0,0.76,0.0,70.0,2.0,0.0,9.0,1.0,4.0,1.0,3.17,1.0,1.0,0.64,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,49.0,1.0,0.0,5.0,0.69,0.0,67.0,2.0,4.0,15.0,1.0,6.55,0.0,2.91,1.0,1.0,0.23,0.0,1.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.07,2.0,25.0,2.0,0.0,2.0,1.0,3.0,1.0,2.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,2.0,0.96,0.0,50.0,2.0,0.0,8.0,1.0,2.88,0.0,1.88,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,4.0,56.0,1.0,0.0,4.0,1.7,0.0,62.0,2.0,2.0,4.0,2.0,4.0,2.0,2.67,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,39.0,1.0,0.0,111.0,0.65,0.0,96.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.71,0.0,1.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,42.0,1.0,0.0,1.0,1.02,0.0,42.0,2.0,0.0,10.0,1.0,2.71,1.0,2.43,1.0,1.0,0.67,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,40.0,1.0,0.0,1.0,1.67,2.0,0.0,3.0,0.0,8.0,1.0,7.0,6.0,5.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,2.0,1.1,0.0,42.0,2.0,0.0,7.0,2.0,3.71,1.0,2.0,1.0,1.0,0.33,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,36.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,10.0,1.0,2.5,1.0,3.5,1.0,1.0,0.5,0.0,0.5,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.0,2.0,0.9,0.0,61.0,2.0,0.0,8.0,2.0,2.56,1.0,1.67,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.88,0.0,33.0,2.0,1.0,8.0,1.0,3.33,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,0.0,1.69,0.0,0.0,2.0,0.0,7.0,1.0,3.2,0.0,1.2,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.88,0.0,33.0,2.0,1.0,8.0,1.0,2.67,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.5,0.0,0.0,3.0,0.0,1.0,1.0,2.67,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,3.0,52.0,1.0,0.0,0.0,1.24,1.0,0.0,1.0,0.0,4.0,1.0,5.8,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,1.0,1.16,0.0,57.0,2.0,0.0,10.0,2.0,2.57,1.0,2.14,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.36,0.0,0.0,3.0,0.0,9.0,1.0,3.67,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0,0.0,2.0,0.72,0.0,66.0,2.0,0.0,13.0,3.0,2.11,0.0,2.89,1.0,1.0,0.36,0.0,1.0,0.0,3.0,3.0,1
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,1.55,0.0,77.0,1.0,0.0,3.0,2.0,0.33,0.0,0.44,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,72.0,1.0,0.0,24.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,60.0,2.0,1.0,19.0,1.0,2.78,0.0,3.78,1.0,1.0,0.39,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,68.0,1.0,4.0,7.0,0.18,1.0,67.0,1.0,2.0,14.0,2.0,5.52,0.0,6.14,1.0,1.0,1.17,0.0,1.0,0.0,1.0,1.0,0
8.0,0.0,1.0,0.0,0.0,0.0,171.0,14.0,14.0,15.0,0.08,1.0,93.0,1.0,2.0,64.0,2.0,5.81,0.0,5.63,0.0,1.0,0.28,0.0,0.82,0.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.16,1.0,0.0,4.0,0.0,4.0,1.0,5.0,2.0,4.67,3.0,1.0,0.6,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,24.0,1.0,2.0,1.0,0.18,1.0,70.0,2.0,3.0,16.0,1.0,6.2,3.0,7.8,2.0,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,1.0,49.0,1.0,0.0,1.0,0.45,0.0,66.0,2.0,0.0,10.0,1.0,4.58,0.0,3.75,1.0,1.0,1.07,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,2.0,0.0,0.0,4.0,138.0,2.0,0.0,2.0,0.22,2.0,14.0,1.0,1.0,18.0,2.0,6.5,1.0,10.82,1.0,1.0,0.92,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.29,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,4.0,0.27,0.0,79.0,2.0,0.0,7.0,1.0,3.19,1.0,2.44,1.0,1.0,0.78,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,14.0,14.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,4.33,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.6,0.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.24,0.0,0.0,3.0,0.0,5.0,1.0,2.75,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,0.0,0.0,3.0,0.0,3.0,1.0,4.67,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.11,0.0,0.0,3.0,0.0,6.0,1.0,4.0,3.0,2.5,2.0,1.0,0.75,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.05,0.0,25.0,2.0,5.0,3.0,1.0,4.25,2.0,2.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,8.5,1.0,2.5,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
1.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.52,0.0,0.0,3.0,0.0,6.0,1.0,3.33,2.0,2.33,1.0,1.0,0.6,0.0,0.8,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.09,0.0,0.0,2.0,10.0,3.0,1.0,5.75,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,3.33,2.0,2.33,1.0,1.0,0.6,0.0,0.67,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.05,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,3.0,5.0,1.0,0.0,1.0,0.29,1.0,0.0,4.0,0.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,0.75,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.08,0.0,50.0,2.0,0.0,5.0,1.0,2.0,0.0,2.8,1.0,1.0,0.0,0.0,0.67,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,1.25,0.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.5,2.0,2.5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.07,0.0,33.0,3.0,0.0,4.0,1.0,1.83,0.0,2.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,2.0,0.0,0.0,1.0,3.25,1.0,1.75,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,1.33,0.0,100.0,1.0,24.0,1.0,1.0,6.29,1.0,0.86,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,0.26,0.0,37.0,2.0,0.0,2.0,1.0,1.88,0.0,2.0,1.0,1.0,0.3,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,2.0,0.0,0.0,0.0,36.0,1.0,0.0,2.0,0.17,0.0,60.0,1.0,0.0,30.0,2.0,5.5,1.0,7.0,2.0,1.0,1.33,0.0,0.8,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,1.03,0.0,0.0,2.0,0.0,4.0,1.0,1.4,1.0,3.2,1.0,1.0,0.71,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,0.9,0.0,33.0,2.0,0.0,5.0,1.0,1.5,1.0,3.33,1.0,1.0,0.75,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0,1.22,0.0,19.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,3.89,0.0,0.0,2.0,0.0,0.0,1.0,8.5,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
4.0,0.0,1.0,2.0,0.0,15.0,276.0,1.0,0.0,9.0,1.33,0.0,76.0,2.0,0.0,0.0,1.0,6.13,1.0,3.8,0.0,1.0,1.28,0.0,1.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,9.0,113.0,1.0,0.0,3.0,1.26,0.0,58.0,2.0,0.0,0.0,1.0,3.62,1.0,4.25,1.0,1.0,0.7,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,1.0,0.0,0.0,42.0,1.0,0.0,9.0,0.34,0.0,87.0,1.0,0.0,6.0,2.0,4.79,2.0,3.29,1.0,1.0,0.69,0.0,0.92,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,4.0,8.33,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,54.0,1.0,0.0,1.0,1.02,0.0,50.0,1.0,0.0,0.0,1.0,3.5,2.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,1.0,3.0,6.0,84.0,1.0,0.0,0.0,1.38,0.0,75.0,2.0,0.0,8.0,1.0,2.75,0.0,2.88,0.0,1.0,0.8,0.0,1.0,0.0,1.0,0.0,0
2.0,0.0,2.0,0.0,22.0,1.0,74.0,1.0,0.0,0.0,0.31,1.0,0.0,1.0,0.0,33.0,1.0,6.45,2.0,6.09,2.0,1.0,1.17,0.0,1.0,0.0,2.0,2.0,0
0.0,0.0,1.0,4.0,0.0,0.0,48.0,8.0,1.0,2.0,1.07,0.0,100.0,4.0,6.0,4.0,2.0,4.21,0.0,1.57,1.0,1.0,0.21,0.0,1.0,0.0,3.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,26.0,1.0,0.0,3.0,0.7,0.0,75.0,2.0,0.0,0.0,2.0,2.78,0.0,1.33,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,0.0,1.0,3.0,5.0,0.0,1.0,8.0,1.0,4.0,0.0,0.0,78.0,3.0,2.0,10.0,2.0,4.26,0.0,2.38,0.0,1.0,0.21,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.06,0.0,55.0,2.0,0.0,11.0,1.0,3.6,0.0,3.6,1.0,1.0,1.29,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0,8.5,8.0,6.5,6.0,3.0,2.75,2.0,1.0,0.0,1.0,0.0,0
4.0,6.0,1.0,33.0,9.0,0.0,144.0,37.0,0.0,10.0,0.22,0.0,100.0,2.0,18.0,64.0,2.0,4.38,0.0,4.09,1.0,1.0,0.33,0.0,0.9,0.0,1.0,1.0,0
1.0,2.0,1.0,4.0,3.0,0.0,7.0,4.0,0.0,7.0,0.05,0.0,79.0,5.0,0.0,13.0,2.0,3.11,0.0,3.68,1.0,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,75.0,2.0,7.0,6.0,1.0,3.75,0.0,2.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.12,1.0,0.0,1.0,1.0,7.0,1.0,9.0,9.0,10.0,10.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,2.0,1.0,9.0,1.0,0.0,5.0,0.08,1.0,64.0,3.0,0.0,17.0,1.0,8.2,1.0,7.6,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,2.0,0.0,17.0,2.0,6.0,0.0,0.17,0.0,100.0,4.0,5.0,13.0,2.0,4.42,1.0,4.42,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1.0,8.0,1.0,1.0,12.0,0.0,25.0,2.0,0.0,4.0,0.16,0.0,100.0,3.0,0.0,13.0,2.0,3.75,0.0,3.5,1.0,1.0,0.29,0.0,1.0,0.0,1.0,0.0,0
4.0,27.0,1.0,15.0,1.0,1.0,198.0,31.0,1.0,23.0,0.25,0.0,100.0,4.0,8.0,32.0,2.0,3.25,0.0,3.26,0.0,1.0,0.22,0.0,0.94,0.0,1.0,1.0,0
