CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
1.0,1.0,0.0,3.0,68.0,3.0,3.0,1.55,0.0,0.0,2.0,0.0,1.0,2.0,1.43,0.0,1.0,1.0,0.58,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,3.0,3.0,75.0,5.0,3.0,0.68,0.0,14.0,2.0,2.0,2.0,2.0,2.38,0.0,1.0,1.0,0.77,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.4,1.0,62.0,2.0,0.0,7.0,1.0,1.75,0.0,0.0,1.0,0.67,0.0,0.0,0.0,2.0,0.0,0
2.0,2.0,1.0,0.0,24.0,1.0,10.0,0.12,1.0,75.0,1.0,0.0,14.0,2.0,7.86,0.0,1.0,1.0,1.67,0.0,0.0,0.0,2.0,0.0,1
2.0,2.0,2.0,0.0,42.0,2.0,2.0,0.13,0.0,79.0,1.0,0.0,6.0,2.0,3.05,0.0,1.0,1.0,0.56,0.0,0.0,0.0,2.0,1.0,0
5.0,2.0,3.0,3.0,124.0,2.0,20.0,0.21,3.0,88.0,1.0,0.0,24.0,2.0,6.14,0.0,1.0,1.0,1.5,0.0,0.67,0.0,4.0,2.0,1
0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.45,0.0,0.0,2.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.0,18.0,1.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
4.0,3.0,1.0,4.0,78.0,2.0,0.0,0.22,5.0,100.0,2.0,0.0,23.0,2.0,4.92,0.0,1.0,1.0,1.06,0.0,0.5,0.0,5.0,1.0,1
1.0,2.0,0.0,5.0,42.0,2.0,0.0,0.26,1.0,87.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.56,0.0,0.5,0.0,3.0,1.0,0
14.0,1.0,0.0,1.0,48.0,1.0,0.0,0.09,4.0,0.0,2.0,0.0,9.0,1.0,3.89,1.0,2.0,1.0,0.76,0.0,1.0,0.0,3.0,1.0,1
0.0,1.0,0.0,0.0,24.0,1.0,0.0,1.5,0.0,100.0,2.0,0.0,0.0,1.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,0.0,0.57,1.0,0.0,2.0,0.0,3.0,1.0,0.75,0.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,26.0,1.0,5.0,0.04,0.0,99.0,1.0,2.0,1.0,2.0,0.36,0.0,0.0,1.0,0.13,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,2.0,0.0,81.0,9.0,5.0,0.1,0.0,98.0,1.0,0.0,10.0,2.0,0.26,0.0,1.0,1.0,0.16,0.0,0.5,0.0,2.0,6.0,0
0.0,1.0,3.0,0.0,31.0,1.0,6.0,0.25,0.0,80.0,1.0,0.0,1.0,1.0,4.57,2.0,1.0,1.0,0.38,0.0,0.0,0.0,2.0,1.0,1
0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.48,2.0,7.0,1.0,2.0,0.0,0.5,0.0,3.0,5.0,1
2.0,2.0,3.0,0.0,50.0,2.0,11.0,0.1,0.0,86.0,1.0,0.0,4.0,4.0,3.19,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.0,0.0,1
2.0,2.0,3.0,0.0,55.0,2.0,13.0,0.09,0.0,87.0,1.0,0.0,2.0,4.0,3.56,0.0,0.0,0.0,0.64,0.0,0.0,0.0,2.0,0.0,1
2.0,2.0,3.0,0.0,36.0,2.0,9.0,0.08,0.0,86.0,1.0,0.0,1.0,4.0,4.68,0.0,0.0,0.0,0.74,0.0,0.0,0.0,4.0,0.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,2.84,0.0,0.0,0.0,0.77,0.0,0.0,0.0,4.0,1.0,1
0.0,1.0,0.0,19.0,59.0,1.0,0.0,3.28,0.0,0.0,2.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.8,0.0,0.5,0.0,2.0,1.0,0
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.54,0.0,0.0,2.0,0.0,2.0,1.0,2.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,3.0,0.83,0.0,50.0,2.0,0.0,1.0,1.0,2.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,21.0,1.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,66.0,1.0,0.0,3.67,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,7.0,37.0,1.0,0.0,5.29,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,26.0,1.0,1.0,2.6,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
6.0,1.0,2.0,1.0,33.0,1.0,8.0,0.22,1.0,76.0,1.0,0.0,7.0,2.0,5.3,2.0,1.0,1.0,1.08,0.0,0.5,0.0,2.0,0.0,0
1.0,2.0,0.0,1.0,33.0,2.0,3.0,0.23,0.0,33.0,4.0,0.0,6.0,2.0,8.0,2.0,2.0,1.0,1.11,0.0,1.0,0.0,1.0,0.0,1
1.0,2.0,11.0,2.0,110.0,1.0,6.0,0.37,0.0,92.0,1.0,0.0,11.0,1.0,7.0,2.0,2.0,1.0,1.04,0.0,0.67,0.0,5.0,7.0,0
0.0,1.0,0.0,0.0,29.0,1.0,8.0,0.39,0.0,83.0,1.0,0.0,1.0,1.0,2.17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,46.0,1.0,9.0,0.56,0.0,85.0,1.0,0.0,1.0,1.0,2.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,35.0,1.0,5.0,0.95,0.0,62.0,1.0,0.0,0.0,1.0,1.88,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,27.0,1.0,0.0,0.08,1.0,0.0,1.0,0.0,20.0,2.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
12.0,1.0,0.0,0.0,26.0,2.0,3.0,0.1,2.0,90.0,2.0,0.0,33.0,2.0,4.25,0.0,1.0,1.0,0.16,0.0,0.5,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,3.58,2.0,1.0,1.0,0.23,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.43,0.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.6,0.0,0.0,0.0,1.0,0.0,0
2.0,2.0,3.0,0.0,47.0,2.0,9.0,0.11,0.0,86.0,1.0,0.0,2.0,4.0,2.67,0.0,0.0,0.0,0.8,0.0,0.0,0.0,3.0,0.0,1
1.0,1.0,1.0,1.0,12.0,1.0,19.0,0.16,0.0,78.0,1.0,0.0,0.0,2.0,4.6,0.0,1.0,0.0,0.43,0.0,0.0,0.0,1.0,1.0,1
2.0,2.0,3.0,0.0,36.0,2.0,10.0,0.08,0.0,87.0,1.0,0.0,2.0,4.0,2.82,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3.0,0.0,1
2.0,2.0,3.0,0.0,68.0,2.0,18.0,0.08,0.0,90.0,1.0,0.0,3.0,4.0,3.48,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.0,0.0,1
0.0,1.0,1.0,1.0,31.0,1.0,3.0,0.82,0.0,62.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,22.0,1.0,4.0,0.42,0.0,60.0,2.0,0.0,6.0,2.0,3.25,0.0,1.0,1.0,0.67,0.0,0.0,0.0,4.0,0.0,0
52.0,3.0,2.0,7.0,500.0,2.0,2.0,0.19,4.0,86.0,2.0,0.0,116.0,2.0,7.48,0.0,0.0,1.0,2.11,0.0,0.29,0.0,4.0,12.0,1
0.0,1.0,0.0,0.0,18.0,1.0,3.0,0.5,0.0,60.0,1.0,0.0,0.0,2.0,1.4,0.0,1.0,1.0,0.86,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,5.0,46.0,1.0,21.0,0.19,4.0,54.0,2.0,0.0,15.0,2.0,13.75,2.0,1.0,2.0,2.83,1.0,0.0,0.0,4.0,2.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,33.0,2.0,0.0,4.0,1.0,2.33,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,2.0,0.0,0.0,23.0,1.0,8.0,0.37,1.0,37.0,2.0,0.0,8.0,1.0,5.67,2.0,5.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0
4.0,2.0,1.0,1.0,54.0,1.0,19.0,0.16,0.0,87.0,1.0,0.0,16.0,2.0,3.88,0.0,1.0,1.0,1.5,0.0,0.0,0.0,3.0,3.0,1
0.0,2.0,0.0,2.0,39.0,2.0,10.0,0.39,1.0,100.0,2.0,0.0,12.0,2.0,3.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0
3.0,2.0,48.0,3.0,195.0,1.0,0.0,0.21,0.0,90.0,1.0,0.0,190.0,1.0,4.63,0.0,1.0,1.0,0.94,0.0,0.5,0.0,6.0,7.0,1
0.0,1.0,0.0,0.0,23.0,1.0,0.0,1.21,0.0,100.0,2.0,0.0,2.0,1.0,1.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,3.0,0.0,4.0,47.0,1.0,1.0,0.68,5.0,0.0,1.0,0.0,6.0,2.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,2.0,34.0,1.0,0.0,1.42,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1.5,0.0,0.0,0.0,3.0,1.0,0
0.0,2.0,0.0,2.0,39.0,1.0,2.0,0.34,1.0,27.0,2.0,0.0,7.0,1.0,2.45,0.0,1.0,1.0,1.54,0.0,0.5,0.0,1.0,2.0,0
7.0,2.0,0.0,1.0,83.0,1.0,29.0,0.22,1.0,80.0,2.0,0.0,14.0,1.0,7.5,2.0,1.0,1.0,1.76,0.0,0.0,0.0,3.0,1.0,1
0.0,1.0,3.0,1.0,94.0,8.0,25.0,0.19,1.0,100.0,2.0,2.0,18.0,2.0,4.32,0.0,0.0,0.0,1.05,0.0,0.0,0.0,5.0,2.0,0
5.0,3.0,0.0,1.0,55.0,1.0,17.0,0.21,1.0,79.0,1.0,0.0,15.0,1.0,6.42,2.0,1.0,1.0,2.07,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,1.0,30.0,1.0,0.0,3.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,3.0,1.0,6.0,37.0,1.0,0.0,0.61,3.0,50.0,1.0,0.0,1.0,1.0,5.5,0.0,1.0,1.0,2.25,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,3.0,26.0,1.0,0.0,6.5,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
8.0,1.0,97.0,3.0,503.0,14.0,10.0,0.32,0.0,100.0,2.0,6.0,63.0,2.0,4.72,0.0,1.0,0.0,1.08,0.0,0.38,0.0,6.0,6.0,1
0.0,1.0,0.0,1.0,33.0,1.0,4.0,0.48,1.0,66.0,1.0,0.0,5.0,2.0,4.33,1.0,1.0,1.0,0.88,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,1.0,1.06,0.0,0.0,1.0,0.0,0.0,2.0,1.33,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,28.0,1.0,0.0,7.0,0.0,0.0,1.0,16.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,2.0,12.0,0.21,0.0,100.0,1.0,0.0,9.0,1.0,2.59,0.0,1.0,0.0,0.12,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,12.0,33.0,1.0,0.0,3.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,2.0,0.0,4.0,39.0,1.0,0.0,1.44,0.0,0.0,2.0,0.0,2.0,2.0,6.75,0.0,2.0,1.0,0.5,0.0,1.0,0.0,4.0,1.0,0
2.0,1.0,0.0,4.0,54.0,1.0,1.0,0.25,3.0,92.0,3.0,0.0,30.0,1.0,4.43,0.0,1.0,1.0,1.9,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,2.0,0.19,0.0,88.0,1.0,0.0,3.0,2.0,0.48,0.0,0.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,1.0,28.0,1.0,4.0,0.58,0.0,43.0,1.0,0.0,0.0,2.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,3.33,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,3.0,0.0,0.0,17.0,1.0,0.0,0.23,1.0,100.0,2.0,0.0,11.0,1.0,1.5,0.0,0.0,1.0,1.5,0.0,1.0,0.0,2.0,1.0,0
0.0,2.0,0.0,0.0,25.0,1.0,1.0,0.26,0.0,66.0,2.0,2.0,11.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,29.0,1.0,0.0,0.29,3.0,33.0,2.0,0.0,4.0,1.0,4.0,3.0,9.0,2.0,2.25,0.0,0.0,0.0,1.0,2.0,0
0.0,1.0,0.0,1.0,19.0,1.0,0.0,2.71,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6.0,2.0,17.0,3.0,80.0,1.0,0.0,0.26,0.0,88.0,1.0,0.0,15.0,1.0,5.06,0.0,1.0,1.0,1.6,0.0,1.0,0.0,4.0,3.0,0
3.0,1.0,3.0,7.0,228.0,1.0,2.0,0.99,0.0,80.0,2.0,0.0,1.0,2.0,2.25,0.0,1.0,1.0,0.83,0.0,0.0,0.0,1.0,0.0,0
0.0,4.0,0.0,0.0,21.0,1.0,0.0,0.68,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,1.0,1.0,9.0,29.0,1.0,0.0,1.93,5.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0
16.0,2.0,7.0,3.0,117.0,3.0,9.0,0.22,1.0,85.0,1.0,0.0,18.0,2.0,5.8,0.0,0.0,1.0,1.53,0.0,1.0,0.0,3.0,1.0,1
0.0,1.0,0.0,0.0,17.0,1.0,0.0,1.55,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,2.0,0.5,0.0,70.0,2.0,0.0,3.0,1.0,1.75,0.0,1.0,1.0,0.3,0.0,1.0,0.0,2.0,1.0,0
1.0,1.0,1.0,0.0,21.0,1.0,1.0,0.6,0.0,37.0,1.0,0.0,0.0,1.0,6.88,1.0,1.0,1.0,0.36,0.0,1.0,0.0,1.0,0.0,0
1.0,2.0,0.0,3.0,62.0,1.0,0.0,0.17,1.0,63.0,1.0,0.0,13.0,2.0,5.25,2.0,1.0,1.0,2.57,0.0,1.0,0.0,1.0,0.0,0
1.0,1.0,0.0,2.0,142.0,1.0,6.0,0.35,0.0,84.0,1.0,1.0,19.0,2.0,6.14,0.0,1.0,1.0,0.84,0.0,0.33,0.0,5.0,6.0,1
0.0,1.0,0.0,0.0,24.0,1.0,4.0,0.4,0.0,40.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.4,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,4.0,57.0,1.0,3.0,0.7,0.0,62.0,1.0,0.0,7.0,2.0,4.38,2.0,1.0,1.0,1.2,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,4.0,28.0,1.0,0.0,1.12,0.0,0.0,1.0,0.0,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,2.0,196.0,4.0,29.0,0.7,0.0,92.0,1.0,0.0,9.0,2.0,5.98,0.0,1.0,1.0,0.0,0.0,0.67,0.0,2.0,2.0,0
0.0,1.0,0.0,5.0,31.0,1.0,0.0,0.61,2.0,0.0,1.0,0.0,10.0,2.0,2.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,4.0,33.0,1.0,0.0,0.8,6.0,100.0,1.0,0.0,14.0,2.0,1.0,1.0,15.0,2.0,1.75,1.0,0.0,0.0,1.0,0.0,0
1.0,3.0,13.0,1.0,77.0,7.0,9.0,0.23,0.0,100.0,1.0,0.0,28.0,2.0,3.81,0.0,1.0,0.0,1.14,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,23.0,2.0,4.0,0.62,0.0,33.0,1.0,0.0,2.0,2.0,2.17,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,2.0,5.0,7.0,67.0,1.0,0.0,0.24,6.0,66.0,1.0,0.0,32.0,1.0,6.33,0.0,1.0,1.0,1.38,0.0,0.5,0.0,2.0,2.0,0
2.0,1.0,0.0,1.0,63.0,3.0,5.0,0.29,0.0,67.0,1.0,0.0,26.0,2.0,2.12,1.0,1.0,1.0,1.05,0.0,0.0,0.0,2.0,0.0,0
5.0,1.0,0.0,1.0,63.0,5.0,3.0,0.32,1.0,100.0,1.0,0.0,22.0,2.0,2.56,1.0,1.0,1.0,0.95,0.0,0.5,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,27.0,1.0,2.0,1.23,0.0,37.0,1.0,0.0,0.0,2.0,2.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
3.0,4.0,6.0,11.0,108.0,1.0,0.0,0.42,4.0,71.0,1.0,0.0,37.0,2.0,5.43,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,0
0.0,1.0,0.0,0.0,33.0,2.0,8.0,0.36,0.0,75.0,1.0,0.0,2.0,2.0,3.41,1.0,1.0,1.0,0.76,0.0,1.0,0.0,3.0,0.0,1
2.0,2.0,9.0,2.0,56.0,1.0,0.0,0.22,0.0,86.0,1.0,0.0,9.0,1.0,5.7,0.0,1.0,1.0,2.17,0.0,0.0,0.0,1.0,1.0,1
2.0,1.0,0.0,0.0,23.0,1.0,0.0,0.51,0.0,75.0,2.0,0.0,10.0,1.0,4.25,2.0,2.0,1.0,0.67,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,8.0,36.0,1.0,0.0,1.33,2.0,0.0,2.0,0.0,4.0,1.0,2.5,2.0,2.0,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.45,0.0,61.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,21.0,1.0,6.0,5.25,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,56.0,1.0,3.0,1.93,0.0,55.0,1.0,0.0,0.0,1.0,4.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
2.0,3.0,12.0,7.0,187.0,7.0,0.0,0.3,3.0,100.0,1.0,0.0,34.0,2.0,6.8,0.0,1.0,1.0,1.75,0.0,0.33,0.0,4.0,3.0,1
0.0,1.0,0.0,0.0,28.0,1.0,4.0,0.58,0.0,70.0,2.0,0.0,1.0,1.0,2.4,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,3.0,0.54,0.0,77.0,1.0,0.0,1.0,2.0,2.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,5.0,0.4,0.0,80.0,2.0,0.0,1.0,2.0,1.85,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,2.0,0.86,0.0,66.0,1.0,0.0,1.0,2.0,1.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,35.0,1.0,9.0,0.37,0.0,86.0,2.0,0.0,1.0,2.0,1.85,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,10.0,0.22,0.0,89.0,2.0,0.0,2.0,2.0,1.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,1.0,1.26,0.0,62.0,1.0,0.0,1.0,2.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,2.0,1.0,2.0,2.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,36.0,1.0,5.0,0.67,0.0,79.0,1.0,0.0,1.0,2.0,1.58,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,0.0,25.0,1.0,7.0,0.26,0.0,85.0,2.0,0.0,3.0,2.0,2.89,0.0,1.0,1.0,0.14,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,4.0,64.0,1.0,4.0,1.28,0.0,70.0,2.0,0.0,0.0,2.0,1.8,0.0,1.0,1.0,0.25,0.0,1.0,0.0,4.0,1.0,0
0.0,1.0,0.0,2.0,29.0,1.0,2.0,0.91,0.0,66.0,1.0,0.0,2.0,3.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.45,0.0,62.0,1.0,0.0,1.0,1.0,3.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,31.0,1.0,6.0,0.26,0.0,80.0,1.0,0.0,5.0,3.0,6.6,0.0,1.0,1.0,0.14,0.0,0.0,0.0,3.0,1.0,1
1.0,1.0,0.0,0.0,22.0,1.0,5.0,0.92,0.0,91.0,1.0,0.0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,21.0,1.0,0.0,2.62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,27.0,1.0,0.0,1.17,1.0,0.0,1.0,13.0,4.0,2.0,1.0,1.0,2.0,1.0,1.6,0.0,0.0,0.0,1.0,0.0,0
