CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,2.12,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.0,0.0,1
1.0,1.0,1.0,1.0,12.0,1.0,4.0,0.43,0.0,75.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.43,0.0,0.0,0.0,1.0,1.0,1
2.0,1.0,3.0,0.0,27.0,2.0,5.0,0.1,0.0,86.0,1.0,0.0,2.0,4.0,2.23,0.0,0.0,0.0,0.87,0.0,0.0,0.0,2.0,0.0,1
2.0,2.0,3.0,0.0,68.0,2.0,24.0,0.06,0.0,92.0,1.0,0.0,4.0,4.0,7.05,0.0,0.0,0.0,0.47,0.0,0.5,0.0,4.0,1.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,2.09,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.0,0.0,1
0.0,0.0,0.0,0.0,305.0,31.0,0.0,0.13,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.5,0.0,4.0,5.0,1
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.54,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,1.0,0.65,1.0,25.0,2.0,0.0,2.0,1.0,2.5,2.0,2.0,1.0,1.5,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.54,0.0,0.0,2.0,0.0,2.0,1.0,2.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,7.0,37.0,1.0,0.0,5.29,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,26.0,1.0,1.0,2.6,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,2.0,38.0,4.0,211.0,2.0,0.0,0.3,1.0,94.0,1.0,0.0,23.0,2.0,4.97,1.0,1.0,1.0,1.4,0.0,0.6,0.0,4.0,9.0,1
1.0,1.0,1.0,0.0,17.0,1.0,4.0,0.26,1.0,55.0,1.0,0.0,0.0,1.0,5.75,2.0,1.0,1.0,1.33,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,46.0,1.0,9.0,0.56,0.0,85.0,1.0,0.0,1.0,1.0,2.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
9.0,1.0,6.0,3.0,137.0,2.0,0.0,0.08,8.0,76.0,2.0,2.0,26.0,2.0,6.03,1.0,1.0,1.0,1.09,0.0,0.4,0.0,7.0,6.0,1
0.0,0.0,0.0,0.0,37.0,1.0,0.0,1.68,0.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.43,0.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.6,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,1.0,12.0,1.0,3.0,0.48,0.0,73.0,1.0,0.0,0.0,2.0,1.4,0.0,1.0,0.0,0.43,0.0,0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1
0.0,1.0,0.0,0.0,33.0,1.0,6.0,0.36,0.0,85.0,1.0,0.0,4.0,2.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0
0.0,3.0,0.0,2.0,38.0,1.0,1.0,0.57,5.0,0.0,1.0,0.0,6.0,2.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0
0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,62.0,2.0,6.0,0.42,2.0,60.0,1.0,0.0,8.0,1.0,3.33,1.0,1.0,1.0,1.67,0.0,1.0,0.0,2.0,0.0,0
1.0,1.0,2.0,2.0,47.0,2.0,12.0,0.25,1.0,69.0,2.0,0.0,8.0,2.0,4.7,1.0,1.0,1.0,1.69,0.0,0.0,0.0,4.0,4.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,33.0,2.0,0.0,4.0,1.0,2.33,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,4.0,33.0,1.0,0.0,3.3,0.0,0.0,1.0,5.0,2.0,1.0,11.33,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,1.0,42.0,3.0,10.0,0.32,0.0,44.0,2.0,0.0,15.0,2.0,4.1,1.0,1.0,1.0,1.36,0.0,0.33,0.0,5.0,1.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.18,0.0,100.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
3.0,2.0,48.0,3.0,195.0,1.0,0.0,0.21,0.0,90.0,1.0,0.0,190.0,1.0,4.63,0.0,1.0,1.0,0.94,0.0,0.5,0.0,6.0,7.0,1
0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.44,0.0,100.0,2.0,0.0,5.0,2.0,0.8,0.0,0.0,1.0,0.43,0.0,0.0,0.0,1.0,1.0,0
2.0,1.0,1.0,2.0,85.0,2.0,33.0,0.29,2.0,84.0,3.0,0.0,29.0,2.0,5.93,0.0,1.0,1.0,1.39,0.0,1.0,0.0,2.0,1.0,1
2.0,2.0,0.0,4.0,64.0,2.0,3.0,0.36,1.0,100.0,3.0,0.0,13.0,2.0,5.1,0.0,1.0,0.0,2.31,0.0,0.5,0.0,3.0,4.0,1
0.0,1.0,0.0,0.0,20.0,1.0,4.0,0.45,0.0,64.0,2.0,0.0,3.0,2.0,2.2,0.0,1.0,1.0,0.57,0.0,0.0,0.0,3.0,2.0,0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.18,0.0,100.0,1.0,3.0,0.0,2.0,0.33,0.0,0.0,1.0,0.56,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,4.0,57.0,1.0,2.0,1.54,0.0,25.0,1.0,1.0,0.0,1.0,2.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,2.0,0.0,1.0,33.0,1.0,1.0,0.31,0.0,11.0,2.0,0.0,7.0,1.0,2.44,0.0,1.0,1.0,2.09,0.0,0.5,0.0,3.0,1.0,0
0.0,1.0,0.0,1.0,25.0,1.0,0.0,2.08,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,3.0,1.0,94.0,8.0,25.0,0.19,1.0,100.0,2.0,2.0,18.0,2.0,4.32,0.0,0.0,0.0,1.05,0.0,0.0,0.0,5.0,2.0,0
12.0,2.0,0.0,1.0,63.0,1.0,13.0,0.13,1.0,84.0,4.0,0.0,17.0,2.0,4.7,0.0,1.0,1.0,1.56,0.0,0.5,0.0,2.0,2.0,1
4.0,1.0,1.0,2.0,98.0,3.0,4.0,0.26,1.0,87.0,2.0,1.0,26.0,2.0,4.0,0.0,0.0,1.0,1.3,0.0,1.0,0.0,2.0,4.0,0
1.0,1.0,0.0,1.0,95.0,2.0,24.0,0.28,0.0,100.0,2.0,12.0,14.0,3.0,4.84,0.0,0.0,0.0,0.46,0.0,0.5,0.0,5.0,3.0,1
0.0,0.0,0.0,0.0,20.0,1.0,0.0,3.33,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,52.0,1.0,1.0,2.17,0.0,33.0,1.0,93.0,2.0,1.0,2.5,2.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0
0.0,1.0,0.0,0.0,20.0,1.0,1.0,1.43,0.0,33.0,5.0,0.0,0.0,1.0,16.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,2.0,3.0,144.0,8.0,33.0,0.45,1.0,100.0,2.0,3.0,11.0,1.0,4.96,0.0,0.0,0.0,1.21,0.0,0.5,0.0,3.0,3.0,1
1.0,1.0,0.0,1.0,92.0,2.0,11.0,0.57,0.0,100.0,1.0,2.0,4.0,2.0,3.03,0.0,1.0,0.0,0.34,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,2.0,12.0,0.21,0.0,100.0,1.0,0.0,9.0,1.0,2.59,0.0,1.0,0.0,0.12,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,12.0,33.0,1.0,0.0,3.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
2.0,1.0,0.0,4.0,54.0,1.0,1.0,0.25,3.0,92.0,3.0,0.0,30.0,1.0,4.43,0.0,1.0,1.0,1.9,0.0,0.0,0.0,1.0,0.0,0
4.0,3.0,0.0,4.0,61.0,1.0,3.0,0.21,3.0,83.0,3.0,1.0,35.0,1.0,5.33,2.0,1.0,1.0,2.83,0.0,0.67,0.0,2.0,2.0,0
0.0,1.0,0.0,0.0,25.0,1.0,2.0,0.17,0.0,40.0,3.0,0.0,0.0,1.0,2.67,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,0.0,0.38,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.45,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,2.43,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,28.0,1.0,0.0,3.11,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,11.0,45.0,1.0,3.0,1.18,2.0,0.0,1.0,0.0,5.0,2.0,18.0,6.0,4.0,1.0,1.5,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,10.0,30.0,1.0,0.0,3.75,0.0,0.0,0.0,2.0,1.0,0.0,31.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,12.0,33.0,1.0,0.0,4.71,0.0,0.0,0.0,104.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,17.0,1.0,2.0,0.71,0.0,41.0,1.0,0.0,2.0,1.0,2.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.53,0.0,57.0,2.0,0.0,2.0,1.0,1.86,1.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,1.55,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,1.0,0.5,0.0,80.0,1.0,1.0,6.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1
1.0,1.0,1.0,0.0,21.0,1.0,1.0,0.6,0.0,37.0,1.0,0.0,0.0,1.0,6.88,1.0,1.0,1.0,0.36,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,65.0,1.0,0.0,1.25,0.0,100.0,0.0,2.0,6.0,0.0,1.82,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.33,0.0,0.0,2.0,3.0,0.0,1.0,37.75,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,8.0,100.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1
0.0,1.0,0.0,23.0,56.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.69,0.0,0.0,2.0,0.0,0.0,1.0,1.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
4.0,2.0,20.0,8.0,205.0,1.0,0.0,0.25,4.0,95.0,1.0,0.0,47.0,1.0,7.71,0.0,1.0,1.0,2.26,0.0,0.6,0.0,3.0,3.0,0
5.0,3.0,0.0,3.0,71.0,4.0,1.0,0.35,1.0,100.0,1.0,0.0,24.0,2.0,2.1,0.0,1.0,1.0,1.13,0.0,0.0,0.0,2.0,1.0,0
5.0,3.0,0.0,9.0,159.0,1.0,6.0,0.56,1.0,70.0,1.0,0.0,17.0,2.0,4.9,2.0,1.0,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0
6.0,3.0,7.0,3.0,56.0,1.0,0.0,0.29,1.0,66.0,1.0,0.0,17.0,1.0,5.33,0.0,1.0,1.0,1.73,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.89,1.0,0.0,1.0,0.0,7.0,2.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,27.0,1.0,2.0,1.23,0.0,37.0,1.0,0.0,0.0,2.0,2.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,3.0,4.0,29.0,1.0,0.0,0.38,3.0,0.0,1.0,0.0,9.0,1.0,4.33,3.0,8.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,55.0,1.0,5.0,1.77,0.0,66.0,1.0,0.0,1.0,1.0,2.67,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,34.0,1.0,0.0,2.62,0.0,0.0,2.0,1.0,3.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.29,0.0,66.0,1.0,0.0,2.0,1.0,2.33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,3.0,1.12,0.0,40.0,1.0,0.0,0.0,1.0,2.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
116.0,2.0,14.0,7.0,1285.0,7.0,39.0,0.21,4.0,95.0,2.0,0.0,181.0,2.0,8.59,1.0,1.0,1.0,1.94,0.0,0.45,0.0,4.0,12.0,1
0.0,1.0,0.0,0.0,31.0,1.0,2.0,1.11,0.0,66.0,1.0,0.0,1.0,2.0,1.17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,4.0,0.0,1.0,20.0,1.0,0.0,0.29,1.0,33.0,1.0,0.0,4.0,1.0,10.5,9.0,10.0,6.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,5.0,0.38,0.0,76.0,1.0,0.0,4.0,2.0,2.77,0.0,1.0,1.0,0.4,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,9.0,30.0,1.0,0.0,3.75,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,33.0,2.0,1.0,0.46,0.0,100.0,1.0,0.0,3.0,3.0,1.83,0.0,1.0,1.0,1.67,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,20.0,0.11,0.0,93.0,2.0,0.0,0.0,2.0,1.91,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,2.0,50.0,1.0,3.0,1.22,0.0,77.0,2.0,0.0,1.0,2.0,1.67,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,67.0,1.0,14.0,0.46,0.0,90.0,1.0,0.0,3.0,2.0,3.39,0.0,1.0,1.0,0.09,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,2.0,1.0,2.0,2.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,0.0,35.0,2.0,12.0,0.19,0.0,86.0,1.0,0.0,4.0,2.0,3.29,1.0,1.0,1.0,0.62,0.0,1.0,0.0,3.0,2.0,0
1.0,1.0,0.0,0.0,60.0,1.0,26.0,0.18,0.0,95.0,1.0,1.0,8.0,2.0,5.44,1.0,1.0,1.0,0.3,0.0,0.5,0.0,6.0,4.0,1
0.0,1.0,0.0,2.0,48.0,1.0,2.0,1.17,0.0,77.0,2.0,0.0,1.0,2.0,1.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,4.0,0.39,0.0,70.0,1.0,0.0,3.0,1.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,31.0,1.0,3.0,1.0,0.0,76.0,2.0,0.0,0.0,2.0,2.33,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,1.0,1.0,0.0,60.0,1.0,0.0,2.0,2.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.75,0.0,66.0,2.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,2.0,7.0,3.0,82.0,5.0,0.0,0.38,1.0,100.0,1.0,0.0,24.0,2.0,2.08,0.0,1.0,1.0,1.33,0.0,0.0,0.0,4.0,1.0,0
0.0,1.0,0.0,0.0,30.0,1.0,8.0,0.51,0.0,87.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
9.0,3.0,3.0,3.0,69.0,2.0,2.0,0.19,2.0,0.0,2.0,0.0,13.0,1.0,6.94,2.0,1.0,1.0,1.76,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.0,22.0,1.0,5.0,0.92,0.0,91.0,1.0,0.0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,4.0,0.0,2.0,39.0,4.0,10.0,0.21,1.0,42.0,1.0,0.0,5.0,2.0,6.75,0.0,2.0,1.0,1.86,0.0,1.0,0.0,3.0,2.0,0
0.0,1.0,1.0,5.0,58.0,1.0,2.0,0.76,2.0,40.0,1.0,0.0,12.0,2.0,4.2,1.0,1.0,1.0,0.75,0.0,0.0,0.0,3.0,1.0,0
1.0,1.0,0.0,0.0,27.0,3.0,4.0,0.23,0.0,100.0,2.0,0.0,7.0,2.0,2.3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,68.0,3.0,18.0,0.29,1.0,100.0,2.0,1.0,14.0,2.0,6.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,17.0,43.0,1.0,0.0,5.38,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,1.0,29.0,2.0,0.0,0.5,1.0,0.0,3.0,0.0,9.0,1.0,7.5,3.0,4.0,3.0,1.6,1.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.33,2.0,50.0,2.0,0.0,13.0,1.0,3.0,2.0,3.0,2.0,1.8,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.33,0.0,33.0,2.0,0.0,10.0,1.0,3.0,2.0,3.0,2.0,1.6,1.0,1.0,0.0,1.0,0.0,0
0.0,2.0,0.0,0.0,25.0,1.0,3.0,0.29,1.0,44.0,2.0,0.0,8.0,1.0,3.33,2.0,3.0,4.0,1.8,1.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,18.0,1.0,2.0,0.23,1.0,50.0,2.0,0.0,13.0,1.0,3.67,2.0,3.0,3.0,1.6,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.67,0.0,50.0,2.0,0.0,6.0,1.0,2.33,1.0,2.0,1.0,0.6,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,2.0,0.24,2.0,50.0,2.0,0.0,14.0,1.0,3.0,2.0,3.0,2.0,2.4,1.0,0.0,0.0,1.0,0.0,0
0.0,3.0,0.0,0.0,17.0,1.0,0.0,0.81,0.0,0.0,4.0,0.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.55,0.0,50.0,2.0,0.0,7.0,1.0,2.67,2.0,1.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,0.0,21.0,1.0,3.0,0.25,0.0,66.0,2.0,0.0,9.0,1.0,2.75,0.0,0.0,1.0,1.17,0.0,0.0,0.0,3.0,0.0,0
1.0,1.0,0.0,4.0,87.0,3.0,4.0,0.53,0.0,27.0,1.0,0.0,2.0,2.0,4.17,1.0,1.0,1.0,0.88,0.0,1.0,0.0,2.0,0.0,0
