CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,0.0,3.0,2.0,0.47,0.0,78.0,2.0,0.0,12.0,1.0,4.31,1.0,3.23,1.0,1.0,1.33,0.0,42.0,0.75,0.0,4.0,1.0,0
0.0,1.0,0.0,0.0,0.0,3.29,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,10.0,0.0,9.57,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.67,0.0,1.0,0.0,0
7.0,1.0,0.0,11.0,0.0,5.29,0.0,100.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,2.0,0.0,0
1.0,1.0,1.0,1.0,5.0,0.36,0.0,88.0,1.0,3.0,15.0,2.0,5.81,0.0,3.21,0.0,1.0,0.42,0.0,9.0,0.67,0.0,3.0,2.0,0
0.0,1.0,0.0,0.0,0.0,4.22,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0
0.0,1.0,1.0,3.0,0.0,1.54,0.0,75.0,1.0,0.0,0.0,2.0,28.62,0.0,1.5,1.0,1.0,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,0.0,2.54,0.0,100.0,2.0,10.0,0.0,1.0,11.67,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,0.0,2.33,0.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0,1.67,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.56,0.0,55.0,2.0,0.0,3.0,1.0,1.5,0.0,2.2,1.0,1.0,0.0,0.0,2.0,0.67,0.0,3.0,1.0,0
0.0,1.0,1.0,2.0,0.0,0.47,0.0,71.0,3.0,0.0,6.0,1.0,2.89,0.0,3.16,1.0,1.0,0.43,0.0,0.0,0.67,0.0,5.0,0.0,0
0.0,1.0,0.0,6.0,0.0,5.95,0.0,100.0,2.0,3.0,2.0,1.0,6.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.8,0.0,66.0,2.0,0.0,2.0,1.0,1.33,0.0,1.33,0.0,1.0,0.38,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.51,0.0,55.0,2.0,0.0,2.0,1.0,2.89,1.0,2.33,1.0,1.0,0.55,0.0,2.0,0.67,0.0,4.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.93,0.0,33.0,2.0,0.0,1.0,1.0,2.0,1.0,2.17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,1.0,0.0,1.0,0.18,0.0,72.0,2.0,0.0,4.0,2.0,2.62,0.0,4.08,1.0,1.0,1.25,0.0,0.0,0.67,0.0,2.0,0.0,0
0.0,1.0,1.0,2.0,0.0,1.6,0.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,0.0,0.4,0.0,50.0,2.0,0.0,2.0,1.0,3.54,0.0,2.46,1.0,1.0,0.2,0.0,0.0,0.67,0.0,3.0,1.0,0
0.0,1.0,0.0,3.0,0.0,0.82,0.0,54.0,1.0,0.0,2.0,2.0,3.31,1.0,2.56,1.0,1.0,0.65,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,0.0,0.85,0.0,62.0,1.0,0.0,3.0,2.0,10.5,2.0,2.3,1.0,1.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,9.0,0.2,0.0,100.0,2.0,4.0,5.0,2.0,4.4,0.0,3.5,0.0,1.0,1.15,0.0,297.0,0.62,0.0,1.0,0.0,0
1.0,1.0,0.0,4.0,5.0,0.2,4.0,67.0,2.0,0.0,7.0,2.0,7.07,0.0,6.93,1.0,1.0,0.95,0.0,537.0,0.62,0.0,1.0,0.0,0
0.0,1.0,1.0,2.0,0.0,0.47,0.0,81.0,1.0,0.0,3.0,2.0,3.0,0.0,3.67,0.0,1.0,0.78,0.0,386.0,0.62,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,2.71,0.0,100.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,28.0,0.4,0.0,1.0,0.0,0
6.0,1.0,13.0,3.0,0.0,0.3,0.0,86.0,2.0,0.0,55.0,4.0,5.21,0.0,4.93,1.0,1.0,0.81,0.0,40.0,0.45,0.0,4.0,7.0,1
0.0,1.0,0.0,5.0,0.0,4.68,0.0,0.0,0.0,5.0,3.0,0.0,3.23,1.0,0.77,0.0,1.0,0.0,0.0,31.0,0.5,0.0,4.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.69,0.0,41.0,1.0,0.0,4.0,2.0,7.0,2.0,2.25,1.0,1.0,0.3,0.0,18.0,0.6,0.0,2.0,0.0,0
1.0,1.0,1.0,4.0,0.0,0.82,0.0,87.0,1.0,0.0,9.0,1.0,11.06,2.0,3.44,1.0,1.0,0.2,0.0,10.0,0.4,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,0.0,0.77,0.0,100.0,1.0,1.0,5.0,3.0,4.0,0.0,2.0,1.0,0.0,0.38,0.0,22.0,0.33,0.0,2.0,2.0,0
0.0,1.0,2.0,0.0,0.0,0.42,0.0,92.0,1.0,0.0,0.0,1.0,4.62,0.0,2.79,1.0,1.0,0.23,0.0,1.0,0.5,0.0,2.0,0.0,0
8.0,1.0,3.0,1.0,0.0,0.23,0.0,100.0,2.0,4.0,2.0,1.0,3.84,0.0,2.76,1.0,0.0,1.06,0.0,23.0,0.8,0.0,2.0,2.0,0
0.0,1.0,0.0,4.0,0.0,1.18,0.0,45.0,1.0,0.0,1.0,2.0,5.0,1.0,2.21,1.0,1.0,0.44,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,1.0,4.0,0.0,0.75,0.0,94.0,1.0,0.0,4.0,2.0,4.09,2.0,3.0,1.0,1.0,1.54,0.0,14.0,0.8,0.0,3.0,3.0,0
9.0,2.0,6.0,3.0,12.0,0.29,0.0,93.0,2.0,2.0,12.0,2.0,5.34,0.0,6.22,1.0,1.0,1.38,0.0,156.0,0.62,0.0,3.0,4.0,0
5.0,1.0,7.0,4.0,0.0,0.66,0.0,76.0,1.0,0.0,2.0,2.0,3.33,0.0,3.2,1.0,1.0,0.68,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,2.71,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,91.0,1.0,0.0,0.0,1.0,0.33,0.0,1.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,4.0,3.0,0.0,0.56,0.0,86.0,1.0,0.0,13.0,2.0,4.4,0.0,4.07,1.0,1.0,0.82,0.0,17.0,0.33,0.0,2.0,4.0,1
0.0,3.0,0.0,2.0,0.0,0.63,0.0,0.0,1.0,0.0,8.0,2.0,6.5,6.0,7.5,6.0,4.0,1.67,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,8.0,0.0,1.2,1.0,100.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,12.0,8.0,0.0,0.92,0.0,0.0,1.0,0.0,9.0,1.0,4.75,2.0,5.17,1.0,1.0,0.86,0.0,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,3.0,0.0,1.33,0.0,0.0,1.0,0.0,5.0,2.0,2.54,1.0,1.46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,8.0,2.0,0.93,0.0,66.0,3.0,0.0,7.0,2.0,3.83,1.0,4.33,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0
9.0,1.0,2.0,3.0,0.0,0.67,0.0,83.0,2.0,4.0,8.0,2.0,3.46,0.0,3.38,1.0,1.0,0.43,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,14.0,0.0,3.24,0.0,100.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,6.0,5.0,0.0,0.49,0.0,72.0,3.0,0.0,11.0,1.0,4.0,1.0,6.55,2.0,1.0,1.8,0.0,56.0,0.8,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,1.0,1.24,0.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,5.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0
1.0,1.0,0.0,3.0,0.0,0.81,0.0,77.0,2.0,0.0,6.0,1.0,2.29,0.0,4.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0
0.0,2.0,4.0,2.0,1.0,0.27,0.0,100.0,3.0,0.0,10.0,2.0,4.0,0.0,6.8,1.0,0.0,1.41,0.0,9.0,1.0,0.0,2.0,0.0,0
0.0,2.0,4.0,4.0,0.0,0.61,0.0,100.0,3.0,0.0,8.0,1.0,2.0,0.0,5.29,1.0,0.0,0.91,0.0,12.0,0.33,0.0,3.0,2.0,0
0.0,1.0,0.0,5.0,0.0,0.92,0.0,75.0,2.0,0.0,6.0,2.0,2.5,0.0,3.0,0.0,1.0,0.62,0.0,1.0,1.0,0.0,4.0,0.0,0
1.0,2.0,1.0,3.0,0.0,0.32,0.0,80.0,2.0,0.0,11.0,2.0,4.4,1.0,7.5,1.0,1.0,2.36,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,2.0,0.0,8.0,0.0,0.63,0.0,50.0,2.0,0.0,8.0,1.0,6.71,4.0,6.29,3.0,1.0,2.3,0.0,123.0,0.5,0.0,1.0,3.0,0
0.0,1.0,0.0,0.0,0.0,1.56,0.0,0.0,1.0,0.0,2.0,2.0,2.5,2.0,2.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,6.0,0.93,0.0,55.0,1.0,4.0,2.0,2.0,2.6,1.0,3.2,0.0,1.0,0.46,0.0,0.0,1.0,0.0,2.0,0.0,0
2.0,1.0,0.0,0.0,0.0,0.59,0.0,52.0,1.0,0.0,1.0,2.0,2.17,0.0,2.0,0.0,1.0,0.11,0.0,0.0,1.0,0.0,3.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.48,0.0,87.0,2.0,0.0,6.0,2.0,2.11,0.0,3.33,1.0,0.0,0.77,0.0,1.0,1.0,0.0,1.0,2.0,0
0.0,1.0,0.0,4.0,0.0,0.3,2.0,40.0,2.0,0.0,16.0,1.0,8.0,2.0,12.25,4.0,2.0,1.67,1.0,5.0,0.6,0.0,1.0,0.0,0
2.0,1.0,0.0,0.0,0.0,0.68,0.0,50.0,3.0,0.0,4.0,1.0,2.5,1.0,3.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0
5.0,1.0,6.0,3.0,3.0,0.32,0.0,100.0,2.0,2.0,78.0,5.0,5.39,0.0,5.59,1.0,0.0,0.82,0.0,639.0,0.3,4.0,4.0,11.0,1
1.0,2.0,1.0,0.0,1.0,0.16,0.0,71.0,3.0,0.0,12.0,1.0,2.6,1.0,6.3,1.0,1.0,1.46,0.0,3.0,1.0,0.0,2.0,3.0,0
1.0,1.0,3.0,4.0,0.0,0.41,0.0,83.0,1.0,0.0,21.0,1.0,5.96,0.0,6.91,0.0,1.0,1.28,0.0,41.0,0.4,0.0,3.0,4.0,1
0.0,1.0,0.0,0.0,0.0,1.31,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.5,1.0,1.0,0.75,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,1.0,0.18,0.0,50.0,1.0,0.0,7.0,2.0,1.65,0.0,3.35,2.0,1.0,0.35,0.0,8.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.49,0.0,60.0,1.0,0.0,0.0,2.0,1.6,0.0,2.8,1.0,1.0,0.43,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.32,0.0,61.0,2.0,0.0,0.0,1.0,1.71,0.0,2.86,1.0,1.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,0.0,0.43,0.0,79.0,1.0,0.0,1.0,2.0,3.87,0.0,3.67,1.0,1.0,1.25,0.0,5.0,0.67,0.0,1.0,1.0,0
0.0,2.0,1.0,1.0,2.0,0.41,1.0,63.0,2.0,6.0,2.0,1.0,4.17,2.0,6.67,1.0,1.0,1.75,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.43,0.0,64.0,2.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,0.44,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,0.0,2.8,0.0,100.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,0.0,3.0,0.0,2.29,0.0,100.0,2.0,0.0,1.0,1.0,2.0,0.0,1.33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,0.0,0.31,0.0,76.0,1.0,0.0,11.0,3.0,3.12,1.0,3.94,1.0,1.0,0.59,0.0,7.0,0.5,0.0,3.0,1.0,0
0.0,1.0,5.0,0.0,0.0,0.48,0.0,40.0,1.0,0.0,0.0,1.0,2.2,1.0,2.4,1.0,1.0,0.43,0.0,0.0,1.0,0.0,2.0,0.0,0
6.0,1.0,0.0,4.0,1.0,0.4,0.0,66.0,2.0,5.0,13.0,2.0,5.35,0.0,7.06,1.0,1.0,1.1,0.0,12.0,0.5,0.0,4.0,1.0,0
0.0,2.0,0.0,0.0,1.0,0.51,0.0,66.0,3.0,0.0,3.0,1.0,2.5,1.0,3.75,1.0,1.0,0.67,0.0,0.0,1.0,0.0,1.0,0.0,0
1.0,2.0,0.0,6.0,0.0,0.78,0.0,57.0,2.0,0.0,3.0,3.0,4.78,0.0,3.94,1.0,1.0,1.29,0.0,9.0,0.5,0.0,3.0,3.0,0
0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
3.0,1.0,0.0,3.0,0.0,0.66,0.0,70.0,2.0,0.0,4.0,2.0,3.45,1.0,3.15,1.0,1.0,0.46,0.0,1.0,1.0,0.0,3.0,1.0,0
13.0,2.0,1.0,5.0,2.0,0.69,0.0,86.0,2.0,0.0,16.0,2.0,5.46,0.0,6.17,1.0,1.0,1.13,0.0,20.0,0.38,0.0,5.0,5.0,1
4.0,2.0,2.0,3.0,0.0,0.38,0.0,81.0,2.0,2.0,14.0,2.0,4.6,0.0,5.84,1.0,1.0,1.33,0.0,25.0,0.4,0.0,3.0,4.0,0
2.0,2.0,0.0,4.0,0.0,0.96,0.0,71.0,1.0,0.0,2.0,1.0,4.92,2.0,3.0,1.0,1.0,0.76,0.0,5.0,0.67,0.0,1.0,2.0,0
0.0,1.0,0.0,6.0,0.0,1.08,0.0,88.0,1.0,0.0,4.0,1.0,4.83,1.0,2.25,1.0,1.0,0.93,0.0,4.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,1.44,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.5,1.0,1.0,0.75,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,1.0,0.77,0.0,50.0,1.0,0.0,3.0,2.0,2.4,2.0,2.6,2.0,1.0,0.43,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,6.0,0.0,5.22,0.0,0.0,2.0,1.0,1.0,1.0,2.75,2.0,0.75,0.0,1.0,0.0,0.0,20.0,0.5,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,0.0,1.44,0.0,80.0,1.0,0.0,1.0,1.0,3.5,1.0,1.75,1.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,3.29,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,0.0,4.88,0.0,0.0,3.0,2.0,1.0,1.0,2.67,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,2.0,0.0,0
0.0,1.0,0.0,5.0,0.0,1.44,0.0,50.0,1.0,0.0,1.0,1.0,4.0,3.0,2.6,1.0,1.0,0.57,0.0,1.0,0.5,0.0,2.0,0.0,0
2.0,3.0,0.0,7.0,0.0,0.95,1.0,100.0,1.0,0.0,21.0,1.0,6.86,0.0,7.07,1.0,0.0,0.76,0.0,31.0,0.5,0.0,5.0,3.0,1
4.0,1.0,7.0,5.0,0.0,0.55,1.0,0.0,1.0,0.0,8.0,1.0,5.29,1.0,5.57,1.0,1.0,1.33,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,0.0,2.64,0.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,44.0,0.5,0.0,2.0,1.0,0
24.0,2.0,12.0,4.0,3.0,0.32,0.0,100.0,2.0,3.0,21.0,2.0,6.54,2.0,6.37,1.0,1.0,1.35,0.0,120.0,0.53,0.0,2.0,4.0,0
0.0,1.0,3.0,8.0,0.0,0.88,4.0,0.0,1.0,0.0,4.0,1.0,7.0,3.0,8.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,1.0,0.0,0
1.0,1.0,0.0,5.0,1.0,0.5,0.0,78.0,2.0,0.0,7.0,1.0,5.0,1.0,5.67,1.0,1.0,1.12,0.0,5.0,0.5,0.0,2.0,2.0,0
0.0,1.0,0.0,7.0,0.0,1.03,0.0,83.0,1.0,0.0,2.0,1.0,7.27,0.0,3.81,1.0,1.0,0.66,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,2.0,0.0,0.63,0.0,25.0,2.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,0.0,0.71,0.0,85.0,1.0,0.0,2.0,2.0,5.17,0.0,1.94,0.0,1.0,0.19,0.0,0.0,0.5,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,0.0,1.07,0.0,78.0,1.0,0.0,4.0,3.0,5.6,1.0,3.33,1.0,1.0,0.44,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,3.0,0.0,1.27,0.0,75.0,1.0,0.0,1.0,3.0,5.0,0.0,1.73,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,3.0,2.0,0.0,0.25,0.0,100.0,1.0,0.0,29.0,3.0,5.51,0.0,6.41,1.0,0.0,0.53,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,0.0,1.85,0.0,50.0,1.0,0.0,0.0,2.0,2.33,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,0.0,0.93,0.0,72.0,1.0,0.0,3.0,2.0,3.86,0.0,2.36,1.0,1.0,0.19,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,0.0,0.46,0.0,85.0,1.0,0.0,13.0,3.0,3.95,1.0,6.14,1.0,1.0,0.61,0.0,0.0,1.0,0.0,1.0,1.0,0
18.0,1.0,18.0,0.0,4.0,0.04,0.0,95.0,2.0,2.0,3.0,2.0,1.94,0.0,2.97,0.0,1.0,0.26,0.0,0.0,0.0,0.0,2.0,0.0,0
23.0,1.0,34.0,0.0,8.0,0.02,0.0,95.0,2.0,2.0,9.0,2.0,2.19,0.0,3.32,0.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.4,0.0,50.0,1.0,0.0,1.0,2.0,3.5,1.0,6.0,2.0,1.0,2.4,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.54,0.0,33.0,1.0,0.0,1.0,2.0,2.0,1.0,3.33,2.0,1.0,0.6,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,3.0,0.0,1.0,0.0,0.15,0.0,30.0,2.0,0.0,10.0,1.0,6.0,4.0,17.5,4.0,1.0,2.5,0.0,3.0,0.5,0.0,2.0,1.0,0
0.0,1.0,0.0,2.0,0.0,0.48,0.0,50.0,2.0,0.0,5.0,1.0,3.0,1.0,9.0,2.0,1.0,0.75,0.0,0.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,6.0,0.0,3.19,0.0,0.0,0.0,2.0,1.0,0.0,4.4,1.0,0.8,0.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,1.0,0
1.0,1.0,3.0,0.0,0.0,0.11,0.0,90.0,2.0,0.0,3.0,4.0,10.5,0.0,2.24,0.0,0.0,0.71,0.0,127.0,0.5,0.0,4.0,0.0,0
1.0,2.0,3.0,0.0,0.0,0.07,0.0,93.0,2.0,0.0,3.0,4.0,3.61,0.0,3.46,0.0,0.0,0.59,0.0,401.0,0.67,0.0,2.0,0.0,0
7.0,1.0,7.0,0.0,11.0,0.08,0.0,87.0,1.0,1.0,36.0,2.0,6.21,0.0,6.92,1.0,0.0,1.32,0.0,146.0,0.67,0.0,1.0,1.0,1
1.0,1.0,3.0,0.0,0.0,0.09,0.0,90.0,2.0,0.0,4.0,4.0,2.91,0.0,3.19,1.0,0.0,0.68,0.0,83.0,1.0,0.0,1.0,0.0,0
1.0,2.0,3.0,0.0,0.0,0.09,0.0,91.0,2.0,0.0,4.0,4.0,3.9,0.0,3.4,1.0,0.0,0.63,0.0,97.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,3.14,0.0,100.0,2.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,2.0,0.0,3.0,0.0,100.0,3.0,0.0,0.0,1.0,1.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
