CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,0.0,0.0,20.0,1.0,4.0,0.69,0.0,62.0,1.0,0.0,1.0,1.0,2.67,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,3.31,0.0,0.0,0.0,0.89,0.0,0.0,0.0,4.0,0.0,1
2.0,2.0,3.0,0.0,50.0,2.0,11.0,0.1,0.0,86.0,1.0,0.0,4.0,4.0,3.19,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.0,0.0,1
2.0,1.0,3.0,0.0,26.0,2.0,5.0,0.11,0.0,87.0,2.0,0.0,1.0,4.0,3.38,0.0,0.0,0.0,0.77,0.0,0.0,0.0,4.0,0.0,1
0.0,0.0,0.0,0.0,305.0,31.0,0.0,0.13,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.0,0.5,0.0,4.0,5.0,1
0.0,1.0,0.0,19.0,59.0,1.0,0.0,3.28,0.0,0.0,2.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.8,0.0,0.5,0.0,2.0,1.0,0
0.0,1.0,0.0,1.0,20.0,1.0,1.0,1.67,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,2.0,23.0,1.0,2.0,1.35,0.0,33.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,7.0,29.0,1.0,0.0,4.83,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,1.0,1.14,0.0,40.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,29.0,1.0,1.0,1.93,0.0,25.0,1.0,0.0,0.0,1.0,1.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,3.0,33.0,1.0,2.0,1.57,0.0,40.0,1.0,0.0,0.0,1.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,46.0,1.0,9.0,0.56,0.0,85.0,1.0,0.0,1.0,1.0,2.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,35.0,1.0,8.0,0.47,0.0,83.0,1.0,0.0,1.0,1.0,2.22,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,46.0,1.0,9.0,0.56,0.0,85.0,1.0,0.0,1.0,1.0,2.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,27.0,1.0,0.0,0.08,1.0,0.0,1.0,0.0,20.0,2.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,21.0,2.0,0.0,0.5,0.0,50.0,3.0,2.0,4.0,2.0,3.75,1.0,2.0,1.0,0.71,0.0,1.0,0.0,4.0,0.0,0
0.0,0.0,0.0,0.0,500.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,3.0,135.0,0.0,0.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,1.0,1.0,0.88,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,21.0,0.0,11.0,167.0,0.0,0.0,0.16,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.0,0.0,0
0.0,3.0,1.0,0.0,17.0,1.0,0.0,0.85,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,20.0,7.0,0.0,0.04,0.0,74.0,0.0,0.0,9.0,0.0,1.45,0.0,1.0,1.0,0.39,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,1.0,1.0,12.0,1.0,3.0,0.48,0.0,73.0,1.0,0.0,0.0,2.0,1.4,0.0,1.0,0.0,0.43,0.0,0.0,0.0,1.0,1.0,0
2.0,2.0,3.0,0.0,68.0,2.0,18.0,0.08,0.0,90.0,1.0,0.0,3.0,4.0,3.48,0.0,0.0,0.0,0.54,0.0,0.0,0.0,3.0,0.0,1
0.0,0.0,0.0,0.0,109.0,12.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.19,0.0,0.0,0.0,3.0,2.0,1
0.0,2.0,0.0,0.0,33.0,1.0,8.0,0.3,0.0,88.0,3.0,2.0,12.0,2.0,4.0,0.0,1.0,1.0,1.92,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,10.0,32.0,1.0,0.0,2.46,0.0,100.0,5.0,0.0,0.0,1.0,7.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,4.0,0.42,0.0,60.0,2.0,0.0,6.0,2.0,3.25,0.0,1.0,1.0,0.67,0.0,0.0,0.0,4.0,0.0,0
11.0,2.0,2.0,1.0,136.0,2.0,32.0,0.2,2.0,88.0,2.0,2.0,16.0,2.0,7.29,0.0,1.0,1.0,1.58,0.0,0.5,0.0,3.0,1.0,1
0.0,1.0,0.0,1.0,50.0,1.0,5.0,0.37,0.0,85.0,2.0,0.0,9.0,2.0,3.29,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0
5.0,1.0,7.0,4.0,139.0,1.0,2.0,0.19,3.0,85.0,2.0,1.0,36.0,3.0,4.86,0.0,1.0,1.0,1.6,0.0,0.75,0.0,6.0,7.0,1
1.0,4.0,1.0,2.0,26.0,1.0,0.0,0.87,0.0,0.0,1.0,0.0,12.0,1.0,8.5,0.0,1.0,1.0,0.75,0.0,0.0,0.0,2.0,1.0,0
9.0,1.0,0.0,2.0,126.0,4.0,60.0,0.2,1.0,100.0,3.0,6.0,38.0,2.0,6.44,0.0,0.0,0.0,1.46,0.0,1.0,0.0,4.0,5.0,1
1.0,1.0,1.0,1.0,23.0,1.0,0.0,0.96,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.75,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,2.0,34.0,1.0,0.0,1.42,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1.5,0.0,0.0,0.0,3.0,1.0,0
0.0,2.0,0.0,2.0,39.0,1.0,2.0,0.34,1.0,27.0,2.0,0.0,7.0,1.0,2.45,0.0,1.0,1.0,1.54,0.0,0.5,0.0,1.0,2.0,0
0.0,1.0,1.0,6.0,65.0,1.0,21.0,0.29,2.0,71.0,3.0,0.0,18.0,2.0,9.4,0.0,1.0,1.0,2.86,0.0,0.0,0.0,4.0,4.0,1
0.0,1.0,0.0,0.0,20.0,1.0,2.0,0.45,0.0,42.0,1.0,0.0,0.0,1.0,2.86,1.0,1.0,1.0,0.56,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,26.0,1.0,0.0,6.5,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,20.0,1.0,0.0,3.33,0.0,0.0,5.0,0.0,0.0,1.0,32.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
8.0,1.0,97.0,3.0,503.0,14.0,10.0,0.32,0.0,100.0,2.0,6.0,63.0,2.0,4.72,0.0,1.0,0.0,1.08,0.0,0.38,0.0,6.0,6.0,1
1.0,1.0,2.0,3.0,144.0,8.0,33.0,0.45,1.0,100.0,2.0,3.0,11.0,1.0,4.96,0.0,0.0,0.0,1.21,0.0,0.5,0.0,3.0,3.0,0
1.0,1.0,0.0,1.0,92.0,2.0,11.0,0.57,0.0,100.0,1.0,2.0,4.0,2.0,3.03,0.0,1.0,0.0,0.34,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,2.0,12.0,0.21,0.0,100.0,1.0,0.0,9.0,1.0,2.59,0.0,1.0,0.0,0.12,0.0,0.0,0.0,2.0,1.0,0
1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.19,3.0,33.0,4.0,0.0,12.0,1.0,7.33,3.0,7.0,2.0,3.2,1.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.25,0.0,83.0,1.0,0.0,0.0,2.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,15.0,99.0,1.0,0.0,3.19,0.0,0.0,2.0,1.0,8.0,1.0,1.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
1.0,2.0,0.0,0.0,23.0,2.0,6.0,0.14,1.0,60.0,1.0,0.0,6.0,1.0,3.25,1.0,1.0,1.0,1.91,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.47,0.0,71.0,1.0,0.0,0.0,2.0,1.62,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,0.0,25.0,1.0,1.0,0.26,0.0,66.0,2.0,2.0,11.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,25.0,1.0,2.0,0.17,0.0,40.0,3.0,0.0,0.0,1.0,2.67,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,1.0,32.0,1.0,5.0,0.37,0.0,75.0,2.0,0.0,3.0,1.0,3.11,1.0,2.0,1.0,0.77,0.0,1.0,0.0,2.0,2.0,0
0.0,1.0,2.0,0.0,52.0,2.0,6.0,0.16,1.0,74.0,2.0,3.0,15.0,3.0,4.39,1.0,1.0,1.0,0.82,0.0,0.5,0.0,4.0,6.0,1
0.0,1.0,0.0,17.0,45.0,1.0,0.0,3.21,0.0,0.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,1.0,0.0,22.0,1.0,1.0,0.65,0.0,50.0,1.0,0.0,1.0,1.0,3.4,1.0,1.0,1.0,0.71,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,6.0,0.25,0.0,75.0,1.0,0.0,4.0,2.0,2.08,0.0,1.0,1.0,0.36,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,2.0,4.0,54.0,3.0,0.0,0.69,1.0,0.0,2.0,0.0,5.0,2.0,2.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0
0.0,4.0,0.0,0.0,21.0,1.0,0.0,0.68,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,2.0,0.0,7.0,44.0,1.0,2.0,1.57,0.0,33.0,1.0,0.0,1.0,2.0,10.33,2.0,1.0,1.0,1.2,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,9.0,29.0,1.0,0.0,1.93,5.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.53,0.0,57.0,2.0,0.0,2.0,1.0,1.86,1.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,25.0,1.0,6.0,0.3,0.0,73.0,1.0,0.0,0.0,1.0,1.79,1.0,1.0,1.0,0.38,0.0,1.0,0.0,2.0,1.0,0
1.0,1.0,1.0,0.0,21.0,1.0,1.0,0.6,0.0,37.0,1.0,0.0,0.0,1.0,6.88,1.0,1.0,1.0,0.36,0.0,1.0,0.0,1.0,0.0,0
13.0,1.0,20.0,0.0,32.0,1.0,0.0,0.15,1.0,69.0,1.0,0.0,14.0,1.0,4.33,0.0,1.0,1.0,0.78,0.0,1.0,0.0,4.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.91,0.0,0.0,3.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,4.0,57.0,1.0,3.0,0.7,0.0,62.0,1.0,0.0,7.0,2.0,4.38,2.0,1.0,1.0,1.2,0.0,0.0,0.0,2.0,1.0,0
10.0,2.0,0.0,13.0,179.0,1.0,0.0,0.41,6.0,83.0,1.0,0.0,54.0,2.0,5.83,1.0,1.0,1.0,2.0,0.0,0.67,0.0,4.0,2.0,1
0.0,2.0,5.0,2.0,55.0,4.0,0.0,0.47,2.0,0.0,1.0,0.0,20.0,2.0,2.25,1.0,1.0,1.0,0.77,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,6.0,93.0,2.0,3.0,1.18,0.0,62.0,1.0,0.0,7.0,2.0,6.88,1.0,1.0,1.0,0.64,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,4.0,33.0,1.0,0.0,0.8,6.0,100.0,1.0,0.0,14.0,2.0,1.0,1.0,15.0,2.0,1.75,1.0,0.0,0.0,1.0,0.0,0
1.0,1.0,3.0,2.0,46.0,4.0,0.0,0.32,0.0,0.0,1.0,0.0,27.0,2.0,1.88,0.0,1.0,1.0,0.85,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,3.0,32.0,1.0,2.0,0.86,0.0,33.0,1.0,0.0,10.0,1.0,4.33,3.0,3.0,1.0,0.8,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,24.0,1.0,1.0,2.18,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
2.0,1.0,2.0,2.0,46.0,3.0,0.0,0.61,1.0,0.0,1.0,0.0,14.0,2.0,1.5,0.0,1.0,1.0,0.4,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,0.0,33.0,2.0,8.0,0.36,0.0,75.0,1.0,0.0,2.0,2.0,3.41,1.0,1.0,1.0,0.76,0.0,1.0,0.0,3.0,0.0,0
1.0,1.0,6.0,0.0,41.0,6.0,0.0,0.3,0.0,0.0,1.0,0.0,9.0,2.0,2.08,0.0,1.0,1.0,0.63,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.29,0.0,66.0,1.0,0.0,2.0,1.0,2.33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,28.0,1.0,3.0,1.12,0.0,40.0,1.0,0.0,0.0,1.0,2.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,26.0,1.0,13.0,0.19,0.0,91.0,1.0,0.0,5.0,1.0,4.97,0.0,1.0,1.0,0.18,0.0,0.0,0.0,4.0,1.0,0
0.0,1.0,0.0,1.0,62.0,1.0,5.0,0.34,0.0,83.0,1.0,0.0,4.0,2.0,9.16,1.0,1.0,1.0,0.89,0.0,0.0,0.0,5.0,0.0,0
116.0,2.0,14.0,7.0,1285.0,7.0,39.0,0.21,4.0,95.0,2.0,0.0,181.0,2.0,8.59,1.0,1.0,1.0,1.94,0.0,0.45,0.0,4.0,12.0,1
0.0,1.0,0.0,5.0,98.0,1.0,4.0,2.33,0.0,65.0,1.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0
1.0,4.0,0.0,1.0,20.0,1.0,0.0,0.29,1.0,33.0,1.0,0.0,4.0,1.0,10.5,9.0,10.0,6.0,2.0,2.0,0.0,0.0,3.0,0.0,0
0.0,0.0,0.0,0.0,21.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,28.0,1.0,1.0,1.47,0.0,62.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,24.0,1.0,1.0,1.26,0.0,62.0,1.0,0.0,1.0,2.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.81,0.0,66.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.17,0.0,62.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,0.0,69.0,1.0,24.0,0.27,0.0,94.0,2.0,0.0,4.0,2.0,1.27,0.0,1.0,1.0,0.11,0.0,1.0,0.0,2.0,0.0,0
1.0,1.0,0.0,0.0,17.0,2.0,77.0,0.11,0.0,98.0,1.0,0.0,1.0,1.0,1.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0
1.0,1.0,0.0,0.0,35.0,2.0,12.0,0.19,0.0,86.0,1.0,0.0,4.0,2.0,3.29,1.0,1.0,1.0,0.62,0.0,1.0,0.0,3.0,2.0,0
0.0,1.0,0.0,0.0,43.0,1.0,8.0,0.21,0.0,78.0,1.0,0.0,12.0,3.0,4.59,0.0,1.0,1.0,0.48,0.0,1.0,0.0,4.0,3.0,0
0.0,1.0,0.0,0.0,17.0,1.0,2.0,0.55,0.0,66.0,1.0,0.0,2.0,3.0,2.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,4.0,68.0,1.0,5.0,1.31,0.0,80.0,2.0,0.0,0.0,2.0,1.58,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2.0,1.0,0.0,0.0,17.0,2.0,10.0,0.22,0.0,87.0,2.0,0.0,3.0,2.0,1.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,18.0,1.0,2.0,0.69,0.0,77.0,3.0,0.0,1.0,2.0,1.83,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,1.0,1.05,0.0,62.0,2.0,0.0,1.0,2.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,1.0,1.0,0.0,60.0,1.0,0.0,2.0,2.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.75,0.0,66.0,2.0,0.0,0.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,2.0,7.0,3.0,82.0,5.0,0.0,0.38,1.0,100.0,1.0,0.0,24.0,2.0,2.08,0.0,1.0,1.0,1.33,0.0,0.0,0.0,4.0,1.0,0
0.0,1.0,0.0,0.0,23.0,1.0,4.0,0.96,0.0,71.0,1.0,0.0,1.0,1.0,5.29,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,0.62,1.0,75.0,1.0,0.0,5.0,2.0,1.5,0.0,0.0,1.0,1.5,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,8.0,84.0,1.0,0.0,2.8,0.0,0.0,2.0,1.0,7.0,1.0,0.62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
3.0,1.0,4.0,0.0,18.0,1.0,3.0,0.17,0.0,71.0,1.0,0.0,9.0,1.0,3.14,2.0,1.0,1.0,2.2,0.0,0.0,0.0,1.0,0.0,0
0.0,4.0,0.0,2.0,39.0,4.0,10.0,0.21,1.0,42.0,1.0,0.0,5.0,2.0,6.75,0.0,2.0,1.0,1.86,0.0,1.0,0.0,3.0,2.0,0
0.0,1.0,0.0,0.0,68.0,3.0,18.0,0.29,1.0,100.0,2.0,1.0,14.0,2.0,6.1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.33,2.0,50.0,2.0,0.0,13.0,1.0,3.0,2.0,3.0,2.0,1.8,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,1.0,67.0,1.0,8.0,0.55,0.0,78.0,2.0,0.0,12.0,2.0,2.93,0.0,1.0,1.0,0.65,0.0,1.0,0.0,3.0,1.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,1.4,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.67,0.0,50.0,2.0,0.0,6.0,1.0,2.33,1.0,2.0,1.0,0.6,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,1.0,0.27,0.0,33.0,2.0,0.0,9.0,1.0,2.33,2.0,3.0,2.0,1.8,1.0,0.0,0.0,1.0,0.0,0
0.0,7.0,0.0,0.0,20.0,1.0,0.0,0.29,0.0,0.0,3.0,0.0,12.0,1.0,12.5,0.0,3.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,23.0,1.0,2.0,0.19,2.0,50.0,2.0,0.0,20.0,1.0,7.67,2.0,3.0,2.0,1.8,1.0,1.0,0.0,1.0,0.0,0
0.0,2.0,0.0,0.0,23.0,1.0,3.0,0.29,2.0,44.0,2.0,0.0,14.0,1.0,3.67,2.0,1.0,1.0,1.4,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,4.0,0.26,2.0,50.0,2.0,0.0,10.0,1.0,4.67,2.0,3.0,3.0,1.8,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,2.0,0.29,0.0,50.0,2.0,0.0,11.0,1.0,2.67,2.0,3.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,17.0,1.0,1.0,0.61,0.0,75.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,5.0,36.0,1.0,3.0,0.73,0.0,33.0,2.0,0.0,1.0,1.0,5.33,2.0,1.0,1.0,0.8,0.0,0.0,0.0,3.0,1.0,0
0.0,2.0,0.0,3.0,30.0,1.0,4.0,0.58,1.0,50.0,2.0,0.0,1.0,1.0,3.33,0.0,1.0,1.0,1.4,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,1.0,24.0,1.0,1.0,1.09,0.0,50.0,2.0,0.0,1.0,1.0,1.5,0.0,1.0,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0
0.0,2.0,0.0,3.0,30.0,1.0,4.0,0.58,1.0,50.0,2.0,0.0,1.0,1.0,3.33,0.0,1.0,1.0,1.4,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,1.0,33.0,1.0,0.0,0.54,0.0,0.0,3.0,0.0,3.0,1.0,2.57,0.0,1.0,1.0,0.89,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,0.0,1.0,33.0,1.0,0.0,0.54,0.0,0.0,3.0,0.0,3.0,1.0,2.57,0.0,1.0,1.0,0.89,0.0,0.0,0.0,3.0,1.0,0
