CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,10.0,0.0,2.0,1.0,6.0,0.0,1.0,0.52,0.0,82.0,2.0,4.0,5.0,1.0,5.43,0.0,1.0,1.0,1.33,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.62,0.0,0.0,3.0,0.0,4.0,1.0,1.33,0.0,2.0,1.0,2.4,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.09,0.0,0.0,4.0,0.0,1.0,1.0,0.5,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.09,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.28,0.0,50.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,2.0,0.0,0
1.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,0.28,2.0,0.0,1.0,0.0,5.0,1.0,5.2,2.0,1.0,1.0,3.25,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,6.0,0.91,0.0,61.0,1.0,0.0,10.0,1.0,5.14,1.0,1.0,1.0,0.78,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,1.72,0.0,40.0,1.0,0.0,0.0,2.0,3.2,1.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,1.11,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,2.0,1.0,2.25,1.0,0.0,1.0,0.0,0
1.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.84,0.0,66.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,2.2,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.17,0.0,16.0,1.0,0.0,5.0,2.0,4.0,4.0,3.0,1.0,0.75,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.74,0.0,100.0,1.0,0.0,7.0,1.0,2.0,2.0,6.0,1.0,1.5,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,1.17,0.0,50.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,1.4,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,0.22,1.0,73.0,1.0,0.0,0.0,2.0,3.33,1.0,1.0,1.0,2.8,0.0,0.0,1.0,1.0,0
1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,7.0,9.0,0.12,0.0,81.0,2.0,0.0,1.0,1.0,3.45,1.0,1.0,1.0,1.07,0.67,0.0,1.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.19,0.0,66.0,4.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.31,0.0,25.0,1.0,0.0,3.0,1.0,8.67,1.0,1.0,1.0,1.11,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.15,0.0,25.0,2.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
3.0,0.0,1.0,0.0,7.0,6.0,1.0,0.0,0.0,4.0,0.76,0.0,0.0,1.0,0.0,8.0,1.0,5.29,2.0,2.0,1.0,1.89,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,1.22,0.0,40.0,1.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
16.0,0.0,1.0,19.0,12.0,2.0,11.0,6.0,22.0,75.0,0.56,0.0,95.0,2.0,0.0,15.0,2.0,3.2,0.0,0.0,1.0,0.72,0.0,0.0,2.0,4.0,1
5.0,0.0,2.0,2.0,2.0,9.0,1.0,1.0,1.0,3.0,0.65,3.0,81.0,1.0,0.0,0.0,1.0,3.11,1.0,2.0,1.0,2.27,0.0,0.0,2.0,1.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.46,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,0.4,0.0,70.0,1.0,0.0,0.0,2.0,2.07,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.21,8.0,0.0,2.0,0.0,3.0,2.0,0.25,0.0,2.0,1.0,0.71,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,9.0,0.24,2.0,55.0,2.0,0.0,15.0,2.0,2.44,1.0,0.0,1.0,0.6,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,4.0,32.0,0.17,0.0,94.0,3.0,0.0,18.0,1.0,2.03,0.0,1.0,1.0,0.54,0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,5.0,0.93,3.0,22.0,2.0,0.0,4.0,2.0,2.8,0.0,1.0,1.0,0.33,0.0,0.0,2.0,1.0,0
6.0,2.0,1.0,10.0,1.0,6.0,3.0,1.0,13.0,30.0,1.14,0.0,93.0,2.0,0.0,23.0,1.0,2.67,1.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,19.0,0.29,0.0,81.0,2.0,0.0,5.0,1.0,1.89,1.0,1.0,1.0,0.14,0.0,0.0,2.0,0.0,0
1.0,0.0,3.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,1.34,0.0,0.0,1.0,0.0,10.0,1.0,2.5,0.0,1.0,1.0,1.5,0.0,0.0,2.0,1.0,0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.81,0.0,0.0,1.0,0.0,1.0,2.0,1.4,1.0,1.0,1.0,0.62,0.0,0.0,2.0,0.0,0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.24,0.0,72.0,2.0,0.0,16.0,1.0,2.09,0.0,2.0,1.0,0.31,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.82,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,10.0,3.0,2.5,0.0,0.0,2.0,0.0,0
11.0,0.0,12.0,1.0,0.0,17.0,1.0,0.0,13.0,1.0,0.22,0.0,86.0,2.0,0.0,1.0,1.0,4.33,3.0,1.0,1.0,3.5,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,0.2,3.0,17.0,2.0,0.0,11.0,1.0,3.71,3.0,7.0,1.0,1.11,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.11,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0
15.0,0.0,5.0,8.0,1.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,88.0,1.0,0.0,3.0,2.0,4.35,1.0,1.0,1.0,1.48,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.47,0.0,0.0,3.0,0.0,6.0,2.0,2.25,0.0,2.0,1.0,1.67,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,0.69,0.0,72.0,1.0,0.0,10.0,1.0,3.27,1.0,1.0,1.0,0.38,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.64,0.0,0.0,1.0,0.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.43,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
7.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,6.0,9.0,0.65,0.0,72.0,2.0,0.0,16.0,2.0,4.44,0.0,1.0,1.0,0.85,0.0,0.0,1.0,2.0,0
5.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,6.0,14.0,0.89,0.0,75.0,2.0,0.0,16.0,2.0,4.32,1.0,1.0,1.0,0.82,0.0,0.0,1.0,3.0,0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.39,0.0,60.0,2.0,0.0,1.0,1.0,2.9,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.4,4.0,0.0,1.0,0.0,3.0,2.0,2.33,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.62,0.0,25.0,2.0,0.0,3.0,1.0,2.5,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.38,0.0,19.0,2.0,0.0,4.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,2.0,17.0,1.0,0.0,0.0,2.0,0.77,5.0,0.0,1.0,0.0,16.0,1.0,6.0,2.0,8.0,2.0,4.2,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,2.0,8.0,1.0,0.0,0.0,2.0,0.44,6.0,0.0,1.0,0.0,15.0,1.0,6.5,4.0,11.0,12.0,4.25,0.0,0.0,3.0,0.0,0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.37,1.0,33.0,1.0,0.0,6.0,2.0,3.33,2.0,2.0,1.0,2.8,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.55,2.0,25.0,1.0,0.0,4.0,2.0,2.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.76,0.0,33.0,1.0,0.0,3.0,2.0,2.67,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.12,3.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.4,2.0,0.0,1.0,0.0,11.0,2.0,3.0,2.0,2.0,1.0,2.25,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.04,0.0,0.0,1.0,0.0,5.0,2.0,2.5,2.0,2.0,1.0,0.75,0.0,0.0,1.0,0.0,0
46.0,0.0,5.0,7.0,0.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,85.0,1.0,0.0,3.0,2.0,5.13,1.0,1.0,1.0,1.79,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.52,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,0
1.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,3.0,1.15,2.0,50.0,1.0,0.0,7.0,1.0,4.25,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.35,1.0,66.0,1.0,0.0,3.0,1.0,2.67,0.0,1.0,1.0,2.6,0.0,0.0,6.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.83,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.9,0.0,0.0,5.0,0.0,0.0,1.0,5.5,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,1.0,0.0,37.0,3.0,7.0,1.0,1.0,2.88,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.74,2.0,50.0,3.0,0.0,2.0,1.0,8.0,4.0,2.0,1.0,2.25,1.0,0.0,4.0,0.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,9.0,1.23,0.0,63.0,3.0,0.0,3.0,1.0,4.2,1.0,1.0,1.0,1.0,0.6,0.0,4.0,0.0,1
1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,8.0,25.0,1.14,0.0,80.0,1.0,0.0,1.0,2.0,14.88,2.0,1.0,1.0,0.57,0.4,0.0,5.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.5,1.0,2.0,1.0,0.75,1.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,9.0,5.0,0.66,2.0,61.0,1.0,0.0,5.0,1.0,6.86,1.0,1.0,1.0,1.3,0.5,0.0,4.0,3.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.86,0.0,0.0,2.0,0.0,0.0,1.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,7.0,1.0,2.0,11.0,0.0,0.86,0.0,36.0,2.0,0.0,1.0,1.0,8.25,7.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0
15.0,68.0,1.0,20.0,1.0,2.0,13.0,0.0,161.0,37.0,0.28,2.0,94.0,2.0,0.0,29.0,2.0,7.12,0.0,0.0,1.0,1.37,0.9,1.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,3.0,42.0,0.28,0.0,0.0,2.0,2.0,11.0,2.0,1.79,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,1
3.0,0.0,1.0,3.0,0.0,5.0,1.0,1.0,7.0,13.0,0.72,2.0,87.0,2.0,2.0,6.0,1.0,2.94,0.0,0.0,1.0,1.37,1.0,0.0,1.0,0.0,1
0.0,11.0,1.0,0.0,0.0,2.0,5.0,0.0,14.0,7.0,1.12,0.0,89.0,2.0,1.0,5.0,1.0,2.94,0.0,0.0,1.0,0.42,1.0,0.0,1.0,0.0,1
0.0,8.0,1.0,0.0,0.0,2.0,1.0,1.0,15.0,4.0,0.38,1.0,78.0,2.0,0.0,7.0,2.0,5.46,2.0,1.0,1.0,0.93,1.0,0.0,3.0,3.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,7.0,0.54,0.0,54.0,1.0,1.0,0.0,2.0,2.5,1.0,1.0,1.0,1.1,0.0,0.0,3.0,0.0,0
0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.5,0.0,0.0,2.0,0.0,3.0,1.0,0.5,0.0,0.0,1.0,1.5,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,4.0,5.0,0.74,0.0,64.0,2.0,0.0,2.0,1.0,4.4,2.0,1.0,1.0,1.29,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.71,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,9.0,0.92,0.0,33.0,1.0,0.0,0.0,3.0,40.17,1.0,1.0,1.0,0.29,0.0,0.0,5.0,2.0,0
2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,6.0,0.25,0.0,46.0,1.0,0.0,3.0,2.0,4.89,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,2.47,0.0,0.0,1.0,6.0,1.0,1.0,28.8,1.0,0.0,1.0,0.86,0.0,0.0,4.0,0.0,0
0.0,3.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,6.1,0.0,0.0,1.0,6.0,0.0,1.0,10.0,5.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.1,0.0,0.0,2.0,11.0,0.0,1.0,1.33,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,18.0,0.54,0.0,50.0,2.0,0.0,9.0,2.0,4.47,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0
1.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,8.0,9.0,0.76,0.0,69.0,2.0,1.0,3.0,1.0,3.5,1.0,1.0,1.0,1.79,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,2.0,0.0,7.0,6.0,0.0,2.0,17.0,3.24,0.0,100.0,1.0,2.0,8.0,1.0,1.35,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,19.0,0.42,0.0,66.0,2.0,0.0,6.0,2.0,2.1,0.0,1.0,1.0,0.58,0.0,0.0,6.0,2.0,0
0.0,0.0,1.0,3.0,1.0,3.0,4.0,1.0,8.0,8.0,0.83,0.0,71.0,1.0,0.0,3.0,2.0,2.78,1.0,1.0,1.0,1.14,0.0,0.0,1.0,0.0,1
1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,4.0,10.0,1.5,0.0,85.0,1.0,6.0,1.0,1.0,2.25,1.0,1.0,1.0,0.43,0.5,0.0,1.0,1.0,1
0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,9.0,1.25,0.0,40.0,2.0,0.0,4.0,2.0,2.3,0.0,1.0,1.0,0.23,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,6.0,1.33,0.0,53.0,1.0,0.0,3.0,2.0,2.5,0.0,2.0,1.0,0.4,0.0,0.0,2.0,2.0,0
5.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,19.0,5.0,0.53,1.0,78.0,1.0,0.0,13.0,1.0,26.15,1.0,1.0,1.0,0.88,1.0,0.0,5.0,3.0,0
0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,18.0,0.22,0.0,70.0,2.0,0.0,9.0,2.0,1.6,0.0,0.0,1.0,0.42,0.0,0.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.71,0.0,28.0,2.0,3.0,8.0,1.0,3.57,1.0,1.0,1.0,1.22,0.0,0.0,5.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,12.0,13.0,0.4,0.0,53.0,3.0,0.0,13.0,2.0,5.38,1.0,1.0,1.0,0.88,0.0,0.0,2.0,2.0,1
0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.5,2.0,1.0,1.0,1.5,0.0,0.0,4.0,0.0,0
3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,9.0,6.0,0.54,0.0,72.0,2.0,2.0,7.0,1.0,4.08,1.0,1.0,1.0,1.2,0.0,0.0,4.0,4.0,0
1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,6.0,0.67,0.0,33.0,2.0,0.0,1.0,1.0,2.71,1.0,2.0,1.0,1.56,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,2.0,5.0,11.0,1.0,0.0,0.0,15.0,8.33,0.0,86.0,1.0,3.0,4.0,2.0,4.73,1.0,1.0,1.0,0.18,0.5,0.0,2.0,8.0,0
0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,3.56,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0
5.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,11.0,8.0,0.45,0.0,76.0,1.0,0.0,4.0,2.0,3.79,2.0,1.0,1.0,1.67,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,17.0,0.37,0.0,36.0,3.0,0.0,3.0,2.0,2.06,0.0,1.0,1.0,0.5,0.0,0.0,5.0,0.0,0
