CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.47,0.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,1.8,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.62,0.0,0.0,3.0,0.0,4.0,1.0,1.33,0.0,2.0,1.0,2.4,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.53,0.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,2.4,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.51,0.0,19.0,3.0,2.0,4.0,1.0,2.2,1.0,1.0,1.0,1.71,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.09,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.96,0.0,0.0,3.0,1.0,2.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
8.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,12.0,14.0,0.28,0.0,79.0,2.0,0.0,4.0,2.0,4.65,1.0,1.0,1.0,1.27,0.8,0.0,3.0,0.0,1
1.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,0.28,2.0,0.0,1.0,0.0,5.0,1.0,5.2,2.0,1.0,1.0,3.25,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,5.71,0.0,0.0,0.0,1.0,1.0,0.0,1.33,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.3,10.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,11.0,1.0,1.25,0.5,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,1.36,0.0,0.0,1.0,0.0,4.0,2.0,4.33,3.0,2.0,1.0,0.43,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.74,0.0,100.0,1.0,0.0,7.0,1.0,2.0,2.0,6.0,1.0,1.5,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,7.0,9.0,0.12,0.0,81.0,2.0,0.0,1.0,1.0,3.45,1.0,1.0,1.0,1.07,0.67,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.47,0.0,25.0,1.0,0.0,3.0,1.0,8.33,1.0,1.0,1.0,1.11,0.0,0.0,3.0,0.0,0
1.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,6.0,0.0,0.15,2.0,71.0,1.0,0.0,1.0,1.0,7.55,2.0,1.0,1.0,2.08,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,7.0,0.23,1.0,54.0,2.0,0.0,3.0,1.0,5.12,1.0,1.0,1.0,0.6,0.0,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.15,0.0,25.0,2.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
1.0,0.0,2.0,1.0,0.0,0.0,1.0,10.0,6.0,0.0,0.1,2.0,71.0,1.0,0.0,1.0,1.0,8.0,2.0,1.0,1.0,2.08,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,61.0,1.0,0.0,1.0,2.0,2.5,0.0,1.0,1.0,0.38,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0,0.9,0.0,62.0,1.0,0.0,0.0,1.0,3.57,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,12.0,9.0,1.13,0.0,77.0,3.0,1.0,0.0,1.0,4.67,1.0,1.0,1.0,0.45,0.0,0.0,1.0,2.0,0
0.0,0.0,2.0,0.0,0.0,17.0,1.0,4.0,0.0,1.0,0.65,2.0,0.0,2.0,0.0,5.0,1.0,2.8,2.0,2.0,1.0,2.12,1.0,0.0,1.0,3.0,0
27.0,0.0,5.0,8.0,1.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,87.0,1.0,0.0,3.0,2.0,4.8,1.0,1.0,1.0,1.65,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,0.67,0.0,96.0,2.0,0.0,0.0,1.0,3.5,0.0,1.0,1.0,1.12,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,5.0,0.93,3.0,22.0,2.0,0.0,4.0,2.0,2.8,0.0,1.0,1.0,0.33,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,19.0,0.29,0.0,81.0,2.0,0.0,5.0,1.0,1.89,1.0,1.0,1.0,0.14,0.0,0.0,2.0,0.0,0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,0.13,0.0,57.0,2.0,0.0,16.0,1.0,3.92,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.96,0.0,19.0,1.0,0.0,0.0,2.0,1.2,0.0,1.0,1.0,0.43,0.0,0.0,2.0,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.61,0.0,55.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
6.0,0.0,7.0,2.0,0.0,10.0,1.0,0.0,5.0,1.0,0.24,0.0,71.0,2.0,0.0,1.0,1.0,5.43,3.0,3.0,1.0,2.7,0.0,0.0,1.0,0.0,0
11.0,0.0,7.0,1.0,0.0,9.0,1.0,0.0,10.0,1.0,0.2,0.0,88.0,2.0,0.0,1.0,1.0,3.42,3.0,1.0,1.0,2.79,0.0,0.0,1.0,0.0,0
11.0,0.0,12.0,1.0,0.0,17.0,1.0,0.0,13.0,1.0,0.22,0.0,86.0,2.0,0.0,1.0,1.0,4.33,3.0,1.0,1.0,3.5,0.0,0.0,1.0,0.0,0
0.0,0.0,3.0,0.0,0.0,0.0,1.0,25.0,6.0,2.0,0.21,0.0,58.0,1.0,16.0,1.0,1.0,19.37,0.0,1.0,1.0,0.93,0.0,0.0,1.0,1.0,0
0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.52,2.0,33.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.11,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0.0,1.0,0.46,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,0.4,0.0,70.0,1.0,0.0,0.0,2.0,2.07,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
15.0,0.0,5.0,8.0,1.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,88.0,1.0,0.0,3.0,2.0,4.35,1.0,1.0,1.0,1.48,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.12,0.0,0.0,3.0,0.0,6.0,1.0,3.5,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.36,0.0,71.0,3.0,0.0,4.0,1.0,2.29,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,0.27,0.0,42.0,2.0,0.0,8.0,1.0,6.0,3.0,1.0,1.0,0.89,0.0,0.0,3.0,0.0,0
7.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,6.0,9.0,0.65,0.0,72.0,2.0,0.0,16.0,2.0,4.44,0.0,1.0,1.0,0.85,0.0,0.0,1.0,2.0,0
5.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,6.0,14.0,0.89,0.0,75.0,2.0,0.0,16.0,2.0,4.32,1.0,1.0,1.0,0.82,0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.33,2.0,0.0,1.0,0.0,3.0,2.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,4.0,0.93,0.0,94.0,3.0,0.0,2.0,1.0,3.2,1.0,1.0,1.0,0.88,1.0,0.0,1.0,0.0,1
11.0,3.0,5.0,45.0,9.0,5.0,1.0,0.0,18.0,11.0,0.28,0.0,93.0,1.0,0.0,2.0,1.0,4.28,1.0,0.0,1.0,0.93,1.0,0.0,1.0,0.0,1
4.0,0.0,2.0,5.0,5.0,11.0,1.0,0.0,0.0,1.0,0.61,3.0,72.0,1.0,0.0,7.0,1.0,5.2,2.0,1.0,1.0,2.14,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.55,2.0,25.0,1.0,0.0,4.0,2.0,2.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.41,1.0,40.0,1.0,0.0,5.0,2.0,4.0,2.0,2.0,1.0,0.75,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,0.42,2.0,30.0,1.0,0.0,7.0,2.0,5.5,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.23,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.29,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.38,0.0,0.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.76,0.0,33.0,1.0,0.0,3.0,2.0,2.67,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.4,2.0,0.0,1.0,0.0,11.0,2.0,3.0,2.0,2.0,1.0,2.25,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,13.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,8.0,1.0,1.0,0.0,2.0,16.0,0.37,0.0,82.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.33,0.0,0.0,1.0,0.0,0
0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.07,0.0,33.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,2.5,0.0,0.0,1.0,4.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.64,0.0,0.0,2.0,0.0,3.0,1.0,4.5,2.0,2.0,1.0,1.5,0.0,0.0,4.0,1.0,0
0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.52,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,4.0,1.0,0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.35,1.0,66.0,1.0,0.0,3.0,1.0,2.67,0.0,1.0,1.0,2.6,0.0,0.0,6.0,1.0,0
0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,3.0,0.54,1.0,73.0,3.0,3.0,1.0,1.0,3.2,1.0,1.0,1.0,1.71,0.5,0.0,5.0,2.0,1
0.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,2.0,3.0,0.57,2.0,33.0,3.0,0.0,1.0,1.0,4.33,3.0,2.0,1.0,2.4,1.0,0.0,2.0,2.0,0
0.0,0.0,1.0,1.0,4.0,6.0,1.0,0.0,2.0,11.0,1.47,0.0,75.0,3.0,0.0,2.0,1.0,7.82,1.0,1.0,1.0,0.77,0.5,0.0,5.0,1.0,0
2.0,2.0,1.0,6.0,0.0,4.0,1.0,0.0,2.0,17.0,0.67,0.0,88.0,1.0,0.0,6.0,1.0,7.76,3.0,1.0,1.0,0.74,0.0,0.0,6.0,4.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,5.88,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.56,0.0,58.0,1.0,0.0,1.0,2.0,4.5,2.0,1.0,1.0,1.5,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.89,0.0,75.0,3.0,0.0,1.0,1.0,5.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1
4.0,7.0,1.0,0.0,2.0,1.0,4.0,8.0,17.0,40.0,0.21,0.0,75.0,3.0,1.0,17.0,2.0,3.69,0.0,1.0,1.0,0.98,0.5,0.0,2.0,1.0,1
2.0,20.0,2.0,4.0,0.0,3.0,1.0,0.0,13.0,8.0,0.38,0.0,72.0,1.0,0.0,5.0,1.0,8.37,1.0,1.0,1.0,1.38,1.0,0.0,2.0,4.0,1
0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,15.0,8.0,0.27,0.0,75.0,1.0,3.0,12.0,2.0,6.42,1.0,0.0,1.0,0.93,0.0,0.0,3.0,3.0,1
4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,7.0,0.44,0.0,68.0,2.0,0.0,4.0,2.0,2.53,0.0,1.0,1.0,0.76,1.0,0.0,4.0,3.0,0
2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,6.0,0.25,0.0,46.0,1.0,0.0,3.0,2.0,4.89,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.56,0.0,25.0,1.0,0.0,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0
0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,10.0,0.33,0.0,72.0,1.0,0.0,1.0,1.0,2.77,0.0,1.0,1.0,0.2,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,2.0,5.0,2.91,0.0,71.0,1.0,5.0,1.0,1.0,2.43,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,12.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,1.0,0.0,0.0,1.67,0.0,0.0,1.0,0.4,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,0.67,0.0,96.0,2.0,0.0,0.0,1.0,3.5,0.0,1.0,1.0,1.12,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,1.5,0.0,50.0,2.0,0.0,0.0,1.0,4.67,0.0,1.0,1.0,0.38,1.0,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,10.0,0.57,0.0,42.0,2.0,0.0,3.0,1.0,3.4,1.0,1.0,1.0,0.42,1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.1,0.0,0.0,2.0,11.0,0.0,1.0,1.33,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.83,1.0,0.0,3.0,0.0,5.0,1.0,6.0,5.0,2.0,1.0,3.0,0.0,0.0,4.0,1.0,0
0.0,0.0,1.0,2.0,0.0,0.0,6.0,3.0,3.0,7.0,0.13,0.0,80.0,2.0,0.0,6.0,2.0,3.2,1.0,2.0,1.0,1.59,1.0,0.0,1.0,0.0,0
1.0,3.0,3.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.59,0.0,30.0,2.0,0.0,3.0,1.0,6.0,3.0,1.0,1.0,1.71,1.0,0.0,5.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.86,0.0,0.0,1.0,17.0,1.0,2.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0
1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,6.0,1.33,0.0,53.0,1.0,0.0,3.0,2.0,2.5,0.0,2.0,1.0,0.4,0.0,0.0,2.0,2.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,1.62,0.0,40.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.43,0.0,0.0,2.0,0.0,0
0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.83,0.0,60.0,1.0,0.0,2.0,1.0,4.2,3.0,3.0,1.0,0.71,0.0,0.0,4.0,1.0,0
0.0,11.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,5.36,0.0,0.0,2.0,2.0,12.0,1.0,2.45,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0
8.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,14.0,15.0,0.26,0.0,76.0,2.0,0.0,7.0,2.0,3.79,1.0,2.0,1.0,0.82,0.0,0.0,3.0,1.0,0
0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,10.0,7.0,0.55,0.0,56.0,2.0,0.0,7.0,1.0,6.33,1.0,1.0,1.0,1.55,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.53,0.0,44.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,50.0,3.0,0.0,5.0,1.0,3.5,1.0,2.0,1.0,0.67,0.0,0.0,5.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.33,0.0,0.0,2.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,5.0,10.0,0.47,0.0,65.0,2.0,4.0,0.0,1.0,3.86,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,3.0,6.0,1.21,0.0,75.0,1.0,9.0,2.0,1.0,4.86,1.0,0.0,1.0,1.1,0.67,0.0,5.0,1.0,1
0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.55,0.0,81.0,1.0,1.0,1.0,2.0,2.82,1.0,1.0,1.0,0.23,1.0,0.0,5.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,0.55,0.0,50.0,2.0,0.0,2.0,1.0,2.67,1.0,1.0,1.0,0.67,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.29,2.0,50.0,3.0,0.0,17.0,1.0,2.33,1.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.14,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,1
2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.31,0.0,83.0,3.0,0.0,5.0,1.0,1.17,0.0,1.0,1.0,1.0,0.33,0.0,2.0,2.0,1
1.0,0.0,1.0,56.0,5.0,4.0,1.0,0.0,1.0,4.0,0.3,0.0,99.0,1.0,0.0,13.0,1.0,7.2,2.0,1.0,1.0,0.43,1.0,0.0,5.0,2.0,0
6.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,0.25,4.0,0.0,3.0,0.0,12.0,1.0,3.38,0.0,4.0,1.0,0.6,1.0,0.0,1.0,2.0,1
1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,6.0,8.0,0.25,1.0,75.0,3.0,2.0,15.0,1.0,3.3,0.0,0.0,1.0,0.93,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,7.0,0.2,4.0,0.0,3.0,0.0,15.0,1.0,2.29,1.0,1.0,1.0,2.2,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,5.0,13.0,0.16,2.0,50.0,3.0,0.0,22.0,2.0,2.71,0.0,1.0,1.0,0.5,0.5,0.0,6.0,1.0,1
