CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.5,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,4.0,2.0,0.0,2.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,15.0,1.0,0.0,19.0,0.15,2.0,4.0,71.0,1.0,0.0,4.0,1.0,7.0,2.0,9.25,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,45.0,1.0,0.0,2.0,1.25,0.0,7.0,57.0,2.0,0.0,8.0,1.0,2.71,1.0,1.71,1.0,1.0,0.5,0.0,0.0,0.0,0.0,3.0,2.0,0
1.0,0.0,1.0,0.0,0.0,1.0,93.0,1.0,7.0,15.0,0.32,0.0,40.0,88.0,2.0,3.0,17.0,1.0,9.18,1.0,3.45,1.0,1.0,0.71,0.0,6.0,1.0,0.0,3.0,4.0,1
0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,2.0,0.7,0.0,7.0,57.0,2.0,0.0,8.0,1.0,3.71,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,1.0,1.19,0.0,6.0,50.0,2.0,2.0,3.0,2.0,3.5,0.0,1.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
3.0,0.0,2.0,0.0,2.0,2.0,69.0,1.0,5.0,5.0,0.4,0.0,17.0,69.0,2.0,3.0,23.0,3.0,6.37,1.0,4.11,1.0,1.0,0.95,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,9.5,0.0,2.0,0.0,0.0,5.0,1.0,0.0,4.5,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,47.0,1.0,0.0,2.0,1.47,0.0,7.0,64.0,2.0,0.0,3.0,2.0,2.29,1.0,1.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1
0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,1.46,0.0,4.0,0.0,3.0,0.0,7.0,1.0,3.0,1.0,2.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,8.0,1.0,6.0,6.0,3.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,1.3,0.0,3.0,33.0,3.0,0.0,12.0,1.0,4.33,1.0,6.0,4.0,1.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,2.0,1.4,1.0,2.0,0.0,3.0,0.0,10.0,1.0,7.5,7.0,5.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,56.0,1.0,0.0,2.0,1.14,0.0,10.0,70.0,3.0,0.0,8.0,2.0,3.2,0.0,2.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,47.0,1.0,0.0,2.0,1.07,0.0,7.0,42.0,2.0,0.0,7.0,1.0,3.0,1.0,1.86,1.0,1.0,0.67,0.0,0.0,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.41,0.0,2.0,0.0,3.0,0.0,9.0,1.0,5.5,5.0,3.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.3,1.0,2.0,0.0,3.0,0.0,10.0,1.0,7.5,6.0,5.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.31,0.0,3.0,33.0,3.0,0.0,10.0,1.0,4.0,1.0,4.67,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,2.0,0.76,0.0,9.0,61.0,2.0,0.0,8.0,3.0,3.56,1.0,2.22,1.0,1.0,0.45,0.0,0.0,0.0,0.0,3.0,3.0,0
1.0,0.0,1.0,0.0,0.0,1.0,47.0,1.0,0.0,2.0,0.85,0.0,9.0,72.0,3.0,0.0,10.0,2.0,3.0,0.0,3.22,1.0,1.0,0.27,0.0,0.0,0.0,0.0,4.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,47.0,1.0,0.0,4.0,0.78,0.0,10.0,65.0,2.0,4.0,13.0,1.0,7.0,0.0,2.7,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,1
0.0,0.0,1.0,0.0,0.0,2.0,62.0,1.0,0.0,2.0,1.13,0.0,10.0,65.0,3.0,0.0,9.0,2.0,3.9,0.0,2.9,1.0,1.0,0.33,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,2.0,1.07,0.0,7.0,42.0,2.0,0.0,8.0,2.0,3.43,1.0,2.14,1.0,1.0,0.33,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,54.0,1.0,0.0,5.0,0.75,0.0,10.0,65.0,2.0,0.0,10.0,1.0,6.0,1.0,2.6,1.0,1.0,0.5,0.0,0.0,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,2.0,60.0,1.0,0.0,6.0,0.81,0.0,9.0,64.0,2.0,3.0,11.0,1.0,5.78,1.0,3.11,1.0,1.0,0.64,0.0,0.0,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.84,0.0,7.0,28.0,2.0,0.0,7.0,1.0,3.14,0.0,1.71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,2.0,1.1,0.0,7.0,42.0,2.0,0.0,7.0,2.0,3.71,1.0,2.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,42.0,1.0,0.0,3.0,0.84,0.0,9.0,66.0,2.0,0.0,8.0,2.0,3.11,1.0,1.78,1.0,1.0,0.27,0.0,0.0,0.0,0.0,4.0,3.0,0
6.0,0.0,2.0,0.0,0.0,2.0,66.0,1.0,0.0,3.0,0.43,0.0,14.0,66.0,2.0,0.0,21.0,1.0,6.14,1.0,4.43,1.0,1.0,1.25,0.0,12.0,1.0,0.0,3.0,4.0,1
0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,1.17,0.0,7.0,0.0,2.0,0.0,8.0,2.0,1.0,0.0,1.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.88,0.0,6.0,33.0,2.0,0.0,8.0,1.0,3.17,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,0.0,1.69,0.0,5.0,0.0,2.0,0.0,7.0,1.0,2.4,0.0,1.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,1.0,1.0,0.0,7.0,42.0,2.0,1.0,8.0,2.0,4.86,1.0,2.14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,0.88,0.0,6.0,33.0,2.0,0.0,8.0,1.0,2.67,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,4.43,0.0,1.0,0.0,4.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,0.0,2.0,52.0,1.0,0.0,4.0,0.73,0.0,9.0,69.0,2.0,0.0,12.0,1.0,4.0,1.0,2.33,1.0,1.0,0.82,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,2.0,0.0,5.0,3.0,52.0,1.0,0.0,0.0,1.24,1.0,0.0,0.0,1.0,0.0,4.0,1.0,5.2,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.0,0.0,2.0,1.24,0.0,7.0,57.0,2.0,0.0,8.0,1.0,2.71,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,2.0,0.0,0.0,2.0,61.0,1.0,0.0,4.0,0.7,0.0,9.0,69.0,2.0,0.0,15.0,1.0,4.44,1.0,3.11,1.0,1.0,1.36,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.38,0.0,2.0,0.0,3.0,0.0,8.0,1.0,4.5,3.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0,0.0,2.0,0.72,0.0,9.0,66.0,2.0,0.0,13.0,3.0,2.11,0.0,2.89,1.0,1.0,0.36,0.0,0.0,0.0,0.0,3.0,3.0,1
0.0,0.0,1.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,7.5,0.0,1.0,0.0,0.0,66.0,1.0,0.0,62.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,6.0,0.44,0.0,4.0,91.0,1.0,0.0,3.0,1.0,0.75,0.0,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,13.0,1.0,2.0,0.0,0.12,0.0,12.0,0.0,2.0,2.0,18.0,1.0,5.08,0.0,5.08,1.0,1.0,0.64,0.0,4.0,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1.0,24.0,1.0,2.0,1.0,0.18,1.0,10.0,70.0,2.0,3.0,16.0,1.0,6.2,3.0,8.0,2.0,1.0,1.08,0.0,12.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,60.0,1.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,4.0,0.0,1.67,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.29,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.0,7.0,57.0,2.0,0.0,6.0,1.0,2.0,0.0,2.14,1.0,1.0,0.44,0.0,16.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,31.0,1.0,0.0,2.0,0.53,0.0,9.0,72.0,1.0,1.0,5.0,1.0,2.11,1.0,2.11,0.0,1.0,0.91,0.0,56.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,1.6,0.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.11,0.0,6.0,75.0,3.0,0.0,4.0,1.0,2.83,2.0,2.67,1.0,1.0,0.38,0.0,20.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.11,0.0,3.0,0.0,3.0,0.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.04,0.0,3.0,0.0,3.0,0.0,3.0,1.0,4.67,4.0,3.33,2.0,1.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.41,0.0,2.0,0.0,3.0,0.0,5.0,1.0,5.5,5.0,2.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.09,0.0,4.0,0.0,2.0,8.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,3.5,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08,0.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08,0.0,3.0,0.0,3.0,0.0,3.0,1.0,1.33,0.0,1.33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,0.0,1.0,2.0,4.0,0.0,6.0,1.0,0.0,3.0,0.09,0.0,5.0,75.0,3.0,0.0,2.0,1.0,5.11,0.0,3.11,1.0,1.0,0.55,0.0,195.0,0.9,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,8.0,0.18,0.0,14.0,84.0,2.0,0.0,9.0,1.0,3.0,1.0,2.36,1.0,1.0,0.25,0.0,401.0,0.9,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,19.0,2.0,1.0,2.0,1.0,4.4,2.0,2.4,2.0,1.0,1.14,0.0,44.0,0.93,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.5,1.0,2.0,2.0,1.0,0.6,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,1.25,0.0,2.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,0.25,0.0,7.0,28.0,2.0,0.0,2.0,1.0,2.29,0.0,2.29,1.0,1.0,0.33,0.0,42.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,0.0,5.0,40.0,3.0,0.0,3.0,1.0,2.4,0.0,1.8,1.0,1.0,0.43,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.56,0.0,3.0,100.0,3.0,0.0,0.0,1.0,3.33,1.0,1.33,1.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.39,0.0,7.0,28.0,2.0,0.0,1.0,1.0,1.43,0.0,1.57,1.0,1.0,0.33,0.0,34.0,1.0,0.0,1.0,1.0,0
3.0,1.0,1.0,1.0,2.0,0.0,44.0,3.0,1.0,18.0,0.18,1.0,20.0,92.0,1.0,0.0,18.0,2.0,3.27,1.0,5.41,1.0,1.0,0.85,0.0,36.0,0.5,0.0,3.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,0.0,0.0,1.0,26.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,7.0,73.0,1.0,0.0,0.0,8.11,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.6,0.0,0.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
2.0,0.0,1.0,2.0,3.0,0.0,46.0,1.0,1.0,2.0,0.3,0.0,11.0,83.0,3.0,0.0,13.0,1.0,8.36,0.0,6.21,1.0,1.0,0.75,0.0,6.0,0.4,0.0,5.0,5.0,0
6.0,0.0,1.0,3.0,5.0,0.0,1.0,8.0,1.0,4.0,0.0,0.0,80.0,78.0,3.0,2.0,10.0,2.0,4.16,0.0,2.35,0.0,1.0,0.21,0.0,7.0,1.0,0.0,1.0,0.0,0
3.0,4.0,1.0,2.0,12.0,0.0,2.0,1.0,2.0,1.0,0.02,0.0,10.0,66.0,4.0,0.0,13.0,1.0,5.0,0.0,3.18,1.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.0,1
2.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,0.01,0.0,47.0,72.0,1.0,1.0,5.0,3.0,4.77,0.0,2.34,1.0,1.0,0.06,0.0,10.0,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,0.0,0.0,0.0,35.0,2.0,0.0,3.0,0.7,0.0,8.0,66.0,1.0,0.0,11.0,2.0,2.75,0.0,3.5,1.0,1.0,0.27,0.0,12.0,1.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,8.0,1.0,8.5,8.0,6.5,6.0,3.0,2.75,2.0,10.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,1.0,5.5,5.0,4.5,3.0,1.0,1.5,0.0,8.0,1.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,2.0,1.0,18.0,2.0,0.0,0.0,0.22,0.0,9.0,0.0,2.0,0.0,18.0,1.0,2.0,0.0,3.64,2.0,1.0,0.36,0.0,32.0,0.9,0.0,1.0,1.0,1
2.0,8.0,2.0,24.0,2.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,31.0,100.0,2.0,9.0,39.0,2.0,4.06,0.0,3.15,1.0,1.0,0.37,0.0,94.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,1.0,5.33,4.0,3.33,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,50.0,3.0,0.0,8.0,1.0,7.0,3.0,5.25,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,6.0,2.0,29.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,32.0,100.0,2.0,11.0,41.0,2.0,4.24,0.0,3.0,1.0,1.0,0.26,0.0,108.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,1.0,5.0,4.0,3.33,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.5,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.12,1.0,0.0,0.0,1.0,1.0,7.0,1.0,9.0,9.0,10.0,10.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,7.75,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,45.0,1.0,0.0,5.0,2.0,2.0,1.0,2.73,1.0,1.0,0.71,0.0,0.0,0.0,0.0,2.0,1.0,0
