CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0,1.0,1.0,5.0,0.76,0.0,76.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.99,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,44.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.08,1.0,1.0,0.0,0.0,0.78,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,2.0,47.0,1.0,0.0,3.0,0.6,0.0,61.0,2.0,1.0,12.0,2.0,1.58,0.0,1.0,0.0,0.0,0.69,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,2.0,1.11,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,27.0,1.0,0.0,0.0,3.0,1.0,113.0,1.0,0.0,0.0,3.65,0.0,0.0,0.0,3.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.37,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,51.0,1.0,0.0,5.0,1.19,0.0,81.0,1.0,0.0,4.0,1.0,4.45,2.0,1.0,0.0,0.0,0.7,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,5.0,0.3,0.0,54.0,3.0,0.0,2.0,1.0,3.3,1.0,1.0,0.0,0.0,0.62,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,3.0,5.0,0.47,0.0,59.0,3.0,0.0,8.0,1.0,3.14,0.0,1.0,0.0,0.0,0.67,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,4.2,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.68,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,3.0,0.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.55,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,5.25,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.5,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,0.23,0.0,89.0,1.0,0.0,6.0,2.0,0.21,0.0,0.0,0.0,0.0,0.73,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,2.0,34.0,1.0,0.0,2.0,1.1,0.0,40.0,1.0,2.0,1.0,2.0,1.4,1.0,1.0,0.0,0.0,0.67,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.75,0.0,0
0.0,0.0,4.0,0.0,0.0,2.0,4.0,25.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,3.0,3.0,5.0,2.0,0.0,0.3,0.0,0
0.0,0.0,1.0,0.0,0.0,10.0,1.0,35.0,1.0,0.0,0.0,3.18,0.0,0.0,1.0,0.0,4.0,2.0,5.0,5.0,2.0,0.0,0.0,0.57,0.0,0
0.0,1.0,2.0,1.0,0.0,3.0,3.0,141.0,4.0,9.0,13.0,0.26,0.0,89.0,2.0,2.0,25.0,2.0,3.78,0.0,0.0,0.0,14.0,0.58,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,20.0,1.0,2.0,0.0,0.53,0.0,0.0,2.0,1.0,12.0,1.0,3.75,0.0,2.0,0.0,0.0,0.45,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,2.56,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.77,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,36.0,1.0,0.0,3.0,0.82,0.0,77.0,1.0,0.0,3.0,1.0,1.89,1.0,1.0,0.0,1.0,0.96,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,1.0,0.0,3.0,0.97,0.0,77.0,1.0,0.0,4.0,2.0,1.22,0.0,0.0,0.0,0.0,0.87,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,4.0,0.47,0.0,75.0,2.0,0.0,3.0,1.0,4.1,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,28.0,1.0,2.0,9.0,0.2,0.0,90.0,1.0,0.0,4.0,6.0,1.55,0.0,1.0,0.0,0.0,0.74,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,3.0,31.0,1.0,0.0,0.0,1.48,0.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,7.0,2.0,5.0,0.81,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,28.0,1.0,9.0,8.0,0.11,1.0,85.0,3.0,0.0,13.0,1.0,4.6,2.0,2.0,0.0,0.0,0.82,1.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,34.0,1.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,2.0,2.0,0.0,2.0,45.0,13.0,5.0,1.0,0.09,0.0,96.0,3.0,11.0,12.0,2.0,5.47,0.0,0.0,0.0,0.0,0.66,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,1.21,0.0,60.0,3.0,0.0,1.0,1.0,5.4,1.0,1.0,0.0,0.0,0.45,0.0,0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,147.0,1.0,3.0,37.0,0.31,0.0,96.0,2.0,2.0,15.0,3.0,11.75,0.0,0.0,0.0,0.0,0.63,3.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1.0,43.0,1.0,0.0,5.0,0.44,0.0,76.0,1.0,0.0,3.0,3.0,11.9,0.0,1.0,0.0,0.0,0.52,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.5,0.0,66.0,2.0,0.0,3.0,1.0,0.67,0.0,1.0,0.0,0.0,0.4,1.0,0
2.0,0.0,1.0,3.0,0.0,0.0,1.0,68.0,1.0,1.0,6.0,0.29,0.0,94.0,1.0,0.0,9.0,3.0,2.96,0.0,0.0,0.0,0.0,0.65,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,46.0,1.0,0.0,2.0,1.35,0.0,55.0,1.0,3.0,0.0,2.0,2.44,0.0,1.0,0.0,0.0,0.81,0.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,24.0,1.0,0.0,0.0,4.8,0.0,0.0,0.0,5.0,1.0,0.0,13.0,13.0,1.0,0.0,0.0,0.51,0.0,0
0.0,0.0,2.0,0.0,0.0,1.0,2.0,26.0,1.0,0.0,1.0,0.7,0.0,40.0,2.0,0.0,2.0,1.0,1.6,0.0,1.0,0.0,0.0,0.76,0.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,1.0,1.26,0.0,50.0,1.0,0.0,2.0,2.0,1.25,1.0,1.0,0.0,0.0,0.6,0.0,0
0.0,2.0,1.0,0.0,0.0,5.0,1.0,29.0,1.0,0.0,0.0,4.14,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
4.0,6.0,1.0,17.0,0.0,0.0,2.0,56.0,3.0,3.0,19.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.61,0.0,1.0,0.0,3.0,0.76,1.0,0
0.0,5.0,1.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,9.0,0.17,0.0,62.0,1.0,0.0,4.0,1.0,3.57,1.0,1.0,0.0,0.0,0.97,1.0,0
2.0,0.0,1.0,1.0,2.0,0.0,1.0,21.0,2.0,0.0,4.0,0.2,0.0,77.0,1.0,0.0,9.0,2.0,1.68,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0,1.0,1.0,0.0,0.86,0.0,0.0,2.0,0.0,5.0,2.0,3.29,2.0,2.0,0.0,0.0,0.55,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,2.0,130.0,1.0,0.0,2.0,0.96,0.0,42.0,1.0,0.0,2.0,3.0,2.8,1.0,1.0,0.0,0.0,0.58,0.0,0
0.0,0.0,1.0,0.0,0.0,7.0,1.0,35.0,1.0,0.0,0.0,2.69,0.0,0.0,1.0,0.0,1.0,2.0,1.5,1.0,2.0,0.0,0.0,0.92,0.0,0
0.0,3.0,1.0,0.0,0.0,3.0,1.0,30.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.57,0.0,0
0.0,4.0,1.0,0.0,0.0,2.0,1.0,31.0,1.0,0.0,0.0,4.43,0.0,0.0,0.0,2.0,1.0,0.0,1.75,1.0,0.0,0.0,0.0,0.56,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,5.0,0.32,0.0,54.0,1.0,0.0,4.0,1.0,4.2,2.0,1.0,0.0,0.0,0.8,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,0.0,1.0,0.45,0.0,33.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.56,0.0,0
0.0,2.0,1.0,0.0,0.0,4.0,1.0,31.0,1.0,0.0,0.0,5.17,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.59,0.0,0
0.0,0.0,1.0,1.0,0.0,3.0,3.0,40.0,1.0,4.0,0.0,0.59,0.0,80.0,4.0,0.0,9.0,1.0,3.6,3.0,2.0,0.0,9.0,0.51,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,43.0,1.0,0.0,2.0,1.65,0.0,41.0,3.0,1.0,0.0,1.0,1.33,0.0,1.0,0.0,0.0,0.4,0.0,0
0.0,3.0,1.0,0.0,0.0,3.0,1.0,30.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.33,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,4.0,0.0,1.0,2.0,83.0,1.0,1.0,15.0,0.18,1.0,88.0,1.0,0.0,9.0,2.0,6.82,1.0,1.0,0.0,0.0,0.7,2.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,4.0,5.0,4.0,1.0,6.14,0.0,1.0,0.0,0.0,0.55,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,54.0,1.0,0.0,0.0,1.38,2.0,0.0,2.0,22.0,3.0,1.0,25.4,25.0,4.0,0.0,0.0,0.49,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,61.0,1.0,0.0,0.0,1.13,1.0,0.0,2.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.57,1.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,54.0,1.0,0.0,0.0,2.25,1.0,0.0,2.0,0.0,2.0,1.0,3.4,3.0,1.0,0.0,0.0,0.94,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.2,1.0,0.0,2.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,0.5,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.54,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.85,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,59.0,1.0,0.0,0.0,0.84,2.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,0.56,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,4.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.95,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,59.0,1.0,0.0,0.0,0.79,2.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,0.96,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.49,1.0,0.0,3.0,4.0,4.0,1.0,5.43,0.0,1.0,0.0,0.0,0.95,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.17,1.0,0.0,5.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,0.98,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,61.0,1.0,0.0,0.0,0.67,2.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.49,1.0,0.0,4.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,59.0,1.0,0.0,0.0,0.88,1.0,0.0,2.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.09,1.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,60.0,1.0,0.0,0.0,1.05,1.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,59.0,1.0,0.0,0.0,1.13,1.0,0.0,2.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.33,1.0,0.0,2.0,1.0,4.0,1.0,3.29,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.33,1.0,0.0,3.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,59.0,1.0,0.0,0.0,1.13,1.0,0.0,2.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.49,1.0,0.0,3.0,4.0,4.0,1.0,5.43,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,3.0,0.0,4.0,0.2,0.0,44.0,1.0,0.0,4.0,2.0,3.75,1.0,1.0,0.0,0.0,0.58,1.0,0
1.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,3.0,1.0,6.0,0.21,0.0,81.0,1.0,0.0,6.0,2.0,2.71,1.0,1.0,0.0,0.0,0.59,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,0.91,0.0,33.0,2.0,0.0,0.0,1.0,2.33,1.0,2.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,27.0,1.0,0.0,0.0,5.4,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,2.0,1.08,0.0,60.0,3.0,1.0,0.0,3.0,1.6,0.0,1.0,0.0,0.0,0.84,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,1.0,3.0,5.0,0.35,0.0,82.0,1.0,0.0,2.0,2.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,4.0,1.0,1.0,0.0,1.0,2.0,71.0,5.0,2.0,16.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59,0.0,0.0,0.0,2.0,0.65,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,0.0,1.62,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.95,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,41.0,3.0,0.0,5.0,0.22,0.0,56.0,1.0,1.0,14.0,2.0,3.79,0.0,0.0,0.0,0.0,0.5,1.0,0
1.0,0.0,1.0,1.0,0.0,0.0,3.0,27.0,1.0,0.0,6.0,0.16,0.0,74.0,1.0,0.0,2.0,1.0,7.43,2.0,1.0,0.0,0.0,0.71,2.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,73.0,1.0,0.0,0.0,3.65,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.68,0.0,0
0.0,1.0,2.0,0.0,0.0,3.0,2.0,38.0,2.0,0.0,6.0,0.53,1.0,50.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.94,0.0,0
1.0,0.0,1.0,2.0,2.0,0.0,1.0,20.0,2.0,0.0,0.0,0.8,0.0,66.0,1.0,0.0,1.0,2.0,1.5,0.0,1.0,0.0,0.0,0.54,1.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,2.67,0.0,0.0,2.0,2.0,0.0,1.0,1.5,1.0,0.0,0.0,0.0,0.54,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,0.0,3.0,0.39,0.0,57.0,2.0,0.0,4.0,2.0,2.71,1.0,1.0,0.0,0.0,0.74,0.0,0
0.0,0.0,1.0,1.0,0.0,2.0,3.0,18.0,1.0,1.0,0.0,0.64,6.0,0.0,2.0,0.0,5.0,1.0,3.0,3.0,8.0,2.0,0.0,0.36,1.0,0
0.0,0.0,1.0,2.0,0.0,0.0,2.0,31.0,2.0,3.0,8.0,0.19,0.0,88.0,1.0,0.0,8.0,3.0,1.86,0.0,0.0,0.0,0.0,0.7,2.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,26.0,4.0,0.0,14.0,0.16,0.0,100.0,2.0,0.0,3.0,2.0,1.92,0.0,0.0,0.0,0.0,0.7,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,1.0,0.0,2.0,0.39,0.0,50.0,1.0,0.0,2.0,1.0,4.75,2.0,2.0,0.0,0.0,0.6,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,2.0,0.7,0.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,3.0,0.0,0.0,0.55,0.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,23.0,1.0,10.0,6.0,0.24,0.0,86.0,5.0,0.0,6.0,1.0,1.88,0.0,0.0,0.0,0.0,0.84,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,0.49,0.0,76.0,2.0,0.0,0.0,1.0,1.43,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,2.0,3.0,5.0,0.28,1.0,60.0,5.0,0.0,8.0,2.0,3.25,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,4.0,1.0,1.0,1.0,0.0,1.0,25.0,3.0,0.0,4.0,0.38,0.0,80.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,0.83,0.0,80.0,2.0,0.0,0.0,1.0,4.8,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,2.0,1.0,0.79,0.0,50.0,3.0,0.0,7.0,2.0,1.25,0.0,1.0,0.0,0.0,0.92,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,24.0,1.0,0.0,3.0,0.36,0.0,65.0,2.0,0.0,5.0,1.0,3.5,1.0,1.0,0.0,2.0,0.83,0.0,0
0.0,12.0,1.0,0.0,0.0,5.0,1.0,122.0,1.0,0.0,0.0,6.78,0.0,0.0,1.0,7.0,3.0,1.0,11.67,1.0,0.0,0.0,0.0,0.59,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,0.0,1.81,0.0,0.0,1.0,0.0,3.0,2.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,35.0,1.0,1.0,3.0,0.95,0.0,66.0,2.0,3.0,1.0,2.0,2.78,0.0,1.0,0.0,0.0,0.6,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,8.0,0.38,0.0,81.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.91,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,1.0,1.11,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.72,0.0,0
0.0,0.0,1.0,4.0,2.0,0.0,2.0,45.0,2.0,3.0,2.0,0.5,0.0,88.0,2.0,0.0,2.0,1.0,2.18,0.0,1.0,0.0,0.0,1.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,2.0,41.0,1.0,0.0,8.0,0.31,0.0,75.0,1.0,0.0,6.0,2.0,5.55,0.0,1.0,0.0,0.0,0.5,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,1.0,0.83,0.0,16.0,2.0,0.0,1.0,1.0,1.67,0.0,1.0,0.0,0.0,0.58,1.0,0
3.0,0.0,1.0,0.0,0.0,6.0,3.0,64.0,1.0,0.0,4.0,0.72,0.0,67.0,1.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.68,0.0,0
1.0,0.0,1.0,1.0,0.0,2.0,2.0,68.0,1.0,0.0,2.0,0.42,0.0,55.0,2.0,0.0,1.0,2.0,5.61,2.0,1.0,0.0,0.0,0.55,1.0,0
1.0,0.0,2.0,0.0,2.0,2.0,2.0,28.0,1.0,0.0,0.0,1.47,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.52,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,21.0,1.0,3.0,0.0,0.78,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.76,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,2.0,47.0,1.0,0.0,1.0,0.76,0.0,25.0,1.0,0.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,3.0,4.0,0.25,1.0,54.0,3.0,0.0,7.0,2.0,2.71,1.0,2.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,2.0,23.0,1.0,2.0,3.0,0.36,1.0,56.0,3.0,0.0,4.0,1.0,2.25,1.0,2.0,0.0,0.0,0.99,1.0,0
