CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,5.5,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.72,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,4.0,0.29,0.0,70.0,1.0,0.0,5.0,2.0,1.37,1.0,1.0,0.0,0.0,0.45,0.0,0
0.0,0.0,1.0,0.0,0.0,10.0,1.0,34.0,1.0,0.0,0.0,3.4,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.57,0.0,0
0.0,0.0,1.0,0.0,0.0,8.0,1.0,32.0,1.0,0.0,0.0,3.56,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.5,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.75,0.0,0
0.0,1.0,1.0,0.0,0.0,6.0,1.0,32.0,1.0,0.0,0.0,6.4,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.83,0.0,0
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.54,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,25.0,1.0,2.0,1.0,0.62,0.0,80.0,3.0,1.0,15.0,1.0,4.8,3.0,1.0,0.0,0.0,0.45,0.0,0
5.0,0.0,1.0,3.0,0.0,1.0,2.0,161.0,4.0,13.0,38.0,0.15,0.0,95.0,1.0,1.0,71.0,4.0,3.13,0.0,1.0,0.0,8.0,0.69,1.0,1
0.0,1.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,3.0,5.0,0.35,0.0,72.0,1.0,0.0,3.0,3.0,2.89,1.0,1.0,0.0,0.0,0.5,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,28.0,1.0,2.0,9.0,0.2,0.0,90.0,1.0,0.0,4.0,6.0,1.55,0.0,1.0,0.0,0.0,0.74,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,1.0,1.0,1.0,0.86,0.0,25.0,4.0,0.0,0.0,1.0,1.25,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,21.0,1.0,4.0,0.0,0.2,1.0,71.0,3.0,0.0,5.0,1.0,3.29,2.0,2.0,0.0,0.0,0.86,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,2.0,0.78,0.0,50.0,2.0,2.0,0.0,1.0,4.33,1.0,0.0,0.0,0.0,0.8,0.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,34.0,1.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,2.0,0.0,1.0,1.0,42.0,1.0,0.0,6.0,0.41,0.0,87.0,4.0,0.0,3.0,2.0,2.94,0.0,1.0,0.0,0.0,0.89,1.0,0
1.0,1.0,1.0,2.0,2.0,0.0,2.0,45.0,13.0,5.0,1.0,0.09,0.0,96.0,3.0,11.0,12.0,2.0,5.47,0.0,0.0,0.0,0.0,0.66,2.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,20.0,1.0,1.0,0.0,0.67,0.0,93.0,4.0,0.0,2.0,2.0,2.88,0.0,1.0,0.0,0.0,0.61,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,27.0,1.0,0.0,2.0,1.08,0.0,72.0,2.0,0.0,4.0,1.0,7.83,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,4.0,1.0,0.0,0.0,2.0,1.0,36.0,1.0,0.0,0.0,5.14,0.0,0.0,0.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.78,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,38.0,1.0,0.0,6.0,0.68,0.0,87.0,1.0,0.0,5.0,2.0,9.87,0.0,1.0,0.0,0.0,0.71,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,4.0,0.76,0.0,83.0,2.0,0.0,6.0,1.0,8.27,0.0,1.0,0.0,0.0,0.69,0.0,0
0.0,0.0,2.0,2.0,1.0,0.0,2.0,31.0,1.0,1.0,2.0,0.36,0.0,79.0,1.0,0.0,6.0,3.0,5.33,0.0,1.0,0.0,1.0,0.99,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,0.96,0.0,75.0,2.0,5.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,0.59,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.5,0.0,66.0,2.0,0.0,3.0,1.0,0.67,0.0,1.0,0.0,0.0,0.4,1.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,52.0,1.0,0.0,5.0,0.68,0.0,83.0,1.0,0.0,3.0,2.0,9.88,0.0,1.0,0.0,0.0,0.41,0.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,27.0,1.0,0.0,0.0,5.4,0.0,0.0,1.0,10.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,0.54,0.0,0
0.0,0.0,1.0,2.0,0.0,2.0,2.0,81.0,1.0,4.0,5.0,0.49,0.0,82.0,1.0,0.0,2.0,2.0,3.75,0.0,1.0,0.0,0.0,0.66,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,1.0,5.0,0.51,0.0,67.0,1.0,1.0,3.0,1.0,6.75,2.0,1.0,0.0,0.0,0.67,1.0,0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,1.0,1.26,0.0,50.0,1.0,0.0,2.0,2.0,1.25,1.0,1.0,0.0,0.0,0.6,0.0,0
4.0,6.0,1.0,17.0,0.0,0.0,2.0,56.0,3.0,3.0,19.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.61,0.0,1.0,0.0,3.0,0.76,1.0,0
1.0,0.0,2.0,2.0,0.0,3.0,3.0,76.0,6.0,1.0,21.0,0.27,2.0,65.0,2.0,1.0,9.0,2.0,6.53,0.0,1.0,0.0,0.0,0.98,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,1.62,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.5,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,0.91,0.0,41.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.58,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,0.0,0.24,0.0,0.0,2.0,0.0,5.0,2.0,1.46,0.0,1.0,0.0,0.0,0.6,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,4.0,0.64,0.0,18.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.58,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0,1.0,1.0,0.0,0.86,0.0,0.0,2.0,0.0,5.0,2.0,3.29,2.0,2.0,0.0,0.0,0.55,0.0,0
0.0,2.0,1.0,0.0,0.0,2.0,1.0,45.0,1.0,0.0,3.0,1.07,0.0,60.0,1.0,0.0,0.0,3.0,3.73,1.0,1.0,0.0,0.0,0.53,0.0,0
0.0,14.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.76,0.0,0.0,0.0,2.0,3.0,0.0,1.86,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,71.0,1.0,0.0,0.0,4.44,0.0,0.0,0.0,3.0,2.0,0.0,1.9,0.0,0.0,0.0,0.0,0.62,0.0,0
0.0,13.0,1.0,1.0,0.0,1.0,1.0,45.0,1.0,0.0,4.0,0.56,0.0,62.0,1.0,0.0,1.0,2.0,5.06,1.0,1.0,0.0,0.0,0.6,0.0,0
0.0,0.0,1.0,1.0,0.0,4.0,1.0,40.0,1.0,0.0,0.0,2.5,0.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.54,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,1.4,0.0,33.0,3.0,0.0,2.0,1.0,1.33,1.0,1.0,0.0,0.0,0.63,0.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,24.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43,0.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,24.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,0.0,4.0,0.76,0.0,58.0,1.0,0.0,1.0,2.0,2.17,0.0,1.0,0.0,0.0,0.77,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,31.0,1.0,3.0,4.0,0.4,0.0,58.0,1.0,0.0,1.0,2.0,3.33,0.0,1.0,0.0,0.0,0.8,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,2.0,31.0,1.0,6.0,2.0,0.44,0.0,80.0,2.0,0.0,9.0,1.0,2.57,0.0,0.0,0.0,0.0,0.63,1.0,0
0.0,0.0,1.0,1.0,0.0,3.0,3.0,34.0,1.0,3.0,0.0,0.63,0.0,75.0,3.0,1.0,6.0,1.0,3.75,1.0,2.0,0.0,10.0,0.54,0.0,0
2.0,0.0,1.0,2.0,1.0,1.0,3.0,114.0,10.0,29.0,37.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.26,0.0,0.0,0.0,109.0,0.42,1.0,1
0.0,3.0,1.0,0.0,0.0,3.0,1.0,30.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.33,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,47.0,2.0,9.0,9.0,0.26,0.0,90.0,2.0,3.0,13.0,2.0,2.78,0.0,1.0,0.0,1.0,0.68,1.0,0
0.0,0.0,1.0,4.0,0.0,1.0,2.0,83.0,1.0,1.0,15.0,0.18,1.0,88.0,1.0,0.0,9.0,2.0,6.82,1.0,1.0,0.0,0.0,0.7,2.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.3,1.0,0.0,3.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,0.94,2.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,61.0,1.0,0.0,0.0,0.95,2.0,0.0,4.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.55,1.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,61.0,1.0,0.0,0.0,0.67,2.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,0.61,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.09,1.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,0.49,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.36,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.87,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.45,1.0,0.0,3.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,0.53,1.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,61.0,1.0,0.0,0.0,0.55,2.0,0.0,3.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,0.93,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,61.0,1.0,0.0,0.0,1.13,1.0,0.0,2.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.97,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.45,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.95,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.45,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.95,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.36,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.95,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.2,1.0,0.0,3.0,0.0,6.0,1.0,2.57,0.0,1.0,0.0,0.0,0.96,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,60.0,1.0,0.0,0.0,1.05,1.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,2.0,61.0,1.0,0.0,0.0,0.67,2.0,0.0,3.0,0.0,7.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.45,1.0,0.0,3.0,0.0,5.0,1.0,2.57,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,33.0,1.0,2.0,2.0,0.34,0.0,75.0,2.0,0.0,3.0,2.0,1.56,0.0,1.0,0.0,0.0,0.52,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,26.0,2.0,0.0,3.0,0.52,0.0,41.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.51,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,5.0,0.18,0.0,74.0,1.0,1.0,9.0,1.0,4.67,1.0,1.0,0.0,0.0,0.65,0.0,0
0.0,4.0,1.0,1.0,0.0,1.0,2.0,71.0,5.0,2.0,16.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59,0.0,0.0,0.0,2.0,0.65,1.0,1
0.0,0.0,1.0,1.0,0.0,2.0,1.0,111.0,1.0,0.0,20.0,0.61,0.0,95.0,1.0,0.0,7.0,2.0,1.76,0.0,1.0,0.0,0.0,0.87,1.0,0
0.0,1.0,1.0,0.0,0.0,2.0,2.0,63.0,1.0,0.0,4.0,0.33,0.0,65.0,1.0,0.0,12.0,2.0,3.61,0.0,0.0,0.0,8.0,0.62,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,1.0,0.0,0.0,0.84,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,0.0,0.6,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,2.18,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,2.0,37.0,1.0,2.0,0.0,1.32,1.0,0.0,2.0,1.0,1.0,1.0,3.5,3.0,2.0,0.0,0.0,0.57,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,0.0,1.62,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.95,2.0,0
0.0,26.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,0.51,0.0,0.0,0.0,1.0,6.0,0.0,1.04,0.0,0.0,0.0,0.0,0.62,1.0,0
0.0,2.0,1.0,1.0,0.0,1.0,2.0,66.0,4.0,0.0,11.0,0.23,1.0,80.0,1.0,1.0,16.0,2.0,3.59,0.0,0.0,0.0,1.0,0.54,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,39.0,1.0,0.0,2.0,1.56,0.0,50.0,1.0,0.0,3.0,1.0,3.67,3.0,1.0,0.0,0.0,0.66,0.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,73.0,1.0,0.0,0.0,3.65,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.68,0.0,0
0.0,9.0,1.0,0.0,0.0,2.0,1.0,43.0,1.0,0.0,0.0,2.15,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0
8.0,0.0,1.0,1.0,0.0,2.0,3.0,143.0,1.0,0.0,8.0,0.35,1.0,78.0,1.0,1.0,14.0,2.0,6.47,2.0,1.0,0.0,5.0,0.68,2.0,1
0.0,0.0,1.0,0.0,0.0,13.0,1.0,46.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.61,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,62.0,1.0,0.0,0.0,5.17,0.0,0.0,0.0,2.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,21.0,1.0,2.0,5.0,0.37,0.0,66.0,1.0,0.0,2.0,2.0,3.67,1.0,1.0,0.0,0.0,0.76,1.0,0
0.0,0.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,8.0,0.25,0.0,87.0,3.0,0.0,11.0,1.0,2.88,1.0,1.0,0.0,0.0,0.88,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,0.81,0.0,33.0,4.0,0.0,7.0,2.0,1.67,0.0,1.0,0.0,0.0,0.58,0.0,0
0.0,0.0,1.0,0.0,0.0,6.0,1.0,71.0,1.0,1.0,2.0,1.65,0.0,57.0,5.0,0.0,4.0,1.0,2.86,2.0,1.0,0.0,0.0,0.96,1.0,0
2.0,0.0,2.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,3.0,0.22,0.0,62.0,2.0,0.0,0.0,1.0,3.4,0.0,1.0,0.0,0.0,0.5,0.0,0
0.0,4.0,1.0,0.0,0.0,4.0,1.0,37.0,1.0,0.0,0.0,4.62,0.0,0.0,0.0,17.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.36,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,2.0,65.0,1.0,0.0,4.0,0.87,0.0,50.0,2.0,0.0,4.0,1.0,3.08,1.0,1.0,0.0,0.0,0.78,1.0,0
2.0,0.0,1.0,2.0,3.0,3.0,1.0,71.0,1.0,0.0,5.0,0.9,0.0,70.0,1.0,0.0,3.0,2.0,3.45,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,0.68,0.0,0.0,1.0,0.0,2.0,2.0,1.29,1.0,1.0,0.0,0.0,0.63,0.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,41.0,1.0,1.0,1.0,0.65,0.0,80.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,1.0,1.11,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.72,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,34.0,1.0,0.0,1.0,2.62,0.0,0.0,1.0,0.0,0.0,2.0,1.33,1.0,1.0,0.0,0.0,0.68,0.0,0
3.0,0.0,1.0,0.0,0.0,6.0,3.0,64.0,1.0,0.0,4.0,0.72,0.0,67.0,1.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.68,0.0,0
