CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,103.0,1.71,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,43.0,1.0,0.0,2.0,1.65,0.0,40.0,2.0,0.0,4.0,2.0,2.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,54.0,1.0,0.0,5.0,1.26,0.0,70.0,2.0,0.0,7.0,1.0,5.38,2.0,1.0,1.0,0.0,0.0,15.0,0.75,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,2.0,43.0,1.0,0.0,2.0,1.65,0.0,40.0,2.0,0.0,4.0,2.0,3.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,51.0,1.0,0.0,3.0,1.65,0.0,50.0,2.0,0.0,5.0,1.0,3.83,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,2.05,0.0,0.0,2.0,0.0,4.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,42.0,1.0,0.0,2.0,1.31,0.0,50.0,2.0,0.0,4.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,2.0,1.26,0.0,60.0,2.0,0.0,6.0,3.0,3.0,1.0,1.0,1.0,0.43,0.0,19.0,0.33,0.0,6.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,2.05,0.0,0.0,2.0,0.0,4.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,2.0,42.0,1.0,0.0,1.0,2.0,0.0,50.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0
0.0,0.0,3.0,0.0,3.0,5.0,52.0,1.0,0.0,0.0,1.33,2.0,0.0,1.0,0.0,5.0,1.0,5.67,3.0,2.0,2.0,1.17,1.0,3.0,0.5,0.0,3.0,3.0,0
42.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,39.0,1.0,5.02,1.0,0.0,1.0,0.17,0.0,369.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,2.25,0.0,0.0,2.0,0.0,4.0,1.0,1.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,3.0,0.84,0.0,50.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,2.0,0.0,1.08,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,9.0,0.38,0.0,88.0,1.0,0.0,7.0,1.0,6.29,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,42.0,1.0,0.0,1.0,1.83,0.0,50.0,2.0,0.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,2.24,0.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0
0.0,1.0,1.0,0.0,0.0,0.0,33.0,2.0,0.0,49.0,0.49,0.0,98.0,1.0,2.0,2.0,1.0,1.73,0.0,0.0,0.0,0.07,0.0,69.0,0.5,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,30.0,1.0,0.0,1.0,0.77,0.0,37.0,1.0,0.0,6.0,2.0,11.88,1.0,2.0,1.0,0.4,0.0,28.0,1.0,0.0,2.0,2.0,0
0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,77.0,1.0,0.0,0.0,1.0,1.33,0.0,1.0,0.0,1.67,0.0,16.0,1.0,0.0,1.0,0.0,0
0.0,0.0,10.0,3.0,0.0,0.0,37.0,1.0,0.0,8.0,0.08,0.0,75.0,1.0,0.0,54.0,1.0,13.3,1.0,1.0,1.0,0.75,0.0,14.0,1.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,7.5,0.0,0.0,0.0,45.0,1.0,0.0,36.0,36.0,0.0,1.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,63.0,1.0,0.0,6.0,0.35,1.0,66.0,1.0,2.0,12.0,2.0,3.77,0.0,1.0,1.0,0.75,0.0,200.0,0.75,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,1.0,37.0,1.0,0.0,2.0,0.56,1.0,41.0,3.0,0.0,4.0,1.0,4.5,0.0,0.0,1.0,2.12,0.0,145.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,2.0,0.26,1.0,12.0,2.0,1.0,7.0,1.0,8.38,6.0,4.0,1.0,1.1,0.0,156.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.04,0.0,96.0,1.0,0.0,1.0,3.0,10.85,0.0,1.0,1.0,0.0,0.0,111.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.0,2.0,0.43,0.0,56.0,2.0,0.0,8.0,1.0,5.25,0.0,1.0,1.0,1.0,0.0,38.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,260.0,1.0,0.0,0.0,1.81,0.0,0.0,0.0,1.0,10.0,0.0,2.47,0.0,0.0,1.0,0.0,0.0,50.0,0.67,0.0,2.0,2.0,0
2.0,2.0,1.0,0.0,2.0,6.0,63.0,1.0,0.0,0.0,0.66,1.0,0.0,1.0,0.0,8.0,1.0,4.0,2.0,2.0,1.0,1.88,0.0,3.0,1.0,0.0,2.0,2.0,0
0.0,0.0,2.0,0.0,1.0,0.0,33.0,1.0,2.0,0.0,0.49,2.0,0.0,1.0,0.0,1.0,2.0,0.8,0.0,2.0,1.0,1.14,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,6.75,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,11.0,0.0,45.0,4.0,0.0,10.0,0.18,0.0,62.0,1.0,0.0,14.0,2.0,2.87,1.0,1.0,1.0,1.1,0.0,60.0,0.62,0.0,1.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,0.03,0.0,71.0,1.0,4.0,6.0,2.0,2.34,1.0,1.0,1.0,0.13,0.0,250.0,0.5,0.0,3.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,0.0,7.0,0.12,0.0,89.0,1.0,0.0,3.0,2.0,1.72,0.0,1.0,1.0,0.24,0.0,317.0,0.75,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.57,0.0,0.0,2.0,2.0,3.0,1.0,1.02,1.0,1.0,1.0,0.0,0.0,82.0,0.46,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,20.0,0.09,0.0,95.0,3.0,0.0,1.0,1.0,1.07,1.0,1.0,1.0,0.0,0.0,80.0,1.0,0.0,1.0,0.0,0
0.0,0.0,2.0,1.0,0.0,1.0,8.0,1.0,0.0,6.0,0.15,2.0,57.0,2.0,0.0,6.0,1.0,5.8,3.0,2.0,1.0,1.57,0.0,88.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.09,0.0,75.0,2.0,0.0,0.0,2.0,1.25,1.0,1.0,1.0,0.5,0.0,53.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,11.0,0.24,0.0,90.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,51.0,0.67,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.5,0.0,2.0,0.0,0
1.0,0.0,5.0,4.0,2.0,4.0,14.0,1.0,0.0,4.0,0.19,3.0,75.0,1.0,0.0,0.0,1.0,5.5,4.0,4.0,10.0,2.4,2.0,102.0,0.5,0.0,2.0,0.0,0
24.0,1.0,2.0,1.0,3.0,0.0,37.0,2.0,5.0,0.0,0.09,0.0,97.0,3.0,3.0,16.0,2.0,4.43,0.0,1.0,1.0,0.8,0.0,485.0,0.58,0.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,4.0,72.0,1.0,0.0,3.0,1.24,0.0,63.0,1.0,0.0,5.0,2.0,1.4,0.0,0.0,1.0,0.77,0.0,76.0,0.5,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,3.67,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.88,0.0,80.0,3.0,1.0,8.0,3.0,1.6,0.0,1.0,1.0,0.43,0.0,15.0,0.86,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,1.0,1.0,1.35,0.0,0.0,3.0,0.0,2.0,1.0,3.5,3.0,3.0,1.0,0.75,0.0,10.0,0.75,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,1.0,3.0,0.46,0.0,85.0,1.0,13.0,10.0,1.0,10.3,0.0,1.0,1.0,0.24,0.0,58.0,0.83,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,10.0,3.0,7.0,0.12,0.0,84.0,3.0,15.0,10.0,3.0,3.74,0.0,1.0,1.0,0.27,0.0,316.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,41.0,1.0,0.0,1.0,1.86,0.0,0.0,2.0,0.0,7.0,2.0,3.33,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0
0.0,0.0,2.0,0.0,0.0,5.0,53.0,1.0,0.0,0.0,1.36,1.0,0.0,2.0,0.0,11.0,1.0,5.33,4.0,4.0,1.0,1.4,0.0,104.0,0.8,0.0,3.0,0.0,0
1.0,0.0,1.0,1.0,1.0,1.0,44.0,1.0,0.0,0.0,1.33,0.0,75.0,2.0,0.0,6.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,4.0,0.0,0
4.0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0,3.0,0.31,3.0,58.0,2.0,0.0,17.0,2.0,7.25,2.0,1.0,1.0,1.5,0.0,11.0,0.5,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,2.0,1.6,0.0,33.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,1.93,0.0,0.0,0.0,2.0,0.0,0.0,1.11,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,1.82,0.0,0.0,1.0,0.0,1.0,2.0,2.67,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,0.0,1.0,0.0,1.0,6.0,58.0,3.0,0.0,1.0,0.75,1.0,33.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.7,0.0,0.0,0.0,0.0,3.0,1.0,0
1.0,0.0,1.0,0.0,1.0,0.0,32.0,1.0,0.0,0.0,0.34,0.0,0.0,3.0,0.0,8.0,1.0,2.25,0.0,2.0,1.0,0.8,0.0,9.0,0.75,0.0,4.0,4.0,0
0.0,0.0,1.0,0.0,18.0,1.0,82.0,3.0,0.0,0.0,0.64,0.0,0.0,1.0,0.0,11.0,2.0,2.87,0.0,1.0,1.0,0.23,0.0,168.0,0.55,0.0,3.0,1.0,0
4.0,0.0,1.0,0.0,5.0,0.0,55.0,1.0,2.0,3.0,0.23,0.0,70.0,4.0,0.0,17.0,1.0,2.91,0.0,1.0,1.0,0.76,0.0,191.0,0.6,0.0,6.0,3.0,0
2.0,3.0,1.0,1.0,1.0,0.0,43.0,2.0,0.0,16.0,0.22,0.0,91.0,1.0,1.0,11.0,2.0,4.48,2.0,1.0,1.0,0.71,0.0,150.0,0.42,0.0,6.0,4.0,0
0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.67,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0
7.0,0.0,1.0,0.0,5.0,0.0,55.0,8.0,0.0,19.0,0.17,0.0,87.0,2.0,2.0,12.0,2.0,2.3,0.0,0.0,1.0,0.54,0.0,782.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,0.0,0.0,27.0,2.0,0.0,25.0,0.56,0.0,97.0,2.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,45.0,0.67,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,3.0,0.82,0.0,50.0,1.0,0.0,1.0,2.0,7.88,1.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,4.0,0.0,33.0,3.0,0.0,5.0,0.34,0.0,73.0,2.0,0.0,7.0,2.0,2.64,1.0,1.0,1.0,0.33,0.0,3.0,0.5,0.0,1.0,1.0,0
1.0,0.0,1.0,7.0,4.0,2.0,43.0,1.0,0.0,0.0,0.35,2.0,97.0,1.0,0.0,7.0,2.0,3.0,1.0,3.0,1.0,0.86,0.0,98.0,0.46,0.0,5.0,2.0,0
0.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0.0,1.0,41.0,1.0,0.0,0.0,0.87,1.0,92.0,2.0,0.0,7.0,1.0,4.14,0.0,1.0,1.0,0.89,0.0,7.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,74.0,1.0,0.0,6.0,1.45,0.0,74.0,1.0,0.0,3.0,1.0,3.73,1.0,1.0,1.0,0.23,0.0,12.0,0.75,0.0,1.0,1.0,0
6.0,0.0,2.0,0.0,0.0,1.0,154.0,1.0,0.0,6.0,0.23,1.0,90.0,1.0,0.0,76.0,1.0,4.98,1.0,1.0,1.0,0.89,0.0,139.0,0.8,0.0,3.0,4.0,0
0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,9.0,2.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,2.0,0.0,33.0,1.0,0.0,0.0,2.2,0.0,0.0,1.0,0.0,6.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,10.0,0.83,0.0,2.0,0.0,0
1.0,0.0,1.0,1.0,7.0,0.0,38.0,4.0,0.0,3.0,0.35,1.0,77.0,2.0,0.0,11.0,2.0,3.23,2.0,2.0,1.0,0.44,0.0,35.0,0.5,0.0,4.0,1.0,0
2.0,0.0,1.0,5.0,3.0,0.0,46.0,3.0,1.0,3.0,0.28,0.0,91.0,2.0,6.0,14.0,2.0,4.35,1.0,1.0,1.0,0.75,0.0,30.0,0.25,0.0,5.0,7.0,0
23.0,5.0,1.0,20.0,12.0,0.0,253.0,40.0,0.0,24.0,0.22,0.0,97.0,2.0,17.0,33.0,2.0,3.37,0.0,0.0,1.0,0.48,0.0,1036.0,0.37,0.0,3.0,8.0,1
6.0,0.0,2.0,4.0,15.0,3.0,424.0,3.0,11.0,1.0,0.23,3.0,92.0,2.0,2.0,44.0,2.0,4.42,0.0,1.0,1.0,1.41,0.0,3094.0,0.46,2.0,2.0,7.0,1
1.0,0.0,1.0,1.0,1.0,0.0,27.0,2.0,0.0,0.0,0.84,0.0,80.0,3.0,0.0,5.0,2.0,3.5,2.0,2.0,1.0,0.0,0.0,12.0,0.4,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,4.0,2.0,70.0,1.0,1.0,6.0,0.51,1.0,58.0,2.0,1.0,23.0,1.0,4.83,2.0,2.0,1.0,0.79,0.0,61.0,0.56,0.0,4.0,5.0,0
6.0,1.0,1.0,21.0,6.0,1.0,333.0,6.0,24.0,15.0,0.27,0.0,98.0,1.0,40.0,35.0,7.0,14.2,0.0,0.0,1.0,0.79,0.0,1044.0,0.53,3.0,7.0,5.0,1
0.0,12.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.29,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,6.0,0.0,34.0,1.0,0.0,0.0,0.89,0.0,0.0,1.0,0.0,10.0,1.0,2.67,2.0,2.0,1.0,0.38,0.0,20.0,0.5,0.0,3.0,3.0,0
2.0,0.0,1.0,2.0,65.0,0.0,37.0,6.0,0.0,1.0,0.07,0.0,97.0,2.0,0.0,29.0,2.0,2.12,0.0,1.0,1.0,0.24,0.0,643.0,0.6,0.0,2.0,3.0,1
15.0,3.0,2.0,13.0,17.0,1.0,103.0,3.0,0.0,3.0,0.11,1.0,93.0,2.0,0.0,22.0,3.0,5.61,0.0,1.0,1.0,1.0,0.0,1445.0,0.48,1.0,3.0,7.0,1
34.0,1.0,2.0,13.0,36.0,1.0,363.0,5.0,0.0,8.0,0.14,1.0,92.0,2.0,0.0,30.0,2.0,5.92,0.0,1.0,1.0,0.9,0.0,1497.0,0.44,2.0,5.0,5.0,1
7.0,0.0,1.0,1.0,8.0,0.0,62.0,4.0,0.0,1.0,0.15,2.0,67.0,2.0,0.0,28.0,2.0,3.54,0.0,1.0,1.0,0.8,0.0,160.0,0.3,0.0,4.0,7.0,1
1.0,0.0,1.0,0.0,2.0,0.0,38.0,1.0,0.0,2.0,0.66,1.0,68.0,2.0,0.0,8.0,1.0,2.5,0.0,2.0,1.0,0.3,0.0,43.0,0.43,0.0,2.0,3.0,0
2.0,0.0,1.0,15.0,13.0,0.0,75.0,2.0,2.0,2.0,0.12,0.0,94.0,2.0,0.0,20.0,2.0,2.95,0.0,1.0,1.0,0.55,0.0,453.0,0.46,1.0,4.0,8.0,1
