CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0.0,0.0,2.0,1.0,0.0,1.0,3.0,54.0,3.0,7.0,10.0,13.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.91,1.0,6.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,1.0,0
0.0,0.0,8.0,0.0,0.0,0.0,12.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,13.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,3.0,0.0,0.0,0.0,3.0,22.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.5,0.0,1.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,3.0,2.0,102.0,2.0,7.0,4.0,17.0,0.0,2.0,39.0,10.0,2.0,0.0,0.0,0.0,0.58,0.0,3.0,4.0,2.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,3.0,4.0,7.0,0.0,2.0,17.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,21.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,1.0,5.0,2.0,15.0,0.0,2.0,13.0,3.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,23.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,20.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,25.0,1.0,0.0,2.0,12.0,0.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,0.8,0.0,3.0,2.0,3.0,1
0.0,0.0,1.0,0.0,1.0,3.0,1.0,71.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,1.0,4.0,12.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.6,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,2.0,8.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,11.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,2.0,31.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,21.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0
0.0,0.0,1.0,0.0,1.0,3.0,2.0,38.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,4.0,16.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,6.0,3.0,0.5,0.0,2.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,1.0,5.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,4.0,7.0,15.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.46,0.0,2.0,4.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,0.65,0.0,2.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,4.0,3.0,9.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.33,0.0,2.0,3.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,2.0,1.0,2.0,1.0,108.0,1.0,1.0,7.0,29.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.5,0.0,2.0,3.0,2.0,1
0.0,0.0,1.0,2.0,0.0,0.0,1.0,24.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,8.0,2.0,1.0,2.0,0.0,0.43,0.0,4.0,3.0,0.0,0
0.0,2.0,1.0,0.0,0.0,5.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0
0.0,4.0,1.0,0.0,0.0,3.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,19.0,1.0,0.0,0.0,2.0,1.0,66.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,3.0,1.0,1
0.0,1.0,1.0,0.0,0.0,7.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,38.0,1.0,0.0,0.6,0.0,2.0,2.0,0.0,0
1.0,0.0,1.0,0.0,12.0,4.0,1.0,74.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,9.0,2.0,0.0,1.0,0.0,0.3,0.0,1.0,5.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,40.0,1.0,4.0,4.0,13.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0.0,3.0,1.0,36.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
1.0,0.0,2.0,1.0,1.0,6.0,4.0,33.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,4.0,11.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,33.0,6.0,0.0,0.0,10.0,2.0,3.0,0.0,13.0,2.0,0.0,4.0,0.0,0.67,0.0,2.0,2.0,2.0,1
0.0,0.0,1.0,4.0,0.0,0.0,2.0,22.0,5.0,1.0,0.0,7.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,4.0,0.0,1
0.0,0.0,1.0,0.0,0.0,2.0,1.0,29.0,6.0,0.0,0.0,6.0,1.0,3.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,61.0,15.0,15.0,3.0,24.0,1.0,3.0,1.0,20.0,2.0,0.0,1.0,0.0,0.62,0.0,3.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,3.0,2.0,0.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,4.0,2.0,3.0,6.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,3.0,2.0,1.0,5.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,3.0,3.0,2.0,3.0,0.0,4.0,0.0,8.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.67,0.0,1.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,31.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,5.0,0.0,0.0,6.0,2.0,3.0,0.0,8.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,3.0,1.0,2.0,17.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,29.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,5.0,3.0,1.0,7.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,1.0,0.0,6.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,38.0,1.0,7.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,2.0,1.0,0.0,0.33,0.0,1.0,3.0,2.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,7.0,1.0,0.0,7.0,0.0,0.5,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,2.0,0.0,0.0,1.0,19.0,4.0,3.0,3.0,8.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,1.0,2.0,4.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,4.0,2.0,5.0,9.0,1.0,4.0,1.0,6.0,2.0,0.0,1.0,0.0,0.25,0.0,3.0,4.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,6.0,1.0,1.0,8.0,1.0,4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,12.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,1
1.0,0.0,1.0,2.0,0.0,0.0,1.0,16.0,4.0,8.0,4.0,9.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,8.0,1.0,2.0,13.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,4.0,3.0,1.0,6.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,2.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,19.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,19.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,5.0,1.0,3.0,1.0,4.0,0.0,7.0,2.0,0.0,1.0,0.0,0.8,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,1.0,0.0,1.0,1.0,54.0,1.0,0.0,4.0,16.0,0.0,4.0,0.0,11.0,1.0,0.0,1.0,0.0,0.6,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,27.0,2.0,7.0,5.0,4.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.33,0.0,2.0,3.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,2.0,2.0,5.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,3.0,27.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,8.0,1.0,1.0,1.0,0.0,0.71,0.0,3.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,8.0,24.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.33,0.0,3.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,1.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
2.0,1.0,1.0,2.0,0.0,1.0,1.0,56.0,4.0,9.0,10.0,13.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.5,0.0,3.0,2.0,2.0,1
0.0,1.0,1.0,2.0,0.0,0.0,2.0,21.0,1.0,0.0,3.0,9.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
