CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,target
0.0,0.0,1.0,1.0,0.0,0.0,2.0,21.0,2.0,4.0,2.0,2.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.8,0.0,3.0,2.0,1.0,0
1.0,0.0,1.0,1.0,25.0,0.0,1.0,26.0,1.0,1.0,0.0,24.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,4.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,2.0,13.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0
1.0,0.0,2.0,0.0,14.0,2.0,2.0,62.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,3.0,0.0,1.0,4.0,0.0,3.0,0.0,6.0,2.0,2.0,1.0,0.0,0.6,0.0,1.0,2.0,1.0,1
0.0,26.0,1.0,0.0,0.0,5.0,1.0,167.0,1.0,0.0,0.0,0.0,0.0,1.0,106.0,4.0,1.0,0.0,0.0,0.0,0.33,0.0,3.0,4.0,2.0,1
0.0,0.0,7.0,0.0,0.0,3.0,7.0,25.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,9.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,34.0,1.0,3.0,6.0,11.0,0.0,3.0,7.0,3.0,2.0,1.0,0.0,0.0,0.56,0.0,2.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,2.0,11.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.8,0.0,2.0,2.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,2.0,43.0,1.0,5.0,5.0,19.0,0.0,1.0,15.0,8.0,3.0,0.0,0.0,0.0,0.6,0.0,2.0,2.0,2.0,0
0.0,0.0,1.0,1.0,1.0,2.0,1.0,48.0,1.0,2.0,2.0,9.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.75,0.0,3.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,1.0,1.0,8.0,24.0,0.0,2.0,0.0,13.0,2.0,1.0,1.0,0.0,0.75,0.0,1.0,2.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,3.0,8.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,2.0,3.0,5.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.43,0.0,3.0,4.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,4.0,3.0,9.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.33,0.0,2.0,3.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,3.0,0.0,1.0,24.0,1.0,3.0,0.0,4.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,60.0,1.0,0.0,3.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,21.0,1.0,2.0,3.0,5.0,0.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.33,0.0,2.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,47.0,1.0,1.0,4.0,9.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,29.0,1.0,0.0,0.0,8.0,1.0,261.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.75,0.0,2.0,2.0,2.0,1
0.0,1.0,1.0,0.0,0.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,2.0,0
0.0,1.0,1.0,0.0,0.0,11.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,7.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,38.0,1.0,0.0,0.6,0.0,2.0,2.0,0.0,0
1.0,0.0,1.0,0.0,2.0,6.0,1.0,40.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,2.0,14.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0
2.0,0.0,1.0,0.0,13.0,0.0,3.0,38.0,2.0,0.0,6.0,19.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,4.0,2.0,3.0,1.0,39.0,1.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,3.0,2.0,2.0,5.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,22.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,6.0,2.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,1.0,3.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,5.0,3.0,1.0,7.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,2.0,1.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,3.0,0.0,1
1.0,0.0,1.0,0.0,1.0,0.0,1.0,16.0,4.0,2.0,0.0,5.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,2.0,0.0,1.0,1.0,26.0,5.0,1.0,0.0,4.0,1.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.75,0.0,1.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,3.0,2.0,2.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,6.0,1.0,1.0,8.0,1.0,4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.67,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,2.0,2.0,4.0,2.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,3.0,5.0,1.0,5.0,0.0,4.0,1.0,11.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,37.0,9.0,3.0,2.0,11.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,2.0,2.0,3.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,27.0,2.0,2.0,2.0,3.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,3.0,0.0,0.5,0.0,2.0,2.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,20.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.33,0.0,1.0,3.0,2.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,30.0,2.0,6.0,7.0,14.0,0.0,3.0,2.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,1.0,0.0,5.0,14.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
1.0,0.0,1.0,3.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
1.0,1.0,1.0,8.0,12.0,0.0,4.0,23.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.57,0.0,3.0,4.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,3.0,0.0,1.0,0.0,7.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,2.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.75,0.0,1.0,2.0,1.0,1
1.0,0.0,1.0,5.0,0.0,1.0,1.0,27.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,1.0,1.0,1.0,3.0,25.0,1.0,5.0,3.0,3.0,0.0,4.0,0.0,8.0,1.0,1.0,2.0,0.0,0.83,0.0,4.0,2.0,1.0,1
0.0,0.0,1.0,0.0,1.0,1.0,1.0,33.0,1.0,1.0,3.0,5.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1
2.0,0.0,1.0,0.0,0.0,2.0,1.0,27.0,3.0,1.0,5.0,4.0,1.0,4.0,0.0,9.0,2.0,0.0,1.0,0.0,0.33,0.0,1.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,0.0,1.0,2.0,8.0,0.0,1.0,68.0,1.0,5.0,5.0,55.0,0.0,3.0,1.0,11.0,2.0,0.0,1.0,0.0,0.56,0.0,3.0,3.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,73.0,1.0,2.0,7.0,28.0,0.0,2.0,2.0,14.0,1.0,0.0,1.0,0.0,0.33,0.0,1.0,5.0,3.0,1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,3.0,0.0,9.0,1.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,5.0,3.0,0.0,7.0,0.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,25.0,3.0,2.0,0.0,3.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,1.0,1.0,16.0,1.0,0.0,1.0,52.0,20.0,5.0,5.0,36.0,0.0,4.0,6.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,5.0,1.0,75.0,6.0,4.0,6.0,13.0,2.0,4.0,0.0,7.0,2.0,0.0,1.0,0.0,0.5,0.0,1.0,2.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0
0.0,1.0,1.0,0.0,0.0,7.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.33,0.0,1.0,3.0,2.0,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,32.0,2.0,5.0,4.0,7.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,37.0,1.0,0.0,2.0,13.0,0.0,3.0,0.0,11.0,1.0,0.0,1.0,0.0,0.62,0.0,3.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,2.0,2.0,29.0,2.0,2.0,1.0,2.0,3.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0
1.0,0.0,1.0,2.0,0.0,1.0,2.0,41.0,4.0,9.0,1.0,9.0,1.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.6,0.0,3.0,3.0,1.0,1
0.0,0.0,1.0,1.0,0.0,1.0,3.0,31.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,10.0,1.0,3.0,3.0,0.0,0.44,0.0,3.0,3.0,1.0,1
0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,6.0,22.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,5.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,2.0,2.0,2.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,0.0,0
