CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.56,0.0,0.0,3.0,0.0,4.0,1.0,1.33,0.0,2.0,1.0,1.8,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.47,0.0,0.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,1.8,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.51,0.0,19.0,3.0,2.0,4.0,1.0,2.2,1.0,1.0,1.0,1.71,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.71,0.0,0.0,2.0,1.0,1.0,1.0,0.67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.88,0.0,60.0,4.0,0.0,4.0,1.0,1.2,0.0,1.0,1.0,0.43,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.28,0.0,50.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,2.0,0.0,0
1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,6.0,0.37,0.0,79.0,2.0,0.0,6.0,1.0,2.14,0.0,1.0,1.0,0.89,1.0,0.0,1.0,0.0,0
4.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,5.0,12.0,0.45,0.0,71.0,1.0,0.0,1.0,1.0,5.12,2.0,1.0,1.0,1.33,0.67,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,1.72,0.0,40.0,1.0,0.0,0.0,2.0,3.2,1.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,6.0,0.37,0.0,37.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,1.73,0.0,0.0,1.0,0.0,0
4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.32,0.0,60.0,2.0,0.0,8.0,1.0,3.5,2.0,1.0,1.0,0.92,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.17,0.0,16.0,1.0,0.0,5.0,2.0,4.0,4.0,3.0,1.0,0.75,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,3.0,0.7,0.0,50.0,1.0,0.0,5.0,1.0,5.5,2.0,1.0,1.0,0.67,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,0.6,0.0,75.0,1.0,0.0,1.0,2.0,1.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0
0.0,3.0,1.0,12.0,5.0,0.0,4.0,1.0,23.0,27.0,0.18,0.0,90.0,1.0,0.0,10.0,1.0,3.74,1.0,1.0,1.0,0.83,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,0.27,0.0,78.0,1.0,0.0,2.0,1.0,2.53,0.0,1.0,1.0,0.59,0.0,0.0,1.0,1.0,0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.19,0.0,66.0,4.0,0.0,1.0,1.0,0.67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,6.0,0.34,0.0,86.0,2.0,0.0,4.0,1.0,1.9,0.0,1.0,1.0,1.75,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.47,0.0,25.0,1.0,0.0,3.0,1.0,8.33,1.0,1.0,1.0,1.11,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,15.0,0.49,0.0,89.0,2.0,0.0,7.0,1.0,1.87,0.0,1.0,1.0,0.94,0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,0.26,2.0,42.0,2.0,0.0,4.0,1.0,4.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,0.05,21.0,19.0,2.0,0.0,4.0,1.0,8.0,3.0,1.0,8.0,3.71,0.0,0.0,1.0,2.0,1
1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.69,0.0,0.0,1.0,0.0,0.0,1.0,2.33,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.22,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.6,1.0,75.0,2.0,0.0,1.0,1.0,5.0,5.0,2.0,1.0,0.75,1.0,0.0,2.0,1.0,0
0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,8.0,6.0,0.57,0.0,77.0,1.0,0.0,1.0,1.0,2.89,1.0,1.0,1.0,1.09,0.0,0.0,1.0,2.0,0
0.0,1.0,2.0,0.0,5.0,6.0,3.0,0.0,2.0,7.0,0.51,0.0,25.0,2.0,0.0,9.0,2.0,3.25,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,1.22,0.0,40.0,1.0,0.0,0.0,1.0,2.2,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0
12.0,1.0,1.0,15.0,1.0,2.0,2.0,0.0,9.0,3.0,0.46,0.0,87.0,1.0,0.0,3.0,1.0,5.38,1.0,1.0,1.0,0.89,0.0,0.0,2.0,0.0,0
4.0,0.0,1.0,2.0,10.0,6.0,12.0,0.0,5.0,22.0,0.81,1.0,95.0,1.0,0.0,5.0,2.0,2.58,0.0,1.0,1.0,0.62,0.0,0.0,2.0,1.0,0
1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,0.35,0.0,50.0,2.0,0.0,6.0,1.0,2.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
0.0,0.0,2.0,0.0,0.0,17.0,1.0,4.0,0.0,1.0,0.65,2.0,0.0,2.0,0.0,5.0,1.0,2.8,2.0,2.0,1.0,2.12,1.0,0.0,1.0,3.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.46,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,0.0,0.0,7.0,1.0,1.0,5.0,4.0,0.63,0.0,56.0,2.0,0.0,1.0,1.0,5.2,2.0,2.0,1.0,1.57,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,10.0,0.23,2.0,45.0,2.0,0.0,15.0,2.0,2.7,1.0,0.0,1.0,0.62,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,9.0,0.24,2.0,55.0,2.0,0.0,15.0,2.0,2.44,1.0,0.0,1.0,0.6,0.0,0.0,1.0,1.0,0
1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,0.25,0.0,61.0,2.0,0.0,6.0,1.0,3.0,0.0,1.0,1.0,0.55,0.0,0.0,2.0,0.0,0
0.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.33,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.31,0.0,40.0,3.0,0.0,13.0,2.0,1.64,0.0,1.0,1.0,0.31,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.61,1.0,0.0,2.0,0.0,13.0,1.0,2.0,2.0,15.0,1.0,0.0,0.0,0.0,2.0,0.0,0
10.0,0.0,10.0,3.0,0.0,14.0,1.0,0.0,9.0,1.0,0.26,0.0,83.0,2.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,3.23,0.0,0.0,1.0,0.0,0
12.0,0.0,10.0,4.0,0.0,14.0,1.0,0.0,14.0,1.0,0.23,0.0,85.0,2.0,0.0,1.0,1.0,5.46,1.0,1.0,1.0,2.73,0.0,0.0,1.0,0.0,0
7.0,0.0,12.0,3.0,0.0,16.0,1.0,0.0,8.0,1.0,0.25,0.0,81.0,2.0,0.0,1.0,1.0,4.5,3.0,1.0,1.0,3.8,0.0,0.0,1.0,0.0,0
7.0,0.0,11.0,3.0,0.0,15.0,1.0,0.0,7.0,1.0,0.25,0.0,81.0,2.0,0.0,1.0,1.0,4.38,3.0,1.0,1.0,3.8,0.0,0.0,1.0,0.0,0
5.0,0.0,6.0,2.0,0.0,8.0,1.0,0.0,4.0,1.0,0.22,0.0,72.0,2.0,0.0,1.0,1.0,4.83,2.0,2.0,1.0,1.88,0.0,0.0,1.0,0.0,0
11.0,0.0,7.0,1.0,0.0,9.0,1.0,0.0,10.0,1.0,0.2,0.0,88.0,2.0,0.0,1.0,1.0,3.42,3.0,1.0,1.0,2.79,0.0,0.0,1.0,0.0,0
11.0,0.0,12.0,1.0,0.0,17.0,1.0,0.0,13.0,1.0,0.22,0.0,86.0,2.0,0.0,1.0,1.0,4.33,3.0,1.0,1.0,3.5,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.29,0.0,0.0,2.0,0.0,5.0,2.0,1.25,0.0,1.0,1.0,0.43,0.0,0.0,2.0,0.0,0
2.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,3.0,2.0,0.66,4.0,58.0,1.0,0.0,0.0,1.0,4.25,3.0,1.0,1.0,1.83,0.0,0.0,1.0,2.0,0
0.0,10.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.38,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0.0,1.0,0.46,0.0,0.0,1.0,0.0,0
9.0,0.0,2.0,1.0,4.0,0.0,3.0,12.0,34.0,25.0,0.06,0.0,91.0,2.0,0.0,17.0,2.0,5.39,0.0,0.0,1.0,1.42,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,9.0,0.28,0.0,82.0,2.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.76,0.0,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.24,0.0,71.0,3.0,0.0,6.0,2.0,2.67,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.12,0.0,0.0,3.0,0.0,6.0,1.0,3.5,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.39,0.0,33.0,1.0,0.0,3.0,1.0,4.33,3.0,3.0,1.0,1.4,0.0,0.0,3.0,0.0,0
0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.48,0.0,50.0,1.0,0.0,9.0,1.0,3.25,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,25.0,0.17,0.0,96.0,2.0,0.0,3.0,1.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,44.0,0.1,0.0,97.0,2.0,0.0,4.0,1.0,1.25,0.0,1.0,1.0,0.07,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.69,0.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,0.43,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.17,0.0,0.0,2.0,0.0,3.0,1.0,1.5,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0
11.0,3.0,5.0,45.0,9.0,5.0,1.0,0.0,18.0,11.0,0.28,0.0,93.0,1.0,0.0,2.0,1.0,4.28,1.0,0.0,1.0,0.93,1.0,0.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.25,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.55,2.0,25.0,1.0,0.0,4.0,2.0,2.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.51,1.0,12.0,2.0,0.0,10.0,2.0,3.0,1.0,2.0,1.0,0.43,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.23,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.48,0.0,0.0,2.0,0.0,4.0,1.0,2.5,2.0,2.0,1.0,1.5,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.4,0.0,0.0,2.0,0.0,10.0,1.0,2.0,2.0,2.0,1.0,1.5,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,2.33,0.0,0.0,2.0,0.0,0.0,1.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,13.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,0.39,2.0,68.0,2.0,0.0,17.0,1.0,2.8,1.0,1.0,1.0,1.43,0.0,0.0,1.0,0.0,0
46.0,0.0,5.0,7.0,0.0,0.0,1.0,1.0,11.0,7.0,0.0,0.0,85.0,1.0,0.0,3.0,2.0,5.13,1.0,1.0,1.0,1.79,0.0,0.0,3.0,0.0,0
0.0,0.0,2.0,0.0,0.0,7.0,1.0,1.0,5.0,4.0,0.63,0.0,56.0,2.0,0.0,1.0,1.0,4.6,1.0,2.0,1.0,1.57,1.0,0.0,1.0,1.0,0
1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.21,4.0,0.0,3.0,0.0,10.0,1.0,1.75,0.0,1.0,1.0,2.14,0.0,0.0,3.0,4.0,0
0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.75,0.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,3.0,2.85,0.0,60.0,1.0,43.0,1.0,1.0,14.0,2.0,1.0,1.0,0.62,1.0,0.0,6.0,1.0,1
0.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,2.0,3.0,0.57,2.0,33.0,3.0,0.0,1.0,1.0,4.33,3.0,2.0,1.0,2.4,1.0,0.0,2.0,2.0,1
0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,1.39,0.0,0.0,3.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,1.5,0.5,0.0,2.0,4.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.4,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.17,1.0,0.0,3.0,0.0,1.0,1.0,8.0,3.0,2.0,1.0,1.5,1.0,0.0,5.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.9,0.0,0.0,5.0,0.0,0.0,1.0,5.5,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,1.0,0.0,37.0,3.0,7.0,1.0,1.0,2.88,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.74,2.0,50.0,3.0,0.0,2.0,1.0,8.0,4.0,2.0,1.0,2.25,1.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.27,0.0,0.0,2.0,44.0,0.0,1.0,23.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.5,1.0,2.0,1.0,0.75,1.0,0.0,4.0,0.0,0
1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,6.0,1.16,0.0,71.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.78,0.0,0.0,6.0,0.0,0
0.0,14.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,4.12,0.0,0.0,2.0,3.0,1.0,1.0,4.22,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,0.11,6.0,33.0,2.0,0.0,16.0,1.0,5.4,0.0,1.0,1.0,2.5,1.0,0.0,1.0,0.0,1
0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,10.0,18.0,0.39,0.0,76.0,3.0,0.0,6.0,1.0,3.86,0.0,0.0,1.0,0.54,1.0,0.0,5.0,4.0,1
0.0,5.0,1.0,0.0,1.0,4.0,3.0,9.0,8.0,6.0,0.67,1.0,81.0,2.0,2.0,12.0,2.0,3.35,0.0,0.0,1.0,0.92,1.0,0.0,1.0,0.0,0
