CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
3.0,1.0,2.0,96.0,2.0,6.0,0.12,4.0,88.0,2.0,0.0,4.0,2.0,3.75,1.0,1.0,1.0,1.1,0.0,1.0,0.0,7.0,2.0,1
0.0,1.0,0.0,7.0,0.0,0.0,0.29,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0
2.0,2.0,0.0,37.0,0.0,10.0,0.08,0.0,89.0,2.0,0.0,3.0,4.0,3.54,0.0,1.0,0.0,0.51,0.0,0.5,0.0,2.0,0.0,0
2.0,2.0,0.0,37.0,0.0,10.0,0.08,0.0,89.0,2.0,0.0,3.0,4.0,3.54,0.0,1.0,0.0,0.51,0.0,0.5,0.0,2.0,0.0,0
2.0,2.0,0.0,22.0,8.0,8.0,0.05,0.0,96.0,2.0,0.0,6.0,2.0,4.26,0.0,0.0,0.0,0.7,0.0,0.5,0.0,2.0,0.0,0
2.0,1.0,0.0,28.0,0.0,5.0,0.09,0.0,90.0,2.0,0.0,3.0,4.0,19.05,0.0,0.0,0.0,0.73,0.0,1.0,0.0,3.0,1.0,0
2.0,1.0,0.0,54.0,0.0,9.0,0.07,0.0,89.0,2.0,0.0,4.0,4.0,3.96,0.0,0.0,0.0,0.9,0.0,0.5,0.0,2.0,2.0,0
2.0,2.0,0.0,42.0,0.0,12.0,0.07,0.0,90.0,2.0,0.0,4.0,4.0,4.16,0.0,0.0,0.0,0.75,0.0,1.0,0.0,5.0,1.0,0
2.0,1.0,0.0,28.0,0.0,5.0,0.09,0.0,90.0,2.0,0.0,3.0,4.0,3.32,0.0,0.0,0.0,0.73,0.0,1.0,0.0,4.0,3.0,0
2.0,1.0,0.0,28.0,0.0,5.0,0.09,0.0,90.0,2.0,0.0,3.0,4.0,2.34,0.0,0.0,0.0,0.73,0.0,1.0,0.0,3.0,0.0,0
0.0,0.0,0.0,435.0,0.0,0.0,0.13,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.01,0.0,0.5,0.0,4.0,5.0,0
0.0,1.0,2.0,23.0,0.0,2.0,1.15,0.0,33.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,1.0,20.0,0.0,1.0,1.54,0.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
1.0,2.0,2.0,111.0,0.0,6.0,0.34,0.0,92.0,1.0,0.0,11.0,1.0,7.22,2.0,2.0,1.0,1.07,0.0,0.5,0.0,6.0,6.0,0
0.0,1.0,0.0,17.0,2.0,2.0,0.22,1.0,33.0,2.0,1.0,14.0,1.0,4.33,1.0,2.0,1.0,0.6,0.0,1.0,0.0,1.0,1.0,1
14.0,1.0,0.0,26.0,2.0,3.0,0.1,2.0,91.0,2.0,0.0,34.0,1.0,4.47,0.0,1.0,1.0,0.0,0.0,0.83,0.0,4.0,1.0,1
0.0,1.0,1.0,18.0,1.0,0.0,2.57,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.0,0.0,37.0,0.0,0.0,1.68,0.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,2.0,83.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,1.0,1.0,0.43,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,1.0,13.0,0.0,19.0,0.18,0.0,78.0,1.0,0.0,0.0,2.0,5.2,0.0,1.0,0.0,0.43,0.0,0.67,0.0,1.0,3.0,0
1.0,2.0,6.0,111.0,0.0,4.0,0.56,0.0,91.0,1.0,0.0,8.0,1.0,4.75,1.0,2.0,1.0,1.44,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,22.0,0.0,3.0,0.65,0.0,33.0,1.0,0.0,2.0,2.0,2.25,1.0,1.0,1.0,0.67,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,17.0,0.0,0.0,1.55,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1
0.0,1.0,0.0,31.0,0.0,1.0,0.52,0.0,0.0,2.0,0.0,1.0,2.0,1.1,0.0,1.0,1.0,0.23,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,0.0,42.0,0.0,7.0,0.33,0.0,83.0,1.0,0.0,4.0,2.0,9.36,0.0,1.0,1.0,0.11,0.0,0.67,0.0,5.0,1.0,1
12.0,1.0,0.0,30.0,1.0,1.0,0.09,0.0,94.0,2.0,0.0,30.0,2.0,4.44,0.0,1.0,1.0,1.15,0.0,1.0,0.0,1.0,0.0,1
14.0,2.0,1.0,135.0,6.0,33.0,0.2,1.0,90.0,3.0,2.0,16.0,2.0,7.23,0.0,1.0,1.0,1.42,0.0,0.67,0.0,3.0,2.0,1
0.0,1.0,1.0,50.0,1.0,5.0,0.37,0.0,85.0,2.0,0.0,9.0,2.0,3.35,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1
0.0,2.0,1.0,26.0,1.0,0.0,0.34,1.0,90.0,2.0,0.0,6.0,2.0,1.4,0.0,0.0,1.0,1.29,0.0,0.0,0.0,5.0,2.0,0
0.0,1.0,7.0,44.0,0.0,1.0,0.96,3.0,0.0,1.0,1.0,4.0,2.0,2.5,2.0,2.0,1.0,2.25,0.0,0.0,0.0,3.0,2.0,0
0.0,1.0,5.0,40.0,0.0,1.0,2.67,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0
0.0,1.0,1.0,29.0,0.0,0.0,0.81,2.0,0.0,2.0,0.0,1.0,1.0,3.0,3.0,4.0,1.0,2.2,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,29.0,0.0,0.0,0.83,2.0,0.0,2.0,0.0,1.0,1.0,1.5,1.0,4.0,1.0,2.25,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,3.0,62.0,0.0,7.0,0.4,2.0,60.0,1.0,0.0,10.0,1.0,3.11,1.0,1.0,1.0,1.67,0.0,0.5,0.0,3.0,1.0,0
1.0,1.0,5.0,46.0,0.0,21.0,0.19,3.0,54.0,2.0,0.0,15.0,2.0,13.75,2.0,1.0,2.0,2.83,1.0,0.67,0.0,4.0,2.0,0
1.0,2.0,1.0,37.0,1.0,4.0,0.28,0.0,86.0,2.0,0.0,18.0,2.0,2.58,0.0,1.0,1.0,1.21,0.0,1.0,0.0,4.0,3.0,0
0.0,1.0,1.0,39.0,1.0,10.0,0.34,0.0,100.0,2.0,0.0,12.0,2.0,3.09,0.0,1.0,0.0,0.71,0.0,0.75,0.0,5.0,2.0,1
3.0,2.0,3.0,195.0,0.0,0.0,0.21,0.0,90.0,1.0,0.0,194.0,1.0,4.71,0.0,1.0,1.0,0.94,0.0,0.5,0.0,6.0,8.0,0
3.0,1.0,0.0,21.0,1.0,1.0,0.24,0.0,88.0,2.0,0.0,12.0,1.0,1.78,0.0,0.0,1.0,0.73,0.0,0.0,0.0,4.0,3.0,0
0.0,1.0,0.0,17.0,0.0,0.0,1.55,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,2.0,1.0,47.0,0.0,12.0,0.19,1.0,65.0,1.0,0.0,9.0,2.0,3.65,2.0,1.0,1.0,1.33,0.0,0.5,0.0,2.0,3.0,1
0.0,1.0,0.0,23.0,0.0,0.0,1.05,0.0,100.0,2.0,0.0,2.0,1.0,1.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0
1.0,1.0,0.0,23.0,1.0,3.0,0.37,0.0,61.0,2.0,0.0,13.0,1.0,2.86,1.0,1.0,1.0,0.56,0.0,0.5,0.0,1.0,1.0,0
0.0,1.0,0.0,17.0,0.0,0.0,0.71,0.0,60.0,1.0,0.0,1.0,1.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,2.0,2.0,59.0,0.0,4.0,0.17,2.0,86.0,2.0,0.0,31.0,2.0,3.75,0.0,0.0,1.0,1.33,0.0,0.75,0.0,2.0,4.0,1
0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,31.0,0.0,1.0,0.35,1.0,11.0,2.0,0.0,7.0,1.0,2.11,0.0,1.0,1.0,1.27,0.0,0.0,0.0,1.0,1.0,0
7.0,2.0,1.0,83.0,0.0,30.0,0.22,1.0,80.0,2.0,0.0,14.0,1.0,7.72,2.0,1.0,1.0,1.81,0.0,1.0,0.0,3.0,2.0,1
19.0,2.0,1.0,77.0,3.0,22.0,0.13,1.0,85.0,4.0,0.0,19.0,2.0,4.42,0.0,1.0,1.0,1.44,0.0,0.71,0.0,2.0,3.0,1
0.0,1.0,0.0,20.0,0.0,2.0,0.91,0.0,50.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,21.0,0.0,2.0,0.7,0.0,16.0,1.0,0.0,4.0,2.0,2.67,1.0,2.0,1.0,0.6,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,3.0,37.0,1.0,5.0,0.4,1.0,66.0,2.0,0.0,6.0,2.0,5.2,0.0,1.0,1.0,1.14,0.0,1.0,0.0,2.0,3.0,0
0.0,0.0,0.0,22.0,0.0,0.0,7.33,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,4.0,39.0,0.0,0.0,1.44,0.0,0.0,2.0,0.0,2.0,2.0,6.5,0.0,2.0,1.0,0.5,0.0,0.0,0.0,4.0,1.0,0
0.0,1.0,0.0,23.0,0.0,0.0,0.82,0.0,0.0,1.0,1.0,6.0,2.0,0.67,0.0,1.0,1.0,1.83,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,28.0,0.0,4.0,0.58,0.0,43.0,1.0,0.0,0.0,2.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,17.0,1.0,1.0,0.49,0.0,66.0,2.0,0.0,1.0,2.0,1.67,1.0,1.0,1.0,1.17,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,32.0,1.0,5.0,0.37,0.0,75.0,2.0,0.0,3.0,1.0,3.11,1.0,2.0,1.0,0.77,0.0,0.0,0.0,2.0,2.0,0
4.0,1.0,1.0,60.0,1.0,12.0,0.25,0.0,86.0,1.0,4.0,11.0,2.0,4.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7.0,2.0,3.0,82.0,0.0,0.0,0.25,0.0,89.0,1.0,0.0,16.0,1.0,5.05,0.0,1.0,1.0,1.62,0.0,0.67,0.0,5.0,2.0,0
0.0,1.0,4.0,21.0,0.0,0.0,0.34,4.0,0.0,1.0,1.0,4.0,2.0,3.0,3.0,20.0,16.0,5.0,5.0,1.0,0.0,2.0,0.0,1
0.0,1.0,5.0,58.0,0.0,4.0,0.92,0.0,62.0,1.0,3.0,3.0,2.0,8.67,3.0,1.0,1.0,1.44,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,17.0,0.0,0.0,3.4,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,17.0,0.0,2.0,4.25,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,21.0,0.0,7.0,0.17,0.0,57.0,1.0,0.0,4.0,1.0,3.58,0.0,1.0,1.0,0.45,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,3.0,48.0,1.0,2.0,0.59,0.0,94.0,1.0,0.0,4.0,1.0,4.75,1.0,0.0,1.0,1.18,0.0,0.0,0.0,3.0,1.0,0
0.0,1.0,3.0,66.0,0.0,6.0,1.16,0.0,75.0,1.0,0.0,1.0,2.0,3.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
8.0,1.0,1.0,61.0,0.0,0.0,0.17,0.0,85.0,1.0,0.0,10.0,2.0,4.5,2.0,2.0,1.0,1.83,0.0,0.0,0.0,1.0,0.0,0
9.0,1.0,6.0,679.0,3.0,3.0,0.48,0.0,92.0,1.0,0.0,45.0,2.0,9.19,0.0,1.0,1.0,1.32,0.0,0.44,0.0,4.0,13.0,1
0.0,1.0,8.0,100.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,1.0,32.0,0.0,0.0,0.1,2.0,94.0,1.0,0.0,10.0,1.0,5.91,0.0,1.0,1.0,2.08,0.0,1.0,0.0,5.0,2.0,0
3.0,1.0,1.0,148.0,2.0,6.0,0.22,0.0,89.0,1.0,0.0,27.0,2.0,7.84,0.0,1.0,1.0,0.54,0.0,0.71,0.0,4.0,10.0,1
7.0,2.0,4.0,144.0,0.0,0.0,0.24,1.0,100.0,2.0,1.0,28.0,2.0,2.44,0.0,1.0,1.0,1.74,0.0,1.0,0.0,2.0,5.0,1
13.0,2.0,13.0,229.0,0.0,0.0,0.43,5.0,86.0,1.0,0.0,56.0,2.0,5.67,1.0,1.0,1.0,2.18,0.0,0.4,0.0,5.0,3.0,1
0.0,1.0,8.0,37.0,0.0,0.0,0.67,4.0,0.0,1.0,0.0,10.0,2.0,1.5,1.0,1.0,1.0,1.5,0.0,1.0,0.0,2.0,1.0,0
5.0,2.0,2.0,108.0,4.0,10.0,0.32,1.0,100.0,2.0,1.0,29.0,2.0,2.8,0.0,1.0,0.0,0.79,0.0,0.5,0.0,2.0,1.0,0
5.0,3.0,9.0,159.0,0.0,6.0,0.56,1.0,70.0,1.0,0.0,18.0,2.0,4.9,2.0,1.0,1.0,2.5,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,4.0,39.0,0.0,2.0,1.95,0.0,50.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,23.0,0.0,4.0,0.61,0.0,33.0,1.0,0.0,2.0,2.0,2.17,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
3.0,3.0,8.0,68.0,0.0,1.0,0.42,3.0,60.0,1.0,0.0,21.0,2.0,4.6,2.0,2.0,1.0,1.57,0.0,0.0,0.0,1.0,0.0,0
2.0,1.0,1.0,63.0,0.0,5.0,0.28,0.0,67.0,1.0,0.0,27.0,2.0,2.12,1.0,1.0,1.0,1.05,0.0,1.0,0.0,2.0,0.0,1
5.0,1.0,1.0,63.0,0.0,3.0,0.3,1.0,100.0,1.0,0.0,26.0,2.0,2.62,1.0,1.0,1.0,0.95,0.0,0.67,0.0,3.0,1.0,0
0.0,1.0,0.0,20.0,0.0,5.0,0.42,0.0,71.0,1.0,0.0,4.0,1.0,3.33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,6.0,27.0,0.0,0.0,5.4,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,1.0,0.0,28.0,0.0,2.0,1.27,0.0,40.0,1.0,0.0,0.0,2.0,1.8,1.0,1.0,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,1.0,40.0,1.0,0.0,1.33,0.0,0.0,2.0,0.0,11.0,1.0,1.33,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0
0.0,1.0,4.0,29.0,0.0,0.0,0.38,3.0,0.0,1.0,0.0,9.0,1.0,4.33,3.0,8.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0
3.0,4.0,11.0,106.0,0.0,0.0,0.42,4.0,71.0,1.0,0.0,31.0,2.0,6.0,1.0,3.0,1.0,3.33,0.0,1.0,0.0,2.0,3.0,1
16.0,1.0,0.0,38.0,0.0,15.0,0.09,0.0,88.0,3.0,0.0,18.0,1.0,3.97,1.0,1.0,1.0,1.24,0.0,1.0,0.0,1.0,0.0,1
0.0,1.0,3.0,34.0,0.0,0.0,2.62,0.0,0.0,2.0,1.0,3.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,21.0,0.0,6.0,5.25,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
2.0,1.0,5.0,49.0,0.0,2.0,0.22,6.0,70.0,2.0,0.0,21.0,1.0,9.4,2.0,2.0,1.0,2.71,0.0,0.33,0.0,5.0,4.0,1
1.0,1.0,1.0,26.0,0.0,0.0,0.33,0.0,66.0,2.0,0.0,17.0,1.0,4.0,1.0,2.0,1.0,1.4,0.0,0.5,0.0,2.0,0.0,0
0.0,1.0,2.0,34.0,0.0,1.0,2.0,0.0,62.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,28.0,0.0,3.0,1.12,0.0,40.0,1.0,0.0,0.0,1.0,2.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,5.0,43.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3.0,1.0,3.75,0.0,1.0,1.0,1.83,0.0,1.0,0.0,2.0,1.0,0
2.0,4.0,0.0,22.0,0.0,0.0,0.12,1.0,66.0,1.0,0.0,14.0,1.0,23.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,4.0,10.0,1
3.0,1.0,0.0,41.0,0.0,7.0,0.28,0.0,86.0,1.0,0.0,3.0,2.0,2.62,1.0,1.0,1.0,0.83,0.0,0.67,0.0,1.0,1.0,1
0.0,1.0,0.0,33.0,0.0,1.0,0.46,0.0,100.0,1.0,0.0,3.0,3.0,1.83,0.0,1.0,1.0,1.67,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,21.0,0.0,3.0,0.54,0.0,77.0,1.0,0.0,1.0,2.0,2.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,24.0,0.0,2.0,0.86,0.0,66.0,1.0,0.0,1.0,2.0,1.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,21.0,0.0,0.0,2.62,1.0,100.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,24.0,0.0,1.0,1.26,0.0,62.0,1.0,0.0,1.0,2.0,1.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,21.0,0.0,2.0,0.81,0.0,66.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,21.0,0.0,0.0,1.91,0.0,100.0,2.0,0.0,0.0,1.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,0.0,47.0,0.0,18.0,0.28,0.0,100.0,2.0,0.0,5.0,1.0,3.07,0.0,1.0,0.0,0.31,0.0,0.67,0.0,5.0,1.0,0
0.0,1.0,0.0,21.0,0.0,1.0,1.11,0.0,62.0,2.0,0.0,1.0,1.0,1.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,1.0,0.0,20.0,0.0,1.0,1.18,0.0,62.0,2.0,0.0,0.0,1.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,39.0,0.0,5.0,0.65,0.0,80.0,2.0,0.0,2.0,2.0,2.75,0.0,1.0,1.0,0.21,0.0,0.0,0.0,4.0,1.0,0
1.0,1.0,0.0,25.0,0.0,7.0,0.26,0.0,85.0,2.0,0.0,3.0,2.0,2.89,0.0,1.0,1.0,0.14,0.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,17.0,0.0,0.0,3.4,0.0,0.0,2.0,13.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,0.0,17.0,0.0,3.0,0.46,0.0,71.0,2.0,0.0,1.0,3.0,1.62,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,2.0,49.0,0.0,2.0,1.36,0.0,80.0,2.0,0.0,1.0,2.0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,2.0,48.0,0.0,2.0,1.17,0.0,77.0,2.0,0.0,1.0,2.0,1.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,9.0,70.0,0.0,0.0,1.09,0.0,0.0,1.0,0.0,2.0,1.0,3.6,0.0,1.0,1.0,1.71,0.0,1.0,0.0,1.0,0.0,0
9.0,3.0,3.0,69.0,2.0,2.0,0.19,2.0,0.0,2.0,2.0,13.0,1.0,6.94,2.0,1.0,1.0,1.65,0.0,1.0,0.0,1.0,0.0,0
3.0,1.0,0.0,120.0,0.0,28.0,0.23,0.0,95.0,1.0,3.0,16.0,2.0,7.01,0.0,1.0,0.0,0.48,0.0,1.0,0.0,6.0,6.0,0
0.0,1.0,0.0,17.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0
0.0,4.0,2.0,39.0,0.0,10.0,0.21,1.0,42.0,1.0,0.0,5.0,2.0,6.75,0.0,2.0,1.0,1.86,0.0,0.0,0.0,3.0,2.0,0
1.0,4.0,3.0,47.0,0.0,11.0,0.22,2.0,48.0,1.0,0.0,5.0,2.0,7.5,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,1
0.0,1.0,11.0,67.0,0.0,0.0,8.38,0.0,0.0,0.0,3.0,0.0,0.0,7.25,6.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,3.0,6.0,39.0,0.0,0.0,0.64,2.0,33.0,1.0,0.0,6.0,1.0,9.67,4.0,2.0,1.0,1.2,0.0,0.0,0.0,2.0,0.0,0
1.0,1.0,4.0,64.0,0.0,10.0,0.2,2.0,100.0,2.0,0.0,12.0,2.0,5.56,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,54.0,0.0,14.0,0.27,1.0,100.0,2.0,3.0,15.0,2.0,5.8,0.0,1.0,1.0,1.14,0.0,0.0,0.0,3.0,1.0,0
